,seed,P1,P2,Prob
0,39978,7,18,0.419309
1,39978,9,12,0.58494514
2,39978,9,14,0.58927023
3,39978,9,17,0.5496005
4,39978,9,18,0.52347696
5,39978,9,23,0.82717663
6,39978,9,32,0.51925087
7,39978,9,40,0.64518106
8,39978,9,51,0.5659369
9,39978,9,54,0.55932957
10,39978,9,61,0.7466796
11,39978,9,62,0.58337843
12,39978,9,69,0.64430803
13,39978,9,71,0.6111943
14,39978,9,97,0.5953366
15,39978,12,9,0.43470386
16,39978,14,9,0.44139463
17,39978,17,9,0.45896274
18,39978,17,54,0.46999884
19,39978,18,7,0.5307566
20,39978,18,9,0.47934732
21,39978,18,19,0.53090334
22,39978,18,20,0.5471618
23,39978,18,22,0.48828766
24,39978,18,24,0.4709272
25,39978,18,25,0.4730102
26,39978,18,26,0.4648764
27,39978,18,30,0.48779938
28,39978,18,31,0.47189716
29,39978,18,32,0.473725
30,39978,18,33,0.4729267
31,39978,18,39,0.48852128
32,39978,18,42,0.46631724
33,39978,18,46,0.48554423
34,39978,18,50,0.4753906
35,39978,18,53,0.53579617
36,39978,18,60,0.48821133
37,39978,18,74,0.46786278
38,39978,18,76,0.4963349
39,39978,18,98,0.4686961
40,39978,19,18,0.43739286
41,39978,20,18,0.41594672
42,39978,22,18,0.47448424
43,39978,22,32,0.46381885
44,39978,22,33,0.470773
45,39978,23,9,0.44203502
46,39978,24,18,0.4679157
47,39978,24,25,0.47536752
48,39978,24,26,0.4799189
49,39978,24,30,0.49065933
50,39978,24,31,0.477295
51,39978,24,32,0.4774024
52,39978,24,33,0.46878558
53,39978,24,74,0.46983427
54,39978,24,98,0.4687756
55,39978,25,18,0.4821792
56,39978,25,24,0.48348218
57,39978,25,26,0.47619218
58,39978,25,32,0.4815068
59,39978,25,42,0.48529863
60,39978,25,60,0.5046562
61,39978,26,18,0.4657287
62,39978,26,24,0.47390103
63,39978,26,25,0.47584623
64,39978,26,31,0.48086515
65,39978,26,32,0.46658653
66,39978,26,33,0.4792804
67,39978,26,39,0.49057183
68,39978,26,42,0.4658663
69,39978,26,74,0.4683835
70,39978,26,76,0.50294393
71,39978,26,98,0.471173
72,39978,30,18,0.47786698
73,39978,30,24,0.47514632
74,39978,30,33,0.48189604
75,39978,31,18,0.47966236
76,39978,31,24,0.4816425
77,39978,31,26,0.48030576
78,39978,31,32,0.48200536
79,39978,31,33,0.48316666
80,39978,31,42,0.47648126
81,39978,31,50,0.49846533
82,39978,31,74,0.48136193
83,39978,31,98,0.48807368
84,39978,32,9,0.49370942
85,39978,32,18,0.4780624
86,39978,32,22,0.4925785
87,39978,32,24,0.47258165
88,39978,32,25,0.4781572
89,39978,32,26,0.47838223
90,39978,32,31,0.4813495
91,39978,32,33,0.47693497
92,39978,32,46,0.49485406
93,39978,32,98,0.47532833
94,39978,33,18,0.47988954
95,39978,33,22,0.50685555
96,39978,33,24,0.4779547
97,39978,33,26,0.48430014
98,39978,33,30,0.4987907
99,39978,33,31,0.49135414
100,39978,33,32,0.48369712
101,39978,33,42,0.4779707
102,39978,33,74,0.48442978
103,39978,33,98,0.47960475
104,39978,39,18,0.46457833
105,39978,39,26,0.46459135
106,39978,39,42,0.4610859
107,39978,40,9,0.4449619
108,39978,42,18,0.47451636
109,39978,42,25,0.46965343
110,39978,42,26,0.47482774
111,39978,42,31,0.47015792
112,39978,42,33,0.46880096
113,39978,42,39,0.49200648
114,39978,46,18,0.4668523
115,39978,46,32,0.4660937
116,39978,46,50,0.49236104
117,39978,46,98,0.46824893
118,39978,50,18,0.45387515
119,39978,50,31,0.45227623
120,39978,50,46,0.47138888
121,39978,51,9,0.43447328
122,39978,53,18,0.4400185
123,39978,54,9,0.447374
124,39978,54,17,0.46085775
125,39978,60,18,0.46533126
126,39978,60,25,0.4628667
127,39978,60,98,0.46532062
128,39978,61,9,0.44479638
129,39978,62,9,0.4454003
130,39978,69,9,0.4514043
131,39978,71,9,0.4423829
132,39978,74,18,0.47445405
133,39978,74,24,0.4735883
134,39978,74,26,0.4708493
135,39978,74,31,0.47858164
136,39978,74,33,0.4770853
137,39978,74,98,0.4717613
138,39978,76,18,0.45147973
139,39978,76,26,0.4535332
140,39978,97,9,0.45004678
141,39978,98,18,0.47808006
142,39978,98,24,0.47635737
143,39978,98,26,0.46958524
144,39978,98,31,0.47457168
145,39978,98,32,0.47302622
146,39978,98,33,0.4854493
147,39978,98,46,0.49133095
148,39978,98,60,0.48701915
149,39978,98,74,0.46873155
