,seed,P1,P2,Prob
0,39978,7,18,0.27636632
1,39978,9,12,0.33921686
2,39978,9,17,0.3154586
3,39978,9,18,0.31557503
4,39978,9,23,0.43716437
5,39978,9,40,0.32486877
6,39978,9,54,0.3558829
7,39978,9,62,0.32887384
8,39978,9,69,0.31973284
9,39978,9,71,0.3751704
10,39978,9,91,0.37249395
11,39978,9,97,0.37712735
12,39978,12,9,0.29344106
13,39978,12,17,0.29495645
14,39978,17,9,0.300142
15,39978,17,12,0.3191626
16,39978,17,18,0.3009617
17,39978,17,54,0.33476537
18,39978,18,7,0.3870703
19,39978,18,9,0.342741
20,39978,18,17,0.3431249
21,39978,18,20,0.3793456
22,39978,18,22,0.3952324
23,39978,18,24,0.32474685
24,39978,18,25,0.33536547
25,39978,18,26,0.3128836
26,39978,18,30,0.3526333
27,39978,18,31,0.32745722
28,39978,18,32,0.3507583
29,39978,18,33,0.33220348
30,39978,18,39,0.34487715
31,39978,18,42,0.320975
32,39978,18,46,0.32826865
33,39978,18,50,0.38384944
34,39978,18,60,0.38567582
35,39978,18,74,0.3496257
36,39978,18,76,0.34641242
37,39978,18,98,0.34031427
38,39978,20,18,0.30874574
39,39978,22,18,0.28057167
40,39978,23,9,0.29028392
41,39978,24,18,0.32507387
42,39978,24,25,0.31929517
43,39978,24,26,0.29250592
44,39978,24,30,0.32490373
45,39978,24,31,0.30302858
46,39978,24,33,0.3046324
47,39978,24,42,0.30589986
48,39978,24,76,0.3263236
49,39978,24,98,0.31823426
50,39978,25,18,0.31746492
51,39978,25,24,0.2943676
52,39978,25,26,0.29216552
53,39978,25,30,0.31559083
54,39978,25,33,0.30032507
55,39978,25,42,0.2957283
56,39978,26,18,0.33226925
57,39978,26,24,0.32621247
58,39978,26,25,0.32798693
59,39978,26,30,0.34237653
60,39978,26,31,0.31808263
61,39978,26,32,0.33727524
62,39978,26,33,0.33058187
63,39978,26,42,0.32173917
64,39978,26,74,0.3467451
65,39978,26,98,0.32653788
66,39978,30,18,0.34253868
67,39978,30,24,0.32072842
68,39978,30,25,0.3316328
69,39978,30,26,0.30010578
70,39978,30,31,0.31925407
71,39978,30,33,0.3248835
72,39978,30,46,0.32476473
73,39978,30,76,0.3382601
74,39978,30,98,0.33118504
75,39978,31,18,0.32298058
76,39978,31,24,0.30559945
77,39978,31,26,0.2972726
78,39978,31,30,0.33065507
79,39978,31,33,0.31235737
80,39978,31,39,0.32315552
81,39978,31,42,0.30411896
82,39978,31,50,0.3692359
83,39978,31,74,0.33402267
84,39978,32,18,0.33292338
85,39978,32,26,0.30577356
86,39978,32,33,0.32414156
87,39978,32,42,0.3144871
88,39978,32,46,0.3161528
89,39978,32,98,0.33046162
90,39978,33,18,0.3228029
91,39978,33,24,0.30746982
92,39978,33,25,0.31392482
93,39978,33,26,0.29359698
94,39978,33,30,0.32666725
95,39978,33,31,0.30727306
96,39978,33,32,0.32564718
97,39978,33,39,0.31567198
98,39978,33,42,0.30843356
99,39978,33,98,0.3152859
100,39978,39,18,0.3223835
101,39978,39,31,0.3067932
102,39978,39,33,0.30870846
103,39978,39,42,0.30699238
104,39978,39,46,0.311898
105,39978,39,63,0.35402748
106,39978,40,9,0.2740294
107,39978,40,69,0.2660252
108,39978,42,18,0.3206196
109,39978,42,24,0.3094522
110,39978,42,25,0.31889233
111,39978,42,26,0.2944376
112,39978,42,31,0.30462614
113,39978,42,32,0.32975015
114,39978,42,33,0.30774838
115,39978,42,39,0.31617528
116,39978,42,64,0.3613338
117,39978,46,18,0.31088993
118,39978,46,30,0.31353766
119,39978,46,32,0.31535077
120,39978,46,39,0.30730885
121,39978,50,18,0.2994021
122,39978,50,31,0.281431
123,39978,54,9,0.29233214
124,39978,54,17,0.29465154
125,39978,60,18,0.258959
126,39978,62,9,0.32671803
127,39978,63,39,0.27294958
128,39978,64,42,0.27344072
129,39978,69,9,0.28183892
130,39978,69,40,0.2903307
131,39978,71,9,0.2773477
132,39978,74,18,0.32691583
133,39978,74,26,0.30013046
134,39978,74,31,0.30177584
135,39978,76,18,0.32061225
136,39978,76,24,0.3042295
137,39978,76,30,0.32200903
138,39978,76,97,0.3598319
139,39978,91,9,0.27850512
140,39978,97,9,0.32905436
141,39978,97,76,0.3311208
142,39978,98,18,0.34051603
143,39978,98,24,0.32151788
144,39978,98,26,0.3061746
145,39978,98,30,0.34273946
146,39978,98,32,0.33569533
147,39978,98,33,0.3150933
