,P1,P2,Prob
0,7,18,0.3192639
1,9,12,0.38721108
2,9,17,0.35896292
3,9,18,0.33307344
4,9,23,0.45479125
5,9,40,0.37815484
6,9,54,0.35942203
7,9,62,0.40461692
8,9,69,0.4021988
9,9,71,0.43814278
10,9,91,0.4473291
11,9,97,0.39486837
12,12,9,0.31730074
13,12,17,0.34522158
14,17,9,0.3289708
15,17,12,0.38575414
16,17,18,0.32165402
17,17,54,0.34537432
18,18,7,0.49881124
19,18,9,0.36075148
20,18,17,0.3961802
21,18,20,0.47200882
22,18,22,0.47919062
23,18,24,0.3934467
24,18,25,0.36666015
25,18,26,0.3730706
26,18,30,0.34825245
27,18,31,0.36942276
28,18,32,0.35435742
29,18,33,0.36554253
30,18,39,0.36103165
31,18,42,0.37744927
32,18,46,0.393623
33,18,50,0.39794523
34,18,60,0.46981275
35,18,74,0.36842948
36,18,76,0.38802287
37,18,98,0.37761316
38,20,18,0.29973766
39,22,18,0.3005212
40,23,9,0.333146
41,24,18,0.3512551
42,24,25,0.3632361
43,24,26,0.3671219
44,24,30,0.34080923
45,24,31,0.3647081
46,24,33,0.3624291
47,24,42,0.3690519
48,24,76,0.38740966
49,24,98,0.37409616
50,25,18,0.3443642
51,25,24,0.38641545
52,25,26,0.37183326
53,25,30,0.3368958
54,25,33,0.35790333
55,25,42,0.3694576
56,26,18,0.36372983
57,26,24,0.39124247
58,26,25,0.36769664
59,26,30,0.34472027
60,26,31,0.36851186
61,26,32,0.35665488
62,26,33,0.363768
63,26,42,0.37923574
64,26,74,0.36822712
65,26,98,0.3822313
66,30,18,0.37142888
67,30,24,0.40410116
68,30,25,0.37397173
69,30,26,0.3828489
70,30,31,0.37119246
71,30,33,0.3701996
72,30,46,0.39762852
73,30,76,0.39627513
74,30,98,0.38615918
75,31,18,0.3390101
76,31,24,0.37180963
77,31,26,0.3438215
78,31,30,0.32256934
79,31,33,0.34049442
80,31,39,0.34109262
81,31,42,0.35253122
82,31,50,0.3750911
83,31,74,0.3463114
84,32,18,0.34766835
85,32,26,0.35951078
86,32,33,0.34343717
87,32,42,0.36717242
88,32,46,0.37759948
89,32,98,0.35278895
90,33,18,0.35976624
91,33,24,0.39479125
92,33,25,0.3722316
93,33,26,0.36442402
94,33,30,0.34443966
95,33,31,0.36082667
96,33,32,0.34809288
97,33,39,0.35797915
98,33,42,0.36887056
99,33,98,0.37397885
100,39,18,0.34140432
101,39,31,0.35009596
102,39,33,0.3403854
103,39,42,0.35924327
104,39,46,0.36780345
105,39,63,0.42055202
106,40,9,0.30055684
107,40,69,0.35909513
108,42,18,0.34479576
109,42,24,0.3747647
110,42,25,0.3562574
111,42,26,0.35550702
112,42,31,0.36356783
113,42,32,0.34646958
114,42,33,0.34417182
115,42,39,0.34255502
116,42,64,0.44495028
117,46,18,0.34224066
118,46,30,0.33337933
119,46,32,0.34286866
120,46,39,0.34052944
121,50,18,0.31812343
122,50,31,0.3166417
123,54,9,0.33085105
124,54,17,0.36394015
125,60,18,0.3213646
126,62,9,0.2966971
127,63,39,0.3037364
128,64,42,0.33278403
129,69,9,0.31036666
130,69,40,0.35720816
131,71,9,0.26576
132,74,18,0.35608417
133,74,26,0.36349955
134,74,31,0.36123198
135,76,18,0.3416506
136,76,24,0.36960313
137,76,30,0.31804258
138,76,97,0.39607167
139,91,9,0.31594312
140,97,9,0.33692414
141,97,76,0.36001918
142,98,18,0.35092598
143,98,24,0.38634235
144,98,26,0.36004293
145,98,30,0.33472893
146,98,32,0.3465076
147,98,33,0.3533691
