,P1,P2,Prob
0,7,18,0.47333202
1,9,12,0.52376497
2,9,17,0.480438
3,9,18,0.43005493
4,9,23,0.57560617
5,9,40,0.49084932
6,9,54,0.52024716
7,9,62,0.55032736
8,9,69,0.52320343
9,9,71,0.54123133
10,9,91,0.5478934
11,9,97,0.5035661
12,12,9,0.4856035
13,12,17,0.53507674
14,17,9,0.45323795
15,17,12,0.54781103
16,17,18,0.45949423
17,17,54,0.552293
18,18,7,0.62338537
19,18,9,0.44457695
20,18,17,0.48269546
21,18,20,0.5873341
22,18,22,0.55457526
23,18,24,0.44424865
24,18,25,0.48615918
25,18,26,0.4752715
26,18,30,0.47170094
27,18,31,0.45741683
28,18,32,0.49253505
29,18,33,0.46921822
30,18,39,0.4734588
31,18,42,0.47234923
32,18,46,0.5214371
33,18,50,0.5372775
34,18,60,0.5542261
35,18,74,0.5241432
36,18,76,0.5152735
37,18,98,0.48431054
38,20,18,0.46710172
39,22,18,0.50897217
40,23,9,0.45510995
41,24,18,0.46173286
42,24,25,0.511604
43,24,26,0.49870226
44,24,30,0.49250516
45,24,31,0.49106044
46,24,33,0.48994297
47,24,42,0.49328497
48,24,76,0.53103316
49,24,98,0.51535666
50,25,18,0.46369952
51,25,24,0.4770586
52,25,26,0.4933397
53,25,30,0.49986905
54,25,33,0.48787826
55,25,42,0.49834424
56,26,18,0.47918808
57,26,24,0.4834711
58,26,25,0.5181583
59,26,30,0.49591348
60,26,31,0.48896527
61,26,32,0.53190976
62,26,33,0.49978608
63,26,42,0.5077531
64,26,74,0.55409855
65,26,98,0.51790285
66,30,18,0.46857262
67,30,24,0.47073984
68,30,25,0.51018167
69,30,26,0.4935038
70,30,31,0.48576617
71,30,33,0.49449003
72,30,46,0.5403981
73,30,76,0.5248214
74,30,98,0.51983047
75,31,18,0.47816968
76,31,24,0.48864898
77,31,26,0.5115871
78,31,30,0.5035885
79,31,33,0.50981367
80,31,39,0.5117371
81,31,42,0.5019938
82,31,50,0.56676316
83,31,74,0.5594008
84,32,18,0.4732425
85,32,26,0.5103327
86,32,33,0.5035218
87,32,42,0.50549185
88,32,46,0.54794914
89,32,98,0.5197424
90,33,18,0.47325033
91,33,24,0.49340937
92,33,25,0.5204631
93,33,26,0.5114541
94,33,30,0.5161088
95,33,31,0.49630234
96,33,32,0.53507715
97,33,39,0.49821278
98,33,42,0.503418
99,33,98,0.53020465
100,39,18,0.45080665
101,39,31,0.46407667
102,39,33,0.4776622
103,39,42,0.4810134
104,39,46,0.5235775
105,39,63,0.5310727
106,40,9,0.48894298
107,40,69,0.5823788
108,42,18,0.46177822
109,42,24,0.47079346
110,42,25,0.5146619
111,42,26,0.5021015
112,42,31,0.48152447
113,42,32,0.5253874
114,42,33,0.4885685
115,42,39,0.49355966
116,42,64,0.62624985
117,46,18,0.4632326
118,46,30,0.49711993
119,46,32,0.52796495
120,46,39,0.49907568
121,50,18,0.5409793
122,50,31,0.54764485
123,54,9,0.5055135
124,54,17,0.5508766
125,60,18,0.47037762
126,62,9,0.49659756
127,63,39,0.56539094
128,64,42,0.5225794
129,69,9,0.5175351
130,69,40,0.5729834
131,71,9,0.44122726
132,74,18,0.45770347
133,74,26,0.502363
134,74,31,0.4776034
135,76,18,0.45846397
136,76,24,0.46585
137,76,30,0.48548344
138,76,97,0.53460926
139,91,9,0.45818076
140,97,9,0.5081297
141,97,76,0.57746106
142,98,18,0.4742902
143,98,24,0.48702252
144,98,26,0.51593983
145,98,30,0.49009562
146,98,32,0.5294378
147,98,33,0.50683075
