,seed,P1,P2,Prob
0,39978,7,18,0.36741588
1,39978,9,12,0.40629694
2,39978,9,17,0.4442666
3,39978,9,18,0.37185553
4,39978,9,23,0.45967716
5,39978,9,40,0.43042648
6,39978,9,54,0.4163645
7,39978,9,62,0.4299769
8,39978,9,69,0.4165351
9,39978,9,71,0.5010211
10,39978,9,91,0.5105344
11,39978,9,97,0.45701483
12,39978,12,9,0.41352075
13,39978,12,17,0.45976722
14,39978,17,9,0.40913737
15,39978,17,12,0.41472295
16,39978,17,18,0.3767501
17,39978,17,54,0.4186569
18,39978,18,7,0.43737105
19,39978,18,9,0.39240548
20,39978,18,17,0.43267095
21,39978,18,20,0.46257728
22,39978,18,22,0.45024145
23,39978,18,24,0.3713086
24,39978,18,25,0.403267
25,39978,18,26,0.37971523
26,39978,18,30,0.38273707
27,39978,18,31,0.37641928
28,39978,18,32,0.4120185
29,39978,18,33,0.37807754
30,39978,18,39,0.41168314
31,39978,18,42,0.37348658
32,39978,18,46,0.42051324
33,39978,18,50,0.43172598
34,39978,18,60,0.44696757
35,39978,18,74,0.433483
36,39978,18,76,0.41529858
37,39978,18,98,0.37472403
38,39978,20,18,0.3944229
39,39978,22,18,0.39757472
40,39978,23,9,0.41333258
41,39978,24,18,0.40200785
42,39978,24,25,0.45502335
43,39978,24,26,0.42147207
44,39978,24,30,0.41227934
45,39978,24,31,0.42126465
46,39978,24,33,0.4167202
47,39978,24,42,0.41133153
48,39978,24,76,0.45212933
49,39978,24,98,0.42585766
50,39978,25,18,0.39031285
51,39978,25,24,0.38798088
52,39978,25,26,0.39484897
53,39978,25,30,0.39048415
54,39978,25,33,0.39454496
55,39978,25,42,0.40188834
56,39978,26,18,0.39154992
57,39978,26,24,0.39329806
58,39978,26,25,0.43984327
59,39978,26,30,0.39867914
60,39978,26,31,0.40118304
61,39978,26,32,0.42839327
62,39978,26,33,0.39910412
63,39978,26,42,0.39760658
64,39978,26,74,0.46388075
65,39978,26,98,0.40463212
66,39978,30,18,0.40313676
67,39978,30,24,0.4022766
68,39978,30,25,0.44267225
69,39978,30,26,0.412604
70,39978,30,31,0.41415772
71,39978,30,33,0.41495132
72,39978,30,46,0.46457916
73,39978,30,76,0.44844937
74,39978,30,98,0.42021924
75,39978,31,18,0.3768951
76,39978,31,24,0.37919804
77,39978,31,26,0.37841138
78,39978,31,30,0.38738418
79,39978,31,33,0.3851877
80,39978,31,39,0.41953173
81,39978,31,42,0.38299716
82,39978,31,50,0.43745214
83,39978,31,74,0.45069644
84,39978,32,18,0.385597
85,39978,32,26,0.38857368
86,39978,32,33,0.39521438
87,39978,32,42,0.39028734
88,39978,32,46,0.43574834
89,39978,32,98,0.39997938
90,39978,33,18,0.38040775
91,39978,33,24,0.37600785
92,39978,33,25,0.4184517
93,39978,33,26,0.3858141
94,39978,33,30,0.38274804
95,39978,33,31,0.37943056
96,39978,33,32,0.41985053
97,39978,33,39,0.4220913
98,39978,33,42,0.3894185
99,39978,33,98,0.394808
100,39978,39,18,0.40610886
101,39978,39,31,0.4055623
102,39978,39,33,0.4090654
103,39978,39,42,0.39950615
104,39978,39,46,0.4529779
105,39978,39,63,0.46912792
106,39978,40,9,0.4158687
107,39978,40,69,0.43259692
108,39978,42,18,0.39458284
109,39978,42,24,0.40389884
110,39978,42,25,0.4372763
111,39978,42,26,0.40131
112,39978,42,31,0.40374953
113,39978,42,32,0.43809003
114,39978,42,33,0.40557718
115,39978,42,39,0.44484702
116,39978,42,64,0.50241303
117,39978,46,18,0.38257563
118,39978,46,30,0.3899562
119,39978,46,32,0.42412642
120,39978,46,39,0.42940682
121,39978,50,18,0.4107504
122,39978,50,31,0.40987393
123,39978,54,9,0.3913478
124,39978,54,17,0.4312877
125,39978,60,18,0.4196736
126,39978,62,9,0.44923165
127,39978,63,39,0.39947024
128,39978,64,42,0.4153126
129,39978,69,9,0.41542816
130,39978,69,40,0.44573852
131,39978,71,9,0.41376206
132,39978,74,18,0.42125973
133,39978,74,26,0.4223493
134,39978,74,31,0.42495733
135,39978,76,18,0.41209745
136,39978,76,24,0.40816793
137,39978,76,30,0.41565523
138,39978,76,97,0.482294
139,39978,91,9,0.38943678
140,39978,97,9,0.41226748
141,39978,97,76,0.43231705
142,39978,98,18,0.37727502
143,39978,98,24,0.38153303
144,39978,98,26,0.38653028
145,39978,98,30,0.3934694
146,39978,98,32,0.42075288
147,39978,98,33,0.38754535
