,seed,P1,P2,Prob
0,39978,7,18,0.30476445
1,39978,9,12,0.38243952
2,39978,9,17,0.36520073
3,39978,9,18,0.31588945
4,39978,9,23,0.40810278
5,39978,9,40,0.38784796
6,39978,9,54,0.38538453
7,39978,9,62,0.3925154
8,39978,9,69,0.3613029
9,39978,9,71,0.44050688
10,39978,9,91,0.4349666
11,39978,9,97,0.39809766
12,39978,12,9,0.36514756
13,39978,12,17,0.39659652
14,39978,17,9,0.33903036
15,39978,17,12,0.38851568
16,39978,17,18,0.3158627
17,39978,17,54,0.39386085
18,39978,18,7,0.42136377
19,39978,18,9,0.3402712
20,39978,18,17,0.370585
21,39978,18,20,0.4280245
22,39978,18,22,0.41425478
23,39978,18,24,0.3471883
24,39978,18,25,0.353863
25,39978,18,26,0.34357768
26,39978,18,30,0.33211514
27,39978,18,31,0.34522435
28,39978,18,32,0.36991024
29,39978,18,33,0.33492965
30,39978,18,39,0.37522316
31,39978,18,42,0.3420594
32,39978,18,46,0.3721067
33,39978,18,50,0.40182704
34,39978,18,60,0.40740797
35,39978,18,74,0.3848524
36,39978,18,76,0.36841118
37,39978,18,98,0.3487247
38,39978,20,18,0.33715463
39,39978,22,18,0.30498612
40,39978,23,9,0.32836533
41,39978,24,18,0.3380817
42,39978,24,25,0.37836036
43,39978,24,26,0.36420357
44,39978,24,30,0.36633688
45,39978,24,31,0.3601552
46,39978,24,33,0.35686964
47,39978,24,42,0.36376822
48,39978,24,76,0.39809602
49,39978,24,98,0.37445602
50,39978,25,18,0.3399259
51,39978,25,24,0.36386693
52,39978,25,26,0.36272445
53,39978,25,30,0.359494
54,39978,25,33,0.35544798
55,39978,25,42,0.3586399
56,39978,26,18,0.34024525
57,39978,26,24,0.36250156
58,39978,26,25,0.38027495
59,39978,26,30,0.35273618
60,39978,26,31,0.3638192
61,39978,26,32,0.38881934
62,39978,26,33,0.35676965
63,39978,26,42,0.36546278
64,39978,26,74,0.41206187
65,39978,26,98,0.3717431
66,39978,30,18,0.33857802
67,39978,30,24,0.3671549
68,39978,30,25,0.38170683
69,39978,30,26,0.368594
70,39978,30,31,0.367626
71,39978,30,33,0.36023602
72,39978,30,46,0.39243868
73,39978,30,76,0.39153698
74,39978,30,98,0.37163734
75,39978,31,18,0.3295681
76,39978,31,24,0.35040912
77,39978,31,26,0.35674617
78,39978,31,30,0.34137586
79,39978,31,33,0.3340669
80,39978,31,39,0.37960604
81,39978,31,42,0.34967422
82,39978,31,50,0.4132949
83,39978,31,74,0.39563188
84,39978,32,18,0.34483385
85,39978,32,26,0.36635882
86,39978,32,33,0.35489908
87,39978,32,42,0.37047938
88,39978,32,46,0.387505
89,39978,32,98,0.37281165
90,39978,33,18,0.34211913
91,39978,33,24,0.35797572
92,39978,33,25,0.36571226
93,39978,33,26,0.35867545
94,39978,33,30,0.35261124
95,39978,33,31,0.35972017
96,39978,33,32,0.38676277
97,39978,33,39,0.38873336
98,39978,33,42,0.3546953
99,39978,33,98,0.3671676
100,39978,39,18,0.3303066
101,39978,39,31,0.360411
102,39978,39,33,0.35140377
103,39978,39,42,0.3638748
104,39978,39,46,0.3828182
105,39978,39,63,0.4023195
106,39978,40,9,0.3493307
107,39978,40,69,0.3745797
108,39978,42,18,0.34846488
109,39978,42,24,0.37450442
110,39978,42,25,0.38406458
111,39978,42,26,0.37008506
112,39978,42,31,0.37379402
113,39978,42,32,0.3922895
114,39978,42,33,0.3584911
115,39978,42,39,0.40734
116,39978,42,64,0.45009443
117,39978,46,18,0.33220226
118,39978,46,30,0.342463
119,39978,46,32,0.38303465
120,39978,46,39,0.38739762
121,39978,50,18,0.33837953
122,39978,50,31,0.3552471
123,39978,54,9,0.33894244
124,39978,54,17,0.36933705
125,39978,60,18,0.33511725
126,39978,62,9,0.3872989
127,39978,63,39,0.37224934
128,39978,64,42,0.3568876
129,39978,69,9,0.32237753
130,39978,69,40,0.3869399
131,39978,71,9,0.32705897
132,39978,74,18,0.35300866
133,39978,74,26,0.37576002
134,39978,74,31,0.37518343
135,39978,76,18,0.33439463
136,39978,76,24,0.3569333
137,39978,76,30,0.35495803
138,39978,76,97,0.43049955
139,39978,91,9,0.349134
140,39978,97,9,0.33458668
141,39978,97,76,0.3642211
142,39978,98,18,0.33400148
143,39978,98,24,0.3555727
144,39978,98,26,0.3591397
145,39978,98,30,0.35377806
146,39978,98,32,0.37945452
147,39978,98,33,0.34323174
