,lr,alpha,beta,best acc,best prec,best rec,best f1,best faith,avg certainty,what is og
0,0.05,0.8,0.1,0.777777778,1,0.875,0.777777778,-1.19E-07,0.9075,og alpha
1,0.05,0.8,0.2,0.777777778,1,0.875,0.777777778,-1.19E-07,0.8023,og alpha
2,0.05,0.8,0.3,0.777777778,1,0.875,0.777777778,-1.19E-07,0.7071,og alpha
3,0.05,0.8,0.4,0.777777778,1,0.875,0.777777778,-1.19E-07,0.6441,og alpha
4,0.05,0.8,0.5,0.777777778,1,0.875,0.777777778,-1.19E-07,0.6003,og alpha
5,0.05,0.8,0.6,0.777777778,1,0.875,0.777777778,-1.19E-07,0.6024,og alpha
6,0.05,0.8,0.7,0.722222222,0.928571429,0.838709677,0.764705882,0.138400614,0.5575,og alpha
7,0.05,0.8,0.8,0.684210526,0.928571429,0.8125,0.722222222,0.966477081,0.5202,og alpha
8,0.05,0.8,0.9,0.684210526,0.928571429,0.8125,0.722222222,0.683202803,0.5037,og alpha
9,0.05,0.8,1,0.4375,0.5,0.608695652,0.777777778,0.997216731,0.4546,og alpha
10,0.05,0.1,0.6,0.393939394,0.5,0.565217391,0.65,0.999996807,0.2651,og beta
11,0.05,0.2,0.6,0.384615385,0.535714286,0.555555556,0.576923077,0.999336661,0.4278,og beta
12,0.05,0.3,0.6,0.382352941,0.5,0.553191489,0.619047619,0.999996805,0.4029,og beta
13,0.05,0.4,0.6,0.379310345,0.392857143,0.55,0.916666667,0.99909887,0.4193,og beta
14,0.05,0.5,0.6,0.6,0.642857143,0.75,0.9,0.799462527,0.5083,og beta
15,0.05,0.6,0.6,0.722222222,0.928571429,0.838709677,0.764705882,0.597813487,0.5317,og beta
16,0.05,0.7,0.6,0.8,0.857142857,0.888888889,0.923076923,0.644347012,0.5352,og beta
17,0.05,0.8,0.6,0.875,1,0.933333333,0.875,0.489105284,0.5453,og beta
18,0.05,0.9,0.6,0.823529412,1,0.903225806,0.823529412,0.007725835,0.5969,og beta
19,0.05,1,0.6,0.777777778,1,0.875,0.777777778,-1.19E-07,0.6694,og beta
