,P1,P2,Prob
0,tensor(7335),tensor(7336),tensor(0.6364)
1,tensor(7335),tensor(7337),tensor(0.6278)
2,tensor(7336),tensor(7335),tensor(0.6036)
3,tensor(7336),tensor(7339),tensor(0.5946)
4,tensor(7337),tensor(7335),tensor(0.6270)
5,tensor(7337),tensor(7339),tensor(0.6209)
6,tensor(7337),tensor(7340),tensor(0.6477)
7,tensor(7337),tensor(7341),tensor(0.5722)
8,tensor(7339),tensor(7336),tensor(0.5845)
9,tensor(7339),tensor(7337),tensor(0.5651)
10,tensor(7339),tensor(7340),tensor(0.6417)
11,tensor(7339),tensor(7342),tensor(0.6097)
12,tensor(7340),tensor(7337),tensor(0.5426)
13,tensor(7340),tensor(7339),tensor(0.5855)
14,tensor(7340),tensor(7343),tensor(0.5540)
15,tensor(7341),tensor(7337),tensor(0.4956)
16,tensor(7342),tensor(7339),tensor(0.6187)
17,tensor(7343),tensor(7340),tensor(0.6164)
