,P1,P2,Prob
0,tensor(734),tensor(10136),tensor(0.7031)
1,tensor(10134),tensor(10135),tensor(0.6405)
2,tensor(10134),tensor(10136),tensor(0.6943)
3,tensor(10135),tensor(10134),tensor(0.6435)
4,tensor(10135),tensor(10137),tensor(0.6472)
5,tensor(10136),tensor(734),tensor(0.6666)
6,tensor(10136),tensor(10134),tensor(0.6330)
7,tensor(10136),tensor(10137),tensor(0.6314)
8,tensor(10136),tensor(10141),tensor(0.6660)
9,tensor(10136),tensor(10822),tensor(0.6515)
10,tensor(10137),tensor(10135),tensor(0.6494)
11,tensor(10137),tensor(10136),tensor(0.7004)
12,tensor(10137),tensor(10141),tensor(0.6872)
13,tensor(10141),tensor(10136),tensor(0.7158)
14,tensor(10141),tensor(10137),tensor(0.6646)
15,tensor(10141),tensor(10142),tensor(0.6941)
16,tensor(10142),tensor(10141),tensor(0.6443)
17,tensor(10822),tensor(10136),tensor(0.7172)
