,P1,P2,Prob
0,tensor(3811),tensor(7548),tensor(0.5079)
1,tensor(7159),tensor(7556),tensor(0.4538)
2,tensor(7546),tensor(7547),tensor(0.5251)
3,tensor(7546),tensor(7548),tensor(0.5207)
4,tensor(7547),tensor(7546),tensor(0.5324)
5,tensor(7547),tensor(7554),tensor(0.5390)
6,tensor(7547),tensor(7555),tensor(0.4725)
7,tensor(7547),tensor(9066),tensor(0.5343)
8,tensor(7547),tensor(9191),tensor(0.6348)
9,tensor(7548),tensor(3811),tensor(0.6080)
10,tensor(7548),tensor(7546),tensor(0.5772)
11,tensor(7548),tensor(7554),tensor(0.5717)
12,tensor(7548),tensor(7556),tensor(0.5250)
13,tensor(7554),tensor(7547),tensor(0.5244)
14,tensor(7554),tensor(7548),tensor(0.5269)
15,tensor(7554),tensor(7556),tensor(0.4992)
16,tensor(7554),tensor(7557),tensor(0.5864)
17,tensor(7555),tensor(7547),tensor(0.4577)
18,tensor(7556),tensor(7159),tensor(0.5021)
19,tensor(7556),tensor(7548),tensor(0.5211)
20,tensor(7556),tensor(7554),tensor(0.5514)
21,tensor(7556),tensor(7558),tensor(0.4482)
22,tensor(7556),tensor(7559),tensor(0.4835)
23,tensor(7557),tensor(7554),tensor(0.5553)
24,tensor(7558),tensor(7556),tensor(0.4602)
25,tensor(7559),tensor(7556),tensor(0.4569)
26,tensor(9066),tensor(7547),tensor(0.4953)
27,tensor(9191),tensor(7547),tensor(0.4938)
