,P1,P2,Prob
0,tensor(182),tensor(185),tensor(0.4612)
1,tensor(185),tensor(182),tensor(0.3486)
2,tensor(185),tensor(3255),tensor(0.4780)
3,tensor(185),tensor(5038),tensor(0.3943)
4,tensor(185),tensor(6156),tensor(0.4038)
5,tensor(200),tensor(6155),tensor(0.4419)
6,tensor(733),tensor(6155),tensor(0.3986)
7,tensor(2605),tensor(2606),tensor(0.4296)
8,tensor(2605),tensor(2607),tensor(0.4753)
9,tensor(2605),tensor(6156),tensor(0.4259)
10,tensor(2606),tensor(2605),tensor(0.4054)
11,tensor(2607),tensor(2605),tensor(0.4133)
12,tensor(3255),tensor(185),tensor(0.4870)
13,tensor(5038),tensor(185),tensor(0.4183)
14,tensor(6155),tensor(200),tensor(0.4137)
15,tensor(6155),tensor(733),tensor(0.3879)
16,tensor(6155),tensor(6156),tensor(0.4046)
17,tensor(6155),tensor(6157),tensor(0.4028)
18,tensor(6156),tensor(185),tensor(0.4868)
19,tensor(6156),tensor(2605),tensor(0.4380)
20,tensor(6156),tensor(6155),tensor(0.4531)
21,tensor(6156),tensor(6158),tensor(0.5653)
22,tensor(6156),tensor(6159),tensor(0.5656)
23,tensor(6156),tensor(6160),tensor(0.4160)
24,tensor(6157),tensor(6155),tensor(0.4114)
25,tensor(6157),tensor(6158),tensor(0.5321)
26,tensor(6157),tensor(6161),tensor(0.4303)
27,tensor(6158),tensor(6156),tensor(0.5172)
28,tensor(6158),tensor(6157),tensor(0.5138)
29,tensor(6158),tensor(6161),tensor(0.5430)
30,tensor(6158),tensor(11511),tensor(0.5259)
31,tensor(6159),tensor(6156),tensor(0.3981)
32,tensor(6160),tensor(6156),tensor(0.4524)
33,tensor(6160),tensor(11639),tensor(0.4577)
34,tensor(6161),tensor(6157),tensor(0.4540)
35,tensor(6161),tensor(6158),tensor(0.5742)
36,tensor(11511),tensor(6158),tensor(0.5300)
37,tensor(11639),tensor(6160),tensor(0.4187)
