,lr,alpha,beta,best acc,best prec,best rec,best f1,best faith,avg certainty,what is og
0,0.05,0.7,0.1,0.875,1,0.933333333,0.875,-1.07E-06,0.8931,og alpha
1,0.05,0.7,0.2,0.875,1,0.933333333,0.875,-1.07E-06,0.7855,og alpha
2,0.05,0.7,0.3,0.875,1,0.933333333,0.875,-1.07E-06,0.6769,og alpha
3,0.05,0.7,0.4,0.875,1,0.933333333,0.875,-1.07E-06,0.6302,og alpha
4,0.05,0.7,0.5,0.875,1,0.933333333,0.875,-1.07E-06,0.5782,og alpha
5,0.05,0.7,0.6,0.764705882,0.928571429,0.866666667,0.8125,0.506327301,0.5364,og alpha
6,0.05,0.7,0.7,0.555555556,0.714285714,0.714285714,0.714285714,0.999955521,0.5098,og alpha
7,0.05,0.7,0.8,0.55,0.785714286,0.709677419,0.647058823,0.919873483,0.5055,og alpha
8,0.05,0.7,0.9,0.5,0.583333333,0.666666667,0.777777778,0.996263854,0.4561,og alpha
9,0.05,0.7,1,0.285714286,0.285714286,0.444444444,1,0.997974606,0.4254,og alpha
10,0.05,0.1,0.6,0.230769231,0.25,0.375,0.75,0.999850743,0.1756,og beta
11,0.05,0.2,0.6,0.266666667,0.285714286,0.421052632,0.8,0.999999999,0.2654,og beta
12,0.05,0.3,0.6,0.266666667,0.285714286,0.421052632,0.8,0.999999999,0.3479,og beta
13,0.05,0.4,0.6,0.384615385,0.416666667,0.555555555,0.833333333,0.999696541,0.4227,og beta
14,0.05,0.5,0.6,0.6,0.642857143,0.75,0.9,0.747550637,0.4663,og beta
15,0.05,0.6,0.6,0.666666667,0.857142857,0.8,0.75,0.208764732,0.5183,og beta
16,0.05,0.7,0.6,0.764705882,0.928571429,0.866666667,0.8125,0.691282988,0.5356,og beta
17,0.05,0.8,0.6,0.875,1,0.933333333,0.875,-1.07E-06,0.5892,og beta
18,0.05,0.9,0.6,0.875,1,0.933333333,0.875,-1.07E-06,0.6109,og beta
19,0.05,1,0.6,0.875,1,0.933333333,0.875,-1.07E-06,0.6405,og beta
