,P1,P2,Prob
0,tensor(74),tensor(10071),tensor(0.2807)
1,tensor(605),tensor(609),tensor(0.2775)
2,tensor(609),tensor(605),tensor(0.2140)
3,tensor(609),tensor(6130),tensor(0.2494)
4,tensor(609),tensor(10493),tensor(0.2648)
5,tensor(1453),tensor(9636),tensor(0.1982)
6,tensor(2544),tensor(10073),tensor(0.2226)
7,tensor(2688),tensor(2690),tensor(0.2670)
8,tensor(2689),tensor(2690),tensor(0.2814)
9,tensor(2689),tensor(2693),tensor(0.2885)
10,tensor(2690),tensor(2688),tensor(0.2850)
11,tensor(2690),tensor(2689),tensor(0.2893)
12,tensor(2690),tensor(2693),tensor(0.2790)
13,tensor(2690),tensor(2694),tensor(0.2578)
14,tensor(2690),tensor(4586),tensor(0.2829)
15,tensor(2690),tensor(8299),tensor(0.2548)
16,tensor(2693),tensor(2689),tensor(0.2762)
17,tensor(2693),tensor(2690),tensor(0.2553)
18,tensor(2694),tensor(2690),tensor(0.2692)
19,tensor(2716),tensor(10068),tensor(0.2774)
20,tensor(4583),tensor(4584),tensor(0.2927)
21,tensor(4583),tensor(4585),tensor(0.2709)
22,tensor(4583),tensor(4586),tensor(0.3044)
23,tensor(4583),tensor(4642),tensor(0.2890)
24,tensor(4584),tensor(4583),tensor(0.2422)
25,tensor(4585),tensor(4583),tensor(0.2269)
26,tensor(4586),tensor(2690),tensor(0.2669)
27,tensor(4586),tensor(4583),tensor(0.2417)
28,tensor(4586),tensor(9935),tensor(0.2799)
29,tensor(4586),tensor(10070),tensor(0.2111)
30,tensor(4586),tensor(11227),tensor(0.3036)
31,tensor(4642),tensor(4583),tensor(0.2199)
32,tensor(4660),tensor(9935),tensor(0.2993)
33,tensor(5805),tensor(5808),tensor(0.2134)
34,tensor(5808),tensor(5805),tensor(0.0007)
35,tensor(5808),tensor(10066),tensor(0.4200)
36,tensor(5901),tensor(11227),tensor(0.2729)
37,tensor(6032),tensor(6040),tensor(0.1995)
38,tensor(6040),tensor(6032),tensor(0.3188)
39,tensor(6040),tensor(10493),tensor(0.3348)
40,tensor(6099),tensor(7525),tensor(0.2388)
41,tensor(6130),tensor(609),tensor(0.2713)
42,tensor(7523),tensor(7525),tensor(0.2287)
43,tensor(7524),tensor(7525),tensor(0.2416)
44,tensor(7524),tensor(7527),tensor(0.2127)
45,tensor(7525),tensor(6099),tensor(0.2346)
46,tensor(7525),tensor(7523),tensor(0.2373)
47,tensor(7525),tensor(7524),tensor(0.2259)
48,tensor(7525),tensor(7527),tensor(0.1745)
49,tensor(7525),tensor(9639),tensor(0.2511)
50,tensor(7527),tensor(7524),tensor(0.2902)
51,tensor(7527),tensor(7525),tensor(0.2621)
52,tensor(8053),tensor(13142),tensor(0.2880)
53,tensor(8299),tensor(2690),tensor(0.2890)
54,tensor(8795),tensor(9935),tensor(0.3266)
55,tensor(9385),tensor(9387),tensor(0.2331)
