,P1,P2,Prob
0,tensor(13101),tensor(13102),tensor(0.7214)
1,tensor(13101),tensor(13103),tensor(0.7205)
2,tensor(13101),tensor(13104),tensor(0.6554)
3,tensor(13102),tensor(13101),tensor(0.6750)
4,tensor(13102),tensor(13105),tensor(0.6124)
5,tensor(13102),tensor(13106),tensor(0.6381)
6,tensor(13103),tensor(13101),tensor(0.6199)
7,tensor(13103),tensor(13105),tensor(0.5613)
8,tensor(13103),tensor(13107),tensor(0.5957)
9,tensor(13104),tensor(13101),tensor(0.5801)
10,tensor(13105),tensor(13102),tensor(0.6626)
11,tensor(13105),tensor(13103),tensor(0.6668)
12,tensor(13105),tensor(13107),tensor(0.5983)
13,tensor(13106),tensor(13102),tensor(0.6880)
14,tensor(13107),tensor(13103),tensor(0.6790)
15,tensor(13107),tensor(13105),tensor(0.5743)
