,P1,P2,Prob
0,tensor(5001),tensor(11749),tensor(0.4736)
1,tensor(8195),tensor(11750),tensor(0.4871)
2,tensor(11747),tensor(11748),tensor(0.5581)
3,tensor(11747),tensor(11749),tensor(0.5354)
4,tensor(11747),tensor(11750),tensor(0.5110)
5,tensor(11747),tensor(11751),tensor(0.5934)
6,tensor(11748),tensor(11747),tensor(0.5788)
7,tensor(11748),tensor(11752),tensor(0.5537)
8,tensor(11749),tensor(5001),tensor(0.5050)
9,tensor(11749),tensor(11747),tensor(0.5773)
10,tensor(11749),tensor(11752),tensor(0.5639)
11,tensor(11749),tensor(11753),tensor(0.5644)
12,tensor(11750),tensor(8195),tensor(0.4765)
13,tensor(11750),tensor(11747),tensor(0.5073)
14,tensor(11751),tensor(11747),tensor(0.5185)
15,tensor(11752),tensor(11748),tensor(0.5310)
16,tensor(11752),tensor(11749),tensor(0.4980)
17,tensor(11752),tensor(11753),tensor(0.5472)
18,tensor(11753),tensor(11749),tensor(0.5599)
19,tensor(11753),tensor(11752),tensor(0.5874)
