,P1,P2,Prob
0,tensor(5865),tensor(5869),tensor(0.3331)
1,tensor(5869),tensor(5865),tensor(0.3681)
2,tensor(5869),tensor(10808),tensor(0.3786)
3,tensor(6925),tensor(10805),tensor(0.4548)
4,tensor(7227),tensor(10811),tensor(0.4345)
5,tensor(8182),tensor(8185),tensor(0.3903)
6,tensor(8183),tensor(8185),tensor(0.3735)
7,tensor(8183),tensor(8187),tensor(0.3867)
8,tensor(8185),tensor(8182),tensor(0.4397)
9,tensor(8185),tensor(8183),tensor(0.4450)
10,tensor(8185),tensor(8187),tensor(0.4315)
11,tensor(8185),tensor(8190),tensor(0.4796)
12,tensor(8185),tensor(8191),tensor(0.4624)
13,tensor(8185),tensor(8192),tensor(0.3845)
14,tensor(8187),tensor(8183),tensor(0.4468)
15,tensor(8187),tensor(8185),tensor(0.4101)
16,tensor(8190),tensor(8185),tensor(0.4022)
17,tensor(8191),tensor(8185),tensor(0.4022)
18,tensor(8192),tensor(8185),tensor(0.3644)
19,tensor(8192),tensor(10813),tensor(0.4264)
20,tensor(10802),tensor(10803),tensor(0.4909)
21,tensor(10802),tensor(10804),tensor(0.3911)
22,tensor(10803),tensor(10802),tensor(0.4930)
23,tensor(10803),tensor(10805),tensor(0.5000)
24,tensor(10804),tensor(10802),tensor(0.5212)
25,tensor(10804),tensor(10805),tensor(0.5254)
26,tensor(10804),tensor(10808),tensor(0.4400)
27,tensor(10804),tensor(10809),tensor(0.4599)
28,tensor(10804),tensor(10810),tensor(0.4219)
29,tensor(10805),tensor(6925),tensor(0.4376)
30,tensor(10805),tensor(10803),tensor(0.5144)
31,tensor(10805),tensor(10804),tensor(0.4154)
32,tensor(10805),tensor(10808),tensor(0.4392)
33,tensor(10808),tensor(5869),tensor(0.3978)
34,tensor(10808),tensor(10804),tensor(0.3590)
35,tensor(10808),tensor(10805),tensor(0.4661)
36,tensor(10808),tensor(10811),tensor(0.4654)
37,tensor(10808),tensor(10812),tensor(0.4666)
38,tensor(10808),tensor(10813),tensor(0.4266)
39,tensor(10809),tensor(10804),tensor(0.4100)
40,tensor(10810),tensor(10804),tensor(0.4021)
41,tensor(10811),tensor(7227),tensor(0.3510)
42,tensor(10811),tensor(10808),tensor(0.3421)
43,tensor(10812),tensor(10808),tensor(0.3854)
44,tensor(10813),tensor(8192),tensor(0.3870)
45,tensor(10813),tensor(10808),tensor(0.4431)
