,lr,alpha,beta,best acc,best prec,best rec,best f1,best faith,avg certainty,what is og
0,0.05,0.6,0.1,0.875,1,0.933333333,0.875,-1.19E-07,0.8963,og alpha
1,0.05,0.6,0.2,0.875,1,0.933333333,0.875,-1.19E-07,0.7465,og alpha
2,0.05,0.6,0.3,0.875,1,0.933333333,0.875,-1.19E-07,0.6499,og alpha
3,0.05,0.6,0.4,0.823529412,1,0.903225806,0.823529412,0.096242547,0.5718,og alpha
4,0.05,0.6,0.5,0.75,0.857142857,0.857142857,0.857142857,0.091427684,0.5375,og alpha
5,0.05,0.6,0.6,0.611111111,0.785714286,0.75862069,0.733333333,0.823628038,0.5206,og alpha
6,0.05,0.6,0.7,0.636363636,1,0.777777778,0.636363636,0.999070853,0.4921,og alpha
7,0.05,0.6,0.8,0.375,0.428571429,0.545454545,0.75,0.998977188,0.4827,og alpha
8,0.05,0.6,0.9,0.428571429,0.428571429,0.6,1,0.998977264,0.4827,og alpha
9,0.05,0.6,1,0.314285714,0.392857143,0.47826087,0.611111111,0.999835874,0.4466,og alpha
10,0.05,0.1,0.6,0.24137931,0.25,0.388888889,0.875,0.999948605,0.2417,og beta
11,0.05,0.2,0.6,0.290322581,0.321428571,0.45,0.75,0.996329448,0.3569,og beta
12,0.05,0.3,0.6,0.333333333,0.392857143,0.5,0.6875,0.991437994,0.4362,og beta
13,0.05,0.4,0.6,0.375,0.428571429,0.545454545,0.75,0.998791393,0.4318,og beta
14,0.05,0.5,0.6,0.647058823,0.785714286,0.785714286,0.785714286,0.95418065,0.5,og beta
15,0.05,0.6,0.6,0.764705882,0.928571429,0.866666667,0.8125,0.948412277,0.5133,og beta
16,0.05,0.7,0.6,0.736842105,1,0.848484848,0.736842105,0.032232881,0.566,og beta
17,0.05,0.8,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.5872,og beta
18,0.05,0.9,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.6164,og beta
19,0.05,1,0.6,0.875,1,0.933333333,0.875,-1.19E-07,0.6272,og beta
