,P1,P2,Prob
0,tensor(3769),tensor(10247),tensor(0.3660)
1,tensor(3836),tensor(10247),tensor(0.3884)
2,tensor(8127),tensor(10247),tensor(0.3602)
3,tensor(10240),tensor(10241),tensor(0.4354)
4,tensor(10240),tensor(10242),tensor(0.4080)
5,tensor(10241),tensor(10240),tensor(0.5040)
6,tensor(10241),tensor(10245),tensor(0.5002)
7,tensor(10241),tensor(10246),tensor(0.4363)
8,tensor(10241),tensor(12254),tensor(0.4260)
9,tensor(10242),tensor(10240),tensor(0.5368)
10,tensor(10242),tensor(10245),tensor(0.5340)
11,tensor(10242),tensor(10247),tensor(0.4203)
12,tensor(10242),tensor(10248),tensor(0.4820)
13,tensor(10242),tensor(10249),tensor(0.4081)
14,tensor(10242),tensor(10250),tensor(0.5134)
15,tensor(10245),tensor(10241),tensor(0.4272)
16,tensor(10245),tensor(10242),tensor(0.4108)
17,tensor(10245),tensor(10247),tensor(0.3555)
18,tensor(10245),tensor(10251),tensor(0.4538)
19,tensor(10246),tensor(10241),tensor(0.4277)
20,tensor(10247),tensor(3769),tensor(0.4978)
21,tensor(10247),tensor(3836),tensor(0.4768)
22,tensor(10247),tensor(8127),tensor(0.4183)
23,tensor(10247),tensor(10242),tensor(0.4530)
24,tensor(10247),tensor(10245),tensor(0.5092)
25,tensor(10247),tensor(10252),tensor(0.3814)
26,tensor(10247),tensor(10253),tensor(0.4310)
27,tensor(10247),tensor(10254),tensor(0.5367)
28,tensor(10247),tensor(10775),tensor(0.4389)
29,tensor(10248),tensor(10242),tensor(0.3876)
30,tensor(10249),tensor(10242),tensor(0.3355)
31,tensor(10250),tensor(10242),tensor(0.3878)
32,tensor(10251),tensor(10245),tensor(0.5309)
33,tensor(10252),tensor(10247),tensor(0.3245)
34,tensor(10253),tensor(10247),tensor(0.3518)
35,tensor(10254),tensor(10247),tensor(0.3514)
36,tensor(10775),tensor(10247),tensor(0.3553)
37,tensor(12254),tensor(10241),tensor(0.4480)
