,P1,P2,Prob
0,tensor(4974),tensor(4975),tensor(0.6197)
1,tensor(4974),tensor(4976),tensor(0.5916)
2,tensor(4975),tensor(4974),tensor(0.6426)
3,tensor(4975),tensor(4977),tensor(0.6390)
4,tensor(4975),tensor(4978),tensor(0.6400)
5,tensor(4976),tensor(4974),tensor(0.6076)
6,tensor(4976),tensor(4977),tensor(0.6165)
7,tensor(4976),tensor(4979),tensor(0.6101)
8,tensor(4977),tensor(4975),tensor(0.6003)
9,tensor(4977),tensor(4976),tensor(0.5808)
10,tensor(4977),tensor(4979),tensor(0.6131)
11,tensor(4977),tensor(4981),tensor(0.6286)
12,tensor(4978),tensor(4975),tensor(0.6091)
13,tensor(4979),tensor(4976),tensor(0.6429)
14,tensor(4979),tensor(4977),tensor(0.6962)
15,tensor(4981),tensor(4977),tensor(0.6962)
