,P1,P2,Prob
0,tensor(8254),tensor(12634),tensor(0.4258)
1,tensor(12632),tensor(12633),tensor(0.6261)
2,tensor(12632),tensor(12634),tensor(0.5459)
3,tensor(12632),tensor(12635),tensor(0.7470)
4,tensor(12633),tensor(12632),tensor(0.6177)
5,tensor(12633),tensor(12636),tensor(0.4824)
6,tensor(12633),tensor(12637),tensor(0.5934)
7,tensor(12634),tensor(8254),tensor(0.4497)
8,tensor(12634),tensor(12632),tensor(0.5102)
9,tensor(12634),tensor(12636),tensor(0.3706)
10,tensor(12634),tensor(12638),tensor(0.4328)
11,tensor(12634),tensor(12639),tensor(0.3777)
12,tensor(12634),tensor(12640),tensor(0.4185)
13,tensor(12635),tensor(12632),tensor(0.7620)
14,tensor(12636),tensor(12633),tensor(0.4318)
15,tensor(12636),tensor(12634),tensor(0.3503)
16,tensor(12636),tensor(12638),tensor(0.3892)
17,tensor(12637),tensor(12633),tensor(0.5003)
18,tensor(12638),tensor(12634),tensor(0.4116)
19,tensor(12638),tensor(12636),tensor(0.3965)
20,tensor(12639),tensor(12634),tensor(0.4205)
21,tensor(12640),tensor(12634),tensor(0.3591)
