,P1,P2,Prob
0,tensor(1257),tensor(10222),tensor(0.3571)
1,tensor(1565),tensor(1567),tensor(0.3482)
2,tensor(1566),tensor(1567),tensor(0.3686)
3,tensor(1566),tensor(1570),tensor(0.4298)
4,tensor(1567),tensor(1565),tensor(0.3669)
5,tensor(1567),tensor(1566),tensor(0.3398)
6,tensor(1567),tensor(1570),tensor(0.4315)
7,tensor(1567),tensor(1573),tensor(0.3689)
8,tensor(1567),tensor(5774),tensor(0.3673)
9,tensor(1567),tensor(9498),tensor(0.5592)
10,tensor(1570),tensor(1566),tensor(0.3331)
11,tensor(1570),tensor(1567),tensor(0.3731)
12,tensor(1573),tensor(1567),tensor(0.4032)
13,tensor(1845),tensor(9497),tensor(0.4511)
14,tensor(5702),tensor(10219),tensor(0.4057)
15,tensor(5774),tensor(1567),tensor(0.3696)
16,tensor(8784),tensor(10222),tensor(0.3822)
17,tensor(9497),tensor(1845),tensor(0.5375)
18,tensor(9497),tensor(9498),tensor(0.7135)
19,tensor(9497),tensor(9499),tensor(0.4760)
20,tensor(9497),tensor(9500),tensor(0.5108)
21,tensor(9498),tensor(1567),tensor(0.6757)
22,tensor(9498),tensor(9497),tensor(0.7270)
23,tensor(9498),tensor(9501),tensor(0.6782)
24,tensor(9498),tensor(10223),tensor(0.8683)
25,tensor(9499),tensor(9497),tensor(0.4183)
26,tensor(9499),tensor(9501),tensor(0.3653)
27,tensor(9499),tensor(9502),tensor(0.4393)
28,tensor(9500),tensor(9497),tensor(0.5579)
29,tensor(9501),tensor(9498),tensor(0.5632)
30,tensor(9501),tensor(9499),tensor(0.3147)
31,tensor(9501),tensor(9502),tensor(0.4526)
32,tensor(9501),tensor(9503),tensor(0.3418)
33,tensor(9501),tensor(9504),tensor(0.3022)
34,tensor(9502),tensor(9499),tensor(0.3248)
35,tensor(9502),tensor(9501),tensor(0.3868)
36,tensor(9503),tensor(9501),tensor(0.3652)
37,tensor(9504),tensor(9501),tensor(0.3772)
38,tensor(10219),tensor(5702),tensor(0.5130)
39,tensor(10219),tensor(10220),tensor(0.5063)
40,tensor(10219),tensor(10221),tensor(0.4338)
41,tensor(10220),tensor(10219),tensor(0.5723)
42,tensor(10220),tensor(10222),tensor(0.5389)
43,tensor(10220),tensor(10223),tensor(0.8090)
44,tensor(10220),tensor(10467),tensor(0.5181)
45,tensor(10221),tensor(10219),tensor(0.3582)
46,tensor(10221),tensor(10222),tensor(0.3272)
47,tensor(10221),tensor(10224),tensor(0.3739)
48,tensor(10222),tensor(1257),tensor(0.4337)
49,tensor(10222),tensor(8784),tensor(0.4029)
50,tensor(10222),tensor(10220),tensor(0.4278)
51,tensor(10222),tensor(10221),tensor(0.3736)
52,tensor(10222),tensor(10224),tensor(0.4078)
53,tensor(10222),tensor(10225),tensor(0.4146)
54,tensor(10222),tensor(10226),tensor(0.3955)
55,tensor(10223),tensor(9498),tensor(0.8180)
56,tensor(10223),tensor(10220),tensor(0.7195)
57,tensor(10224),tensor(10221),tensor(0.4008)
58,tensor(10224),tensor(10222),tensor(0.3855)
59,tensor(10225),tensor(10222),tensor(0.3399)
60,tensor(10226),tensor(10222),tensor(0.3291)
61,tensor(10466),tensor(10467),tensor(0.3553)
62,tensor(10467),tensor(10220),tensor(0.3810)
63,tensor(10467),tensor(10466),tensor(0.3449)
64,tensor(10467),tensor(10469),tensor(0.3621)
65,tensor(10467),tensor(10470),tensor(0.4047)
66,tensor(10469),tensor(10467),tensor(0.3231)
67,tensor(10470),tensor(10467),tensor(0.3437)
