,lr,alpha,beta,best acc,best prec,best rec,best f1,best faith,avg certainty,what is og
0,0.05,0.8,0.1,0.777777778,1,0.875,0.777777778,-2.38E-07,0.9145,og alpha
1,0.05,0.8,0.2,0.777777778,1,0.875,0.777777778,-2.38E-07,0.7764,og alpha
2,0.05,0.8,0.3,0.777777778,1,0.875,0.777777778,-2.38E-07,0.7149,og alpha
3,0.05,0.8,0.4,0.823529412,1,0.903225806,0.823529412,0.734838158,0.6534,og alpha
4,0.05,0.8,0.5,0.823529412,1,0.903225806,0.823529412,0.734838158,0.5958,og alpha
5,0.05,0.8,0.6,0.823529412,1,0.903225806,0.823529412,0.062413275,0.5678,og alpha
6,0.05,0.8,0.7,0.823529412,1,0.903225806,0.823529412,0.056464791,0.555,og alpha
7,0.05,0.8,0.8,0.666666667,0.857142857,0.8,0.75,0.764587224,0.5159,og alpha
8,0.05,0.8,0.9,0.6875,0.785714286,0.814814815,0.846153846,0.382656574,0.4971,og alpha
9,0.05,0.8,1,0.428571429,0.642857143,0.6,0.5625,0.920986153,0.4635,og alpha
10,0.05,0.1,0.8,0.25,0.285714286,0.4,0.666666667,0.999964387,0.1759,og beta
11,0.05,0.2,0.8,0.266666667,0.285714286,0.421052632,0.8,0.999961604,0.2082,og beta
12,0.05,0.3,0.8,0.266666667,0.285714286,0.421052632,0.8,0.999961604,0.2896,og beta
13,0.05,0.4,0.8,0.25,0.285714286,0.4,0.666666667,0.999977913,0.3326,og beta
14,0.05,0.5,0.8,0.285714286,0.428571429,0.444444444,0.461538462,0.997033309,0.4113,og beta
15,0.05,0.6,0.8,0.5,0.538461538,0.666666667,0.875,0.999606422,0.4532,og beta
16,0.05,0.7,0.8,0.666666667,0.714285714,0.8,0.909090909,0.835945845,0.4927,og beta
17,0.05,0.8,0.8,0.6875,0.785714286,0.814814815,0.846153846,0.214212775,0.5354,og beta
18,0.05,0.9,0.8,0.722222222,0.928571429,0.838709677,0.764705882,0.645053774,0.5405,og beta
19,0.05,1,0.8,0.777777778,1,0.875,0.777777778,-2.38E-07,0.5758,og beta
