,P1,P2,Prob
0,tensor(921),tensor(926),tensor(0.5338)
1,tensor(926),tensor(921),tensor(0.7053)
2,tensor(926),tensor(13015),tensor(0.0032)
3,tensor(13015),tensor(926),tensor(0.5599)
4,tensor(13015),tensor(13016),tensor(0.5759)
5,tensor(13015),tensor(13017),tensor(0.5883)
6,tensor(13015),tensor(13018),tensor(0.5090)
7,tensor(13016),tensor(13015),tensor(0.6795)
8,tensor(13016),tensor(13019),tensor(0.4671)
9,tensor(13017),tensor(13015),tensor(0.7145)
10,tensor(13017),tensor(13019),tensor(0.5159)
11,tensor(13017),tensor(13020),tensor(0.5067)
12,tensor(13017),tensor(13021),tensor(0.4708)
13,tensor(13018),tensor(13015),tensor(0.6111)
14,tensor(13019),tensor(13016),tensor(0.5619)
15,tensor(13019),tensor(13017),tensor(0.5784)
16,tensor(13019),tensor(13020),tensor(0.5498)
17,tensor(13020),tensor(13017),tensor(0.5804)
18,tensor(13020),tensor(13019),tensor(0.5753)
19,tensor(13021),tensor(13017),tensor(0.5223)
