,P1,P2,Prob
0,tensor(1943),tensor(5649),tensor(0.6084)
1,tensor(5649),tensor(1943),tensor(0.5546)
2,tensor(5649),tensor(5650),tensor(0.5886)
3,tensor(5649),tensor(5651),tensor(0.5902)
4,tensor(5650),tensor(5649),tensor(0.5645)
5,tensor(5650),tensor(5652),tensor(0.5574)
6,tensor(5650),tensor(5653),tensor(0.5431)
7,tensor(5650),tensor(5654),tensor(0.5820)
8,tensor(5651),tensor(5649),tensor(0.6013)
9,tensor(5651),tensor(5652),tensor(0.5921)
10,tensor(5651),tensor(5655),tensor(0.6532)
11,tensor(5652),tensor(5650),tensor(0.5155)
12,tensor(5652),tensor(5651),tensor(0.5142)
13,tensor(5652),tensor(5655),tensor(0.6001)
14,tensor(5653),tensor(5650),tensor(0.5051)
15,tensor(5654),tensor(5650),tensor(0.5643)
16,tensor(5655),tensor(5651),tensor(0.6012)
17,tensor(5655),tensor(5652),tensor(0.6293)
