,P1,P2,Prob
0,tensor(6602),tensor(6603),tensor(0.6442)
1,tensor(6602),tensor(6604),tensor(0.5587)
2,tensor(6602),tensor(6605),tensor(0.4170)
3,tensor(6603),tensor(6602),tensor(0.6129)
4,tensor(6603),tensor(6606),tensor(0.5604)
5,tensor(6603),tensor(6607),tensor(0.6540)
6,tensor(6604),tensor(6602),tensor(0.5908)
7,tensor(6604),tensor(6606),tensor(0.5426)
8,tensor(6604),tensor(6608),tensor(0.5785)
9,tensor(6605),tensor(6602),tensor(0.6796)
10,tensor(6606),tensor(6603),tensor(0.7159)
11,tensor(6606),tensor(6604),tensor(0.6247)
12,tensor(6606),tensor(6608),tensor(0.5358)
13,tensor(6606),tensor(12885),tensor(0.5326)
14,tensor(6607),tensor(6603),tensor(0.5133)
15,tensor(6608),tensor(6604),tensor(0.7347)
16,tensor(6608),tensor(6606),tensor(0.6121)
17,tensor(12885),tensor(6606),tensor(0.6162)
