,P1,P2,Prob
0,tensor(2231),tensor(5290),tensor(0.4095)
1,tensor(4856),tensor(9813),tensor(0.4204)
2,tensor(5238),tensor(9804),tensor(0.5369)
3,tensor(5286),tensor(5288),tensor(0.4230)
4,tensor(5286),tensor(5290),tensor(0.4476)
5,tensor(5288),tensor(5286),tensor(0.3834)
6,tensor(5288),tensor(5290),tensor(0.4160)
7,tensor(5290),tensor(2231),tensor(0.3959)
8,tensor(5290),tensor(5286),tensor(0.3453)
9,tensor(5290),tensor(5288),tensor(0.3650)
10,tensor(5290),tensor(7535),tensor(0.3811)
11,tensor(7526),tensor(7528),tensor(0.4492)
12,tensor(7526),tensor(7529),tensor(0.4115)
13,tensor(7528),tensor(7526),tensor(0.4071)
14,tensor(7528),tensor(7529),tensor(0.3901)
15,tensor(7529),tensor(7526),tensor(0.4307)
16,tensor(7529),tensor(7528),tensor(0.4545)
17,tensor(7529),tensor(7535),tensor(0.4709)
18,tensor(7535),tensor(5290),tensor(0.3669)
19,tensor(7535),tensor(7529),tensor(0.3149)
20,tensor(7535),tensor(9814),tensor(0.4280)
21,tensor(8917),tensor(9813),tensor(0.4363)
22,tensor(9402),tensor(9804),tensor(0.4859)
23,tensor(9804),tensor(5238),tensor(0.4910)
24,tensor(9804),tensor(9402),tensor(0.5241)
25,tensor(9804),tensor(9805),tensor(0.5009)
26,tensor(9804),tensor(9806),tensor(0.5741)
27,tensor(9804),tensor(9807),tensor(0.5172)
28,tensor(9804),tensor(9808),tensor(0.5602)
29,tensor(9805),tensor(9804),tensor(0.4491)
30,tensor(9805),tensor(9809),tensor(0.4471)
31,tensor(9806),tensor(9804),tensor(0.5586)
32,tensor(9806),tensor(9809),tensor(0.5546)
33,tensor(9806),tensor(9813),tensor(0.5163)
34,tensor(9806),tensor(9814),tensor(0.5866)
35,tensor(9806),tensor(9815),tensor(0.6464)
36,tensor(9807),tensor(9804),tensor(0.4549)
37,tensor(9808),tensor(9804),tensor(0.5031)
38,tensor(9809),tensor(9805),tensor(0.4606)
39,tensor(9809),tensor(9806),tensor(0.5348)
40,tensor(9809),tensor(9813),tensor(0.4654)
41,tensor(9809),tensor(9816),tensor(0.5688)
42,tensor(9813),tensor(4856),tensor(0.4727)
43,tensor(9813),tensor(8917),tensor(0.3409)
44,tensor(9813),tensor(9806),tensor(0.5067)
45,tensor(9813),tensor(9809),tensor(0.4742)
46,tensor(9813),tensor(9817),tensor(0.4352)
47,tensor(9814),tensor(7535),tensor(0.4412)
48,tensor(9814),tensor(9806),tensor(0.5042)
49,tensor(9815),tensor(9806),tensor(0.4997)
50,tensor(9816),tensor(9809),tensor(0.4513)
51,tensor(9817),tensor(9813),tensor(0.4899)
