,P1,P2,Prob
0,tensor(6589),tensor(6590),tensor(0.5271)
1,tensor(6589),tensor(6591),tensor(0.5395)
2,tensor(6590),tensor(6589),tensor(0.6033)
3,tensor(6590),tensor(6592),tensor(0.6273)
4,tensor(6591),tensor(6589),tensor(0.5617)
5,tensor(6591),tensor(6592),tensor(0.5997)
6,tensor(6591),tensor(6598),tensor(0.5952)
7,tensor(6591),tensor(6599),tensor(0.5702)
8,tensor(6592),tensor(6590),tensor(0.6153)
9,tensor(6592),tensor(6591),tensor(0.6236)
10,tensor(6592),tensor(6598),tensor(0.6746)
11,tensor(6592),tensor(6600),tensor(0.5606)
12,tensor(6598),tensor(6591),tensor(0.5563)
13,tensor(6598),tensor(6592),tensor(0.6134)
14,tensor(6599),tensor(6591),tensor(0.5442)
15,tensor(6600),tensor(6592),tensor(0.5491)
