,P1,P2,Prob
0,tensor(6589),tensor(6590),tensor(0.6715)
1,tensor(6589),tensor(6591),tensor(0.6190)
2,tensor(6590),tensor(6589),tensor(0.6810)
3,tensor(6590),tensor(6592),tensor(0.6016)
4,tensor(6591),tensor(6589),tensor(0.6090)
5,tensor(6591),tensor(6592),tensor(0.5232)
6,tensor(6591),tensor(6598),tensor(0.5798)
7,tensor(6591),tensor(6599),tensor(0.5672)
8,tensor(6592),tensor(6590),tensor(0.7339)
9,tensor(6592),tensor(6591),tensor(0.6903)
10,tensor(6592),tensor(6598),tensor(0.6976)
11,tensor(6592),tensor(6600),tensor(0.7429)
12,tensor(6598),tensor(6591),tensor(0.5624)
13,tensor(6598),tensor(6592),tensor(0.5164)
14,tensor(6599),tensor(6591),tensor(0.6533)
15,tensor(6600),tensor(6592),tensor(0.5385)
