,P1,P2,Prob
0,tensor(8773),tensor(8774),tensor(0.5052)
1,tensor(8773),tensor(8775),tensor(0.5101)
2,tensor(8773),tensor(8776),tensor(0.5867)
3,tensor(8774),tensor(8773),tensor(0.4851)
4,tensor(8774),tensor(8777),tensor(0.5396)
5,tensor(8775),tensor(8773),tensor(0.5266)
6,tensor(8775),tensor(8777),tensor(0.5788)
7,tensor(8775),tensor(8778),tensor(0.5140)
8,tensor(8775),tensor(8779),tensor(0.4796)
9,tensor(8775),tensor(8780),tensor(0.5249)
10,tensor(8775),tensor(8781),tensor(0.5639)
11,tensor(8775),tensor(8782),tensor(0.5217)
12,tensor(8776),tensor(8773),tensor(0.5136)
13,tensor(8777),tensor(8774),tensor(0.5351)
14,tensor(8777),tensor(8775),tensor(0.5342)
15,tensor(8777),tensor(8778),tensor(0.5126)
16,tensor(8778),tensor(8775),tensor(0.5276)
17,tensor(8778),tensor(8777),tensor(0.5636)
18,tensor(8779),tensor(8775),tensor(0.4828)
19,tensor(8780),tensor(8775),tensor(0.4944)
20,tensor(8781),tensor(8775),tensor(0.5017)
21,tensor(8782),tensor(8775),tensor(0.5181)
