,P1,P2,Prob
0,tensor(1366),tensor(10791),tensor(0.5285)
1,tensor(3666),tensor(10782),tensor(0.4171)
2,tensor(4646),tensor(10781),tensor(0.4220)
3,tensor(5469),tensor(5470),tensor(0.4091)
4,tensor(5470),tensor(5469),tensor(0.4272)
5,tensor(5470),tensor(5473),tensor(0.4574)
6,tensor(5470),tensor(5474),tensor(0.3531)
7,tensor(5470),tensor(5475),tensor(0.4369)
8,tensor(5470),tensor(5476),tensor(0.5076)
9,tensor(5470),tensor(10783),tensor(0.4499)
10,tensor(5473),tensor(5470),tensor(0.4382)
11,tensor(5474),tensor(5470),tensor(0.3564)
12,tensor(5475),tensor(5470),tensor(0.4467)
13,tensor(5476),tensor(5470),tensor(0.4005)
14,tensor(5891),tensor(10781),tensor(0.4111)
15,tensor(10779),tensor(10780),tensor(0.5065)
16,tensor(10779),tensor(10781),tensor(0.5073)
17,tensor(10780),tensor(10779),tensor(0.4860)
18,tensor(10780),tensor(10782),tensor(0.4765)
19,tensor(10781),tensor(4646),tensor(0.4018)
20,tensor(10781),tensor(5891),tensor(0.4478)
21,tensor(10781),tensor(10779),tensor(0.4618)
22,tensor(10781),tensor(10782),tensor(0.4416)
23,tensor(10781),tensor(10783),tensor(0.4550)
24,tensor(10781),tensor(10784),tensor(0.4701)
25,tensor(10781),tensor(10785),tensor(0.4580)
26,tensor(10781),tensor(10786),tensor(0.4735)
27,tensor(10781),tensor(10787),tensor(0.4193)
28,tensor(10781),tensor(10788),tensor(0.4004)
29,tensor(10781),tensor(10789),tensor(0.4539)
30,tensor(10782),tensor(3666),tensor(0.4627)
31,tensor(10782),tensor(10780),tensor(0.5060)
32,tensor(10782),tensor(10781),tensor(0.5030)
33,tensor(10782),tensor(10783),tensor(0.5078)
34,tensor(10783),tensor(5470),tensor(0.5117)
35,tensor(10783),tensor(10781),tensor(0.5254)
36,tensor(10783),tensor(10782),tensor(0.5184)
37,tensor(10783),tensor(10790),tensor(0.5267)
38,tensor(10783),tensor(10791),tensor(0.5811)
39,tensor(10784),tensor(10781),tensor(0.4655)
40,tensor(10785),tensor(10781),tensor(0.4451)
41,tensor(10786),tensor(10781),tensor(0.4710)
42,tensor(10787),tensor(10781),tensor(0.5088)
43,tensor(10788),tensor(10781),tensor(0.5241)
44,tensor(10789),tensor(10781),tensor(0.4568)
45,tensor(10790),tensor(10783),tensor(0.5368)
46,tensor(10791),tensor(1366),tensor(0.4746)
47,tensor(10791),tensor(10783),tensor(0.4387)
