Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
CiteSeer,Beta,7,0.11632101,0.095581605,0.121731289,0.102194169,1,0.504283831
CiteSeer,Beta,4,0.115419297,0.096483318,0.121731289,0.0997896,1,0.49461775
CiteSeer,Beta,32,0.115118726,0.093477607,0.119326721,0.099188458,1,0.499231107
CiteSeer,Beta,17,0.113916441,0.085662759,0.119627292,0.093477607,1,0.50659051
CiteSeer,Beta,46,0.113014728,0.100090171,0.117222723,0.105500451,1,0.5
CiteSeer,Beta,8,0.109407875,0.11091073,0.115719868,0.117222723,1,0.504723199
CiteSeer,Beta,22,0.108806733,0.093778179,0.115419297,0.0997896,1,0.507688928
CiteSeer,Beta,48,0.108806733,0.103095882,0.114217012,0.109708446,1,0.496045694
CiteSeer,Beta,13,0.108205591,0.094980463,0.114517583,0.100090171,1,0.506920035
CiteSeer,Beta,15,0.108205591,0.101292456,0.111812444,0.108506162,1,0.50659051
CiteSeer,Beta,5,0.108205591,0.105801022,0.114217012,0.111211301,1,0.505052724
CiteSeer,Beta,11,0.108205591,0.111812444,0.116020439,0.117823865,1,0.501867311
CiteSeer,Beta,9,0.10790502,0.099188458,0.114517583,0.105801022,1,0.500439367
CiteSeer,Beta,29,0.106402164,0.106402164,0.113014728,0.111211301,1,0.506480668
CiteSeer,Beta,6,0.105500451,0.106101593,0.109708446,0.11361587,1,0.493739016
CiteSeer,Beta,24,0.10519988,0.100390742,0.109407875,0.108205591,1,0.501318102
CiteSeer,Beta,41,0.10519988,0.112113015,0.111812444,0.117523294,1,0.488905975
CiteSeer,Beta,35,0.104899309,0.103396453,0.110309588,0.11091073,1,0.496814587
CiteSeer,Beta,20,0.104598738,0.103396453,0.109407875,0.109107304,1,0.50538225
CiteSeer,Beta,49,0.104298167,0.096483318,0.109407875,0.102194169,1,0.49516696
CiteSeer,Beta,28,0.104298167,0.108205591,0.110009017,0.113014728,1,0.50362478
CiteSeer,Beta,19,0.103997595,0.099188458,0.110610159,0.104298167,1,0.503514938
CiteSeer,Beta,44,0.103997595,0.100991885,0.108506162,0.107604448,1,0.502636204
CiteSeer,Beta,47,0.103997595,0.103697024,0.109407875,0.110610159,1,0.493958699
CiteSeer,Beta,40,0.103697024,0.103095882,0.11091073,0.108806733,1,0.505601933
CiteSeer,Beta,33,0.103396453,0.106101593,0.10790502,0.111812444,1,0.504723199
CiteSeer,Beta,16,0.103095882,0.096182747,0.108205591,0.101593027,1,0.510874341
CiteSeer,Beta,37,0.102795311,0.097685603,0.109107304,0.105801022,1,0.506151142
CiteSeer,Beta,2,0.102795311,0.10790502,0.109107304,0.112714157,1,0.491981547
CiteSeer,Beta,23,0.102194169,0.097685603,0.108205591,0.10519988,1,0.499890158
CiteSeer,Beta,36,0.101893598,0.108205591,0.10790502,0.112714157,1,0.501867311
CiteSeer,Beta,31,0.101593027,0.100090171,0.109407875,0.105801022,1,0.507688928
CiteSeer,Beta,10,0.101593027,0.103095882,0.10790502,0.107604448,1,0.502746046
CiteSeer,Beta,25,0.100991885,0.10249474,0.107303877,0.106702735,1,0.503405097
CiteSeer,Beta,1,0.100991885,0.113916441,0.10790502,0.120829576,1,0.486489455
CiteSeer,Beta,42,0.100691313,0.106101593,0.106402164,0.11361587,1,0.505272408
CiteSeer,Beta,38,0.100390742,0.109708446,0.105801022,0.115719868,1,0.49461775
CiteSeer,Beta,3,0.100090171,0.105801022,0.108205591,0.11091073,1,0.500988576
CiteSeer,Beta,21,0.099188458,0.106402164,0.104298167,0.111211301,1,0.501098418
CiteSeer,Beta,27,0.098887887,0.103997595,0.106101593,0.109708446,1,0.501537786
CiteSeer,Beta,50,0.098286745,0.104598738,0.105500451,0.110610159,1,0.506041301
CiteSeer,Beta,14,0.097986174,0.108205591,0.103697024,0.113315299,1,0.499890158
CiteSeer,Beta,18,0.097986174,0.110309588,0.103697024,0.116020439,1,0.494178383
CiteSeer,Beta,45,0.097685603,0.104298167,0.102194169,0.110610159,1,0.493079965
CiteSeer,Beta,34,0.09708446,0.095882176,0.102795311,0.102795311,1,0.50483304
CiteSeer,Beta,26,0.09708446,0.115719868,0.102795311,0.121130147,1,0.498022847
CiteSeer,Beta,43,0.096783889,0.09708446,0.101893598,0.103997595,1,0.489674868
CiteSeer,Beta,12,0.096483318,0.113315299,0.103396453,0.119927863,1,0.506041301
CiteSeer,Beta,30,0.095581605,0.104298167,0.103396453,0.109407875,1,0.493189807
CiteSeer,Beta,39,0.093778179,0.103095882,0.099188458,0.110309588,1,0.491652021
