Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
CiteSeer,GNN,34,0.115118726,0.107003306,0.119326721,0.114517583,1,0.504283831
CiteSeer,GNN,1,0.112714157,0.094679892,0.116621581,0.100390742,1,0.491212654
CiteSeer,GNN,29,0.109708446,0.109708446,0.11361587,0.116621581,1,0.499890158
CiteSeer,GNN,2,0.109107304,0.097385032,0.115419297,0.101292456,1,0.490333919
CiteSeer,GNN,39,0.109107304,0.104298167,0.11632101,0.110309588,1,0.501537786
CiteSeer,GNN,27,0.108806733,0.099188458,0.115719868,0.104598738,1,0.487697715
CiteSeer,GNN,22,0.10790502,0.096783889,0.115719868,0.100991885,1,0.496485062
CiteSeer,GNN,45,0.107604448,0.105801022,0.113315299,0.112113015,1,0.497034271
CiteSeer,GNN,17,0.107003306,0.106402164,0.112413586,0.111812444,1,0.493848858
CiteSeer,GNN,26,0.106101593,0.098587316,0.111211301,0.103095882,1,0.498352373
CiteSeer,GNN,24,0.105801022,0.101893598,0.110309588,0.10790502,1,0.498462214
CiteSeer,GNN,21,0.105801022,0.103697024,0.111511873,0.108205591,1,0.497803163
CiteSeer,GNN,31,0.104899309,0.101593027,0.110610159,0.107303877,1,0.486379613
CiteSeer,GNN,35,0.104598738,0.103095882,0.108506162,0.111511873,1,0.494727592
CiteSeer,GNN,36,0.104298167,0.103095882,0.109407875,0.108506162,1,0.490004394
CiteSeer,GNN,41,0.103997595,0.109107304,0.108506162,0.114818154,1,0.482864675
CiteSeer,GNN,11,0.103697024,0.091674181,0.107303877,0.100390742,1,0.489894552
CiteSeer,GNN,8,0.102795311,0.10519988,0.108205591,0.11091073,1,0.497803163
CiteSeer,GNN,23,0.102795311,0.105500451,0.108506162,0.113014728,1,0.49340949
CiteSeer,GNN,16,0.10249474,0.099489029,0.10790502,0.10790502,1,0.485610721
CiteSeer,GNN,48,0.101593027,0.099489029,0.106101593,0.106702735,1,0.488027241
CiteSeer,GNN,40,0.101593027,0.110309588,0.106402164,0.115419297,1,0.48615993
CiteSeer,GNN,20,0.101292456,0.104899309,0.106702735,0.111511873,1,0.497913005
CiteSeer,GNN,9,0.100991885,0.100991885,0.10519988,0.109708446,1,0.483963093
CiteSeer,GNN,38,0.100991885,0.104298167,0.109107304,0.108506162,1,0.495276801
CiteSeer,GNN,44,0.100991885,0.112714157,0.106402164,0.116922152,1,0.486050088
CiteSeer,GNN,28,0.100691313,0.0997896,0.107303877,0.104899309,1,0.486489455
CiteSeer,GNN,12,0.100691313,0.104899309,0.106101593,0.11091073,1,0.496155536
CiteSeer,GNN,25,0.100390742,0.10790502,0.10519988,0.113916441,1,0.495057118
CiteSeer,GNN,7,0.0997896,0.104899309,0.104899309,0.111511873,1,0.490333919
CiteSeer,GNN,46,0.099489029,0.108806733,0.103095882,0.116621581,1,0.494727592
CiteSeer,GNN,50,0.099489029,0.112413586,0.105500451,0.117823865,1,0.494507909
CiteSeer,GNN,15,0.099188458,0.106402164,0.105500451,0.112113015,1,0.495496485
CiteSeer,GNN,13,0.098887887,0.105500451,0.107303877,0.111812444,1,0.492860281
CiteSeer,GNN,5,0.098887887,0.11091073,0.105801022,0.115719868,1,0.487917399
CiteSeer,GNN,37,0.098286745,0.100090171,0.103997595,0.106402164,1,0.486928822
CiteSeer,GNN,14,0.098286745,0.105801022,0.103997595,0.111511873,1,0.487478032
CiteSeer,GNN,10,0.098286745,0.11091073,0.104899309,0.118124436,1,0.487478032
CiteSeer,GNN,30,0.097986174,0.107604448,0.103396453,0.114818154,1,0.486489455
CiteSeer,GNN,4,0.097685603,0.10249474,0.10519988,0.107604448,1,0.487917399
CiteSeer,GNN,49,0.097385032,0.102194169,0.104298167,0.107003306,1,0.500768893
CiteSeer,GNN,43,0.09708446,0.103095882,0.103697024,0.109107304,1,0.488466608
CiteSeer,GNN,33,0.09708446,0.111211301,0.103697024,0.115719868,1,0.489455185
CiteSeer,GNN,6,0.096783889,0.108806733,0.103396453,0.113014728,1,0.502086995
CiteSeer,GNN,18,0.095882176,0.11902615,0.101292456,0.125939285,1,0.489894552
CiteSeer,GNN,42,0.095581605,0.11361587,0.101292456,0.119627292,1,0.493958699
CiteSeer,GNN,19,0.094980463,0.109107304,0.100090171,0.114217012,1,0.487478032
CiteSeer,GNN,47,0.094679892,0.10519988,0.100090171,0.112714157,1,0.486599297
CiteSeer,GNN,3,0.091073039,0.113014728,0.097685603,0.11902615,1,0.489235501
CiteSeer,GNN,32,0.087766757,0.116020439,0.09407875,0.119927863,1,0.496155536
