Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
CiteSeer,Beta,68268,0.101292456,0.100090171,0.106702735,0.106101593,1,0.503844464
CiteSeer,Beta,43567,0.105500451,0.101593027,0.112113015,0.104899309,1,0.492640598
CiteSeer,Beta,42613,0.090471897,0.108506162,0.097986174,0.113315299,1,0.497253954
CiteSeer,Beta,45891,0.10249474,0.100991885,0.106402164,0.105801022,1,0.495276801
CiteSeer,Beta,21243,0.105500451,0.11091073,0.111211301,0.116621581,1,0.495826011
CiteSeer,Beta,95939,0.095882176,0.10519988,0.101292456,0.111812444,1,0.498132689
CiteSeer,Beta,97639,0.10519988,0.10790502,0.112413586,0.113916441,1,0.506151142
CiteSeer,Beta,41993,0.093778179,0.100691313,0.099489029,0.106402164,1,0.500659051
CiteSeer,Beta,86293,0.101292456,0.103697024,0.108205591,0.109708446,1,0.496594903
CiteSeer,Beta,55026,0.103095882,0.098286745,0.110009017,0.103997595,1,0.50362478
