Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Cora,GNN,1,0.094534712,0.089734121,0.096750369,0.092319055,1,0.495642289
Cora,GNN,44,0.092688331,0.07422452,0.098227474,0.078655835,1,0.498389541
Cora,GNN,29,0.091580502,0.083456425,0.095642541,0.088257016,1,0.513546798
Cora,GNN,36,0.091211226,0.078655835,0.09379616,0.08493353,1,0.494410762
Cora,GNN,10,0.091211226,0.087149188,0.095273264,0.091211226,1,0.494126563
Cora,GNN,39,0.090472674,0.084564254,0.095273264,0.089364845,1,0.498294809
Cora,GNN,50,0.090472674,0.085672083,0.096011817,0.089364845,1,0.499431603
Cora,GNN,15,0.090472674,0.093426883,0.096011817,0.097858198,1,0.501705191
Cora,GNN,5,0.089734121,0.091580502,0.09379616,0.094903988,1,0.501894657
Cora,GNN,35,0.088995569,0.092319055,0.09379616,0.099335303,1,0.495547556
Cora,GNN,2,0.088626292,0.087149188,0.092319055,0.090103397,1,0.492610837
Cora,GNN,23,0.088257016,0.084194978,0.091949778,0.087518464,1,0.493273967
Cora,GNN,6,0.087518464,0.088626292,0.092688331,0.092319055,1,0.496779083
Cora,GNN,25,0.087149188,0.083456425,0.09084195,0.088257016,1,0.504736643
Cora,GNN,32,0.086779911,0.085302806,0.09084195,0.090472674,1,0.491095112
Cora,GNN,41,0.086410635,0.081240768,0.091211226,0.087149188,1,0.49071618
Cora,GNN,17,0.086410635,0.081979321,0.09084195,0.086410635,1,0.496873816
Cora,GNN,4,0.086041359,0.08493353,0.088257016,0.090472674,1,0.498484274
Cora,GNN,24,0.086041359,0.086779911,0.090103397,0.089364845,1,0.496779083
Cora,GNN,22,0.086041359,0.087149188,0.092319055,0.090103397,1,0.493463433
Cora,GNN,12,0.085672083,0.081979321,0.087518464,0.087149188,1,0.49270557
Cora,GNN,34,0.08493353,0.082348597,0.089734121,0.087149188,1,0.499052671
Cora,GNN,42,0.08493353,0.089364845,0.090103397,0.093057607,1,0.491284577
Cora,GNN,31,0.084564254,0.08788774,0.088257016,0.092319055,1,0.503789314
Cora,GNN,45,0.084564254,0.089364845,0.086410635,0.096381093,1,0.490810913
Cora,GNN,14,0.084564254,0.09084195,0.088626292,0.096011817,1,0.499052671
Cora,GNN,13,0.084564254,0.091949778,0.08788774,0.096011817,1,0.501231527
Cora,GNN,49,0.083825702,0.088626292,0.087149188,0.09379616,1,0.495737022
Cora,GNN,18,0.083825702,0.090103397,0.086779911,0.094903988,1,0.497631679
Cora,GNN,33,0.083456425,0.086041359,0.087149188,0.088995569,1,0.500568397
Cora,GNN,16,0.083087149,0.09084195,0.087149188,0.09379616,1,0.490905646
Cora,GNN,37,0.082717873,0.084194978,0.087518464,0.090103397,1,0.498105343
Cora,GNN,7,0.082348597,0.08493353,0.086779911,0.090472674,1,0.500094733
Cora,GNN,38,0.082348597,0.08788774,0.086779911,0.09084195,1,0.495073892
Cora,GNN,48,0.082348597,0.088257016,0.08788774,0.09379616,1,0.49005305
Cora,GNN,40,0.081979321,0.085672083,0.086041359,0.089364845,1,0.504926108
Cora,GNN,26,0.081979321,0.091211226,0.087149188,0.093426883,1,0.494979159
Cora,GNN,9,0.081610044,0.089734121,0.086041359,0.091211226,1,0.503505116
Cora,GNN,43,0.081610044,0.091949778,0.083456425,0.096750369,1,0.49005305
Cora,GNN,3,0.081240768,0.09084195,0.085672083,0.095642541,1,0.50132626
Cora,GNN,8,0.081240768,0.09379616,0.085672083,0.098227474,1,0.489958318
Cora,GNN,21,0.080502216,0.08493353,0.084564254,0.091211226,1,0.49867374
Cora,GNN,20,0.080502216,0.086041359,0.084564254,0.09084195,1,0.490526715
Cora,GNN,27,0.079763663,0.079025111,0.083825702,0.083087149,1,0.49071618
Cora,GNN,19,0.079763663,0.088626292,0.086410635,0.092319055,1,0.496873816
Cora,GNN,47,0.077548006,0.09084195,0.082717873,0.095642541,1,0.489105722
Cora,GNN,11,0.076440177,0.097858198,0.081240768,0.10155096,1,0.491284577
Cora,GNN,46,0.07422452,0.093057607,0.079025111,0.095642541,1,0.488537325
Cora,GNN,30,0.072747415,0.088257016,0.07717873,0.092319055,1,0.498294809
Cora,GNN,28,0.072747415,0.094903988,0.076440177,0.099335303,1,0.497726412
