Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Questions,Beta,68268,0.002084994,0.001083379,0.002084994,0.001083379,1,0.504288785
Questions,Beta,43567,0.001737495,0.001308232,0.001737495,0.001308232,1,0.511908949
Questions,Beta,42613,0.001839701,0.001328673,0.001839701,0.001328673,1,0.498756024
Questions,Beta,45891,0.001982789,0.001185585,0.001982789,0.001185585,1,0.503757978
Questions,Beta,21243,0.001941906,0.001308232,0.001941906,0.001308232,1,0.491471278
Questions,Beta,95939,0.001941906,0.001246908,0.001941906,0.001246908,1,0.499260779
Questions,Beta,97639,0.002268964,0.001083379,0.002268964,0.001083379,1,0.50157288
Questions,Beta,41993,0.002146318,0.001144703,0.002146318,0.001144703,1,0.500263775
Questions,Beta,86293,0.002044112,0.00110382,0.002044112,0.00110382,1,0.515028657
Questions,Beta,55026,0.001880583,0.001389996,0.001880583,0.001389996,1,0.492041162
