Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Texas,Beta,79691,0.032786885,0,0.038251366,0,0.999999821,0.476923077
Texas,Beta,19709,0.016393443,0.021857923,0.016393443,0.027322404,0.999999928,0.507692308
Texas,Beta,40177,0.016393443,0.016393443,0.016393443,0.021857923,1,0.393846154
Texas,Beta,36482,0.027322404,0,0.032786885,0,0.999997649,0.516923077
Texas,Beta,75011,0.021857923,0.016393443,0.021857923,0.021857923,0.999999973,0.406153846
Texas,Beta,77644,0.010928962,0.010928962,0.010928962,0.016393443,0.999984903,0.596923077
Texas,Beta,61872,0.005464481,0.027322404,0.005464481,0.032786885,0.999995623,0.529230769
Texas,Beta,65814,0.027322404,0.010928962,0.027322404,0.016393443,0.99999971,0.455384615
Texas,Beta,81844,0.016393443,0.005464481,0.021857923,0.005464481,0.999993898,0.584615385
Texas,Beta,20109,0.010928962,0.021857923,0.010928962,0.027322404,0.999999904,0.458461538
