Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Texas,Beta,1,0.032786885,0.005464481,0.038251366,0.005464481,0.999999956,0.455384615
Texas,Beta,13,0.027322404,0,0.027322404,0.005464481,0.999953997,0.612307692
Texas,Beta,15,0.027322404,0.010928962,0.032786885,0.010928962,0.999999718,0.48
Texas,Beta,31,0.027322404,0.010928962,0.032786885,0.010928962,0.999999912,0.507692308
Texas,Beta,48,0.027322404,0.010928962,0.027322404,0.016393443,0.999999921,0.446153846
Texas,Beta,2,0.021857923,0,0.027322404,0,0.999999246,0.492307692
Texas,Beta,7,0.021857923,0.005464481,0.027322404,0.005464481,0.99999935,0.476923077
Texas,Beta,46,0.021857923,0.005464481,0.027322404,0.005464481,0.999999794,0.430769231
Texas,Beta,42,0.021857923,0.010928962,0.021857923,0.016393443,0.999998718,0.510769231
Texas,Beta,11,0.021857923,0.010928962,0.021857923,0.016393443,0.999999007,0.633846154
Texas,Beta,4,0.021857923,0.010928962,0.021857923,0.016393443,0.99999999,0.403076923
Texas,Beta,23,0.021857923,0.021857923,0.021857923,0.027322404,0.999999956,0.461538462
Texas,Beta,5,0.016393443,0.005464481,0.021857923,0.005464481,0.999994792,0.52
Texas,Beta,9,0.016393443,0.005464481,0.016393443,0.010928962,0.999998369,0.48
Texas,Beta,25,0.016393443,0.005464481,0.016393443,0.010928962,0.999999876,0.433846154
Texas,Beta,39,0.016393443,0.005464481,0.016393443,0.010928962,0.999999876,0.501538462
Texas,Beta,34,0.016393443,0.005464481,0.016393443,0.010928962,0.999999985,0.458461538
Texas,Beta,38,0.016393443,0.010928962,0.021857923,0.010928962,0.999999545,0.461538462
Texas,Beta,28,0.016393443,0.010928962,0.021857923,0.010928962,0.999999996,0.406153846
Texas,Beta,27,0.016393443,0.010928962,0.016393443,0.016393443,0.999999922,0.430769231
Texas,Beta,20,0.016393443,0.010928962,0.016393443,0.016393443,0.999999984,0.446153846
Texas,Beta,3,0.016393443,0.016393443,0.021857923,0.016393443,0.999986867,0.538461538
Texas,Beta,24,0.016393443,0.016393443,0.021857923,0.016393443,0.999999416,0.550769231
Texas,Beta,29,0.016393443,0.016393443,0.021857923,0.016393443,0.999999732,0.489230769
Texas,Beta,6,0.016393443,0.016393443,0.021857923,0.016393443,0.999999754,0.495384615
Texas,Beta,10,0.016393443,0.016393443,0.021857923,0.016393443,0.999999893,0.48
Texas,Beta,49,0.016393443,0.016393443,0.016393443,0.021857923,0.999999161,0.52
Texas,Beta,18,0.010928962,0.010928962,0.016393443,0.010928962,0.999996295,0.498461538
Texas,Beta,44,0.010928962,0.010928962,0.010928962,0.016393443,0.999999974,0.452307692
Texas,Beta,45,0.010928962,0.016393443,0.016393443,0.016393443,0.999999469,0.516923077
Texas,Beta,37,0.010928962,0.016393443,0.016393443,0.016393443,0.99999993,0.44
Texas,Beta,19,0.010928962,0.016393443,0.016393443,0.016393443,0.999999965,0.433846154
Texas,Beta,14,0.010928962,0.021857923,0.016393443,0.021857923,0.999999992,0.403076923
Texas,Beta,33,0.010928962,0.021857923,0.010928962,0.027322404,0.999988573,0.523076923
Texas,Beta,35,0.010928962,0.021857923,0.010928962,0.027322404,0.999999986,0.446153846
Texas,Beta,12,0.010928962,0.021857923,0.010928962,0.027322404,0.999999998,0.409230769
Texas,Beta,21,0.010928962,0.032786885,0.016393443,0.032786885,0.999999757,0.461538462
Texas,Beta,36,0.005464481,0.010928962,0.010928962,0.010928962,0.999999818,0.467692308
Texas,Beta,16,0.005464481,0.010928962,0.005464481,0.016393443,0.999999108,0.495384615
Texas,Beta,41,0.005464481,0.016393443,0.010928962,0.016393443,0.999997508,0.510769231
Texas,Beta,47,0.005464481,0.016393443,0.010928962,0.016393443,0.99999986,0.467692308
Texas,Beta,30,0.005464481,0.016393443,0.005464481,0.021857923,0.999998346,0.547692308
Texas,Beta,22,0.005464481,0.021857923,0.005464481,0.027322404,0.999999607,0.458461538
Texas,Beta,17,0.005464481,0.021857923,0.005464481,0.027322404,0.999999712,0.544615385
Texas,Beta,40,0.005464481,0.027322404,0.010928962,0.027322404,0.999999898,0.553846154
Texas,Beta,32,0.005464481,0.027322404,0.005464481,0.032786885,0.999999944,0.464615385
Texas,Beta,26,0,0.016393443,0,0.021857923,0.999999986,0.449230769
Texas,Beta,50,0,0.021857923,0.005464481,0.021857923,0.999999965,0.436923077
Texas,Beta,43,0,0.032786885,0,0.038251366,0.999999615,0.581538462
Texas,Beta,8,0,0.038251366,0.005464481,0.038251366,0.999995458,0.544615385
