Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Texas,GNN,11,0.032786885,0,0.038251366,0,0.999999965,0.44
Texas,GNN,33,0.032786885,0.010928962,0.038251366,0.010928962,0.999999993,0.421538462
Texas,GNN,42,0.027322404,0,0.032786885,0,0.999998689,0.470769231
Texas,GNN,9,0.027322404,0.010928962,0.032786885,0.010928962,0.999999747,0.452307692
Texas,GNN,27,0.027322404,0.010928962,0.032786885,0.010928962,0.999999774,0.443076923
Texas,GNN,36,0.027322404,0.016393443,0.032786885,0.016393443,0.999999906,0.461538462
Texas,GNN,13,0.027322404,0.016393443,0.032786885,0.016393443,0.999999936,0.44
Texas,GNN,40,0.021857923,0,0.021857923,0.005464481,0.999999929,0.455384615
Texas,GNN,28,0.021857923,0.005464481,0.021857923,0.010928962,0.99999999,0.427692308
Texas,GNN,4,0.021857923,0.010928962,0.027322404,0.010928962,0.999999876,0.461538462
Texas,GNN,29,0.021857923,0.010928962,0.027322404,0.010928962,0.999999952,0.390769231
Texas,GNN,18,0.021857923,0.010928962,0.027322404,0.010928962,0.999999994,0.433846154
Texas,GNN,37,0.021857923,0.010928962,0.021857923,0.016393443,0.999999159,0.461538462
Texas,GNN,7,0.021857923,0.010928962,0.021857923,0.016393443,0.999999379,0.458461538
Texas,GNN,48,0.021857923,0.016393443,0.027322404,0.016393443,0.999999819,0.476923077
Texas,GNN,46,0.021857923,0.016393443,0.027322404,0.016393443,0.999999964,0.476923077
Texas,GNN,15,0.021857923,0.016393443,0.021857923,0.021857923,0.999999998,0.443076923
Texas,GNN,30,0.021857923,0.021857923,0.021857923,0.027322404,0.999999896,0.486153846
Texas,GNN,6,0.021857923,0.032786885,0.021857923,0.038251366,0.99999977,0.433846154
Texas,GNN,31,0.016393443,0.010928962,0.021857923,0.010928962,0.99999976,0.473846154
Texas,GNN,14,0.016393443,0.010928962,0.021857923,0.010928962,0.999999775,0.464615385
Texas,GNN,22,0.016393443,0.010928962,0.021857923,0.010928962,0.999999967,0.507692308
Texas,GNN,41,0.016393443,0.010928962,0.021857923,0.010928962,0.999999992,0.430769231
Texas,GNN,26,0.016393443,0.016393443,0.016393443,0.021857923,0.999999986,0.418461538
Texas,GNN,39,0.016393443,0.016393443,0.016393443,0.021857923,0.999999994,0.476923077
Texas,GNN,47,0.016393443,0.016393443,0.016393443,0.021857923,0.999999999,0.403076923
Texas,GNN,24,0.016393443,0.021857923,0.021857923,0.021857923,0.999999892,0.433846154
Texas,GNN,17,0.016393443,0.021857923,0.021857923,0.021857923,0.999999988,0.443076923
Texas,GNN,16,0.016393443,0.021857923,0.021857923,0.021857923,0.999999992,0.418461538
Texas,GNN,23,0.016393443,0.021857923,0.016393443,0.027322404,0.99999981,0.452307692
Texas,GNN,10,0.016393443,0.027322404,0.021857923,0.027322404,0.99999993,0.433846154
Texas,GNN,34,0.016393443,0.027322404,0.021857923,0.027322404,0.99999994,0.458461538
Texas,GNN,2,0.016393443,0.027322404,0.016393443,0.032786885,0.999999959,0.455384615
Texas,GNN,38,0.016393443,0.032786885,0.016393443,0.038251366,0.999999959,0.461538462
Texas,GNN,43,0.010928962,0.010928962,0.016393443,0.010928962,0.999999993,0.390769231
Texas,GNN,32,0.010928962,0.016393443,0.016393443,0.016393443,0.999999965,0.446153846
Texas,GNN,1,0.010928962,0.021857923,0.010928962,0.027322404,0.999999916,0.470769231
Texas,GNN,19,0.010928962,0.021857923,0.010928962,0.027322404,0.999999934,0.436923077
Texas,GNN,44,0.010928962,0.027322404,0.016393443,0.027322404,0.99999992,0.473846154
Texas,GNN,5,0.010928962,0.027322404,0.016393443,0.027322404,0.999999978,0.427692308
Texas,GNN,12,0.010928962,0.027322404,0.016393443,0.027322404,0.999999981,0.430769231
Texas,GNN,25,0.010928962,0.027322404,0.010928962,0.032786885,0.999999963,0.443076923
Texas,GNN,8,0.010928962,0.043715847,0.010928962,0.049180328,0.999999977,0.418461538
Texas,GNN,20,0.005464481,0.021857923,0.010928962,0.021857923,0.999999802,0.449230769
Texas,GNN,3,0.005464481,0.021857923,0.010928962,0.021857923,0.999999995,0.418461538
Texas,GNN,49,0.005464481,0.027322404,0.010928962,0.027322404,0.999999958,0.470769231
Texas,GNN,35,0.005464481,0.027322404,0.010928962,0.027322404,0.999999982,0.427692308
Texas,GNN,50,0.005464481,0.032786885,0.010928962,0.032786885,0.999999969,0.467692308
Texas,GNN,21,0.005464481,0.032786885,0.005464481,0.038251366,0.999999989,0.424615385
Texas,GNN,45,0,0.032786885,0.005464481,0.032786885,0.99999999,0.48
