Source,Explainer,Probability,P1,P2,Run
Texas,GNN,0.4539762,56,84,1
Texas,GNN,0.5112348,56,39,1
Texas,GNN,0.46812525,56,9,1
Texas,GNN,0.50228643,56,77,1
Texas,GNN,0.5397685,56,89,1
Texas,GNN,0.48325306,56,61,1
Texas,GNN,0.4577829,56,125,1
Texas,GNN,0.5209144,56,94,1
Texas,GNN,0.46118388,56,64,1
Texas,GNN,0.513736,56,52,1
Texas,GNN,0.49665922,56,27,1
Texas,GNN,0.5343734,56,112,1
Texas,GNN,0.48096916,56,21,1
Texas,GNN,0.45723215,56,154,1
Texas,GNN,0.4785395,56,31,1
Texas,GNN,0.52085286,56,109,1
Texas,GNN,0.4925578,56,57,1
Texas,GNN,0.5249788,56,59,1
Texas,GNN,0.4906592,56,22,1
Texas,GNN,0.5328131,56,90,1
Texas,GNN,0.5188822,56,68,1
Texas,GNN,0.45941162,56,91,1
Texas,GNN,0.4705883,56,63,1
Texas,GNN,0.5297623,56,85,1
Texas,GNN,0.47569045,56,116,1
Texas,GNN,0.48784024,56,32,1
Texas,GNN,0.4824364,56,143,1
Texas,GNN,0.4810725,56,181,1
Texas,GNN,0.5115147,56,54,1
Texas,GNN,0.5097295,56,69,1
Texas,GNN,0.5366247,56,3,1
Texas,GNN,0.4879911,56,139,1
Texas,GNN,0.5125448,56,104,1
Texas,GNN,0.5186504,56,128,1
Texas,GNN,0.50426203,56,137,1
Texas,GNN,0.44489768,56,172,1
Texas,GNN,0.4838577,56,93,1
Texas,GNN,0.5125369,56,179,1
Texas,GNN,0.5396268,56,132,1
Texas,GNN,0.49599066,56,134,1
Texas,GNN,0.55334574,56,178,1
Texas,GNN,0.51997584,56,144,1
Texas,GNN,0.4554712,56,74,1
Texas,GNN,0.5109704,56,46,1
Texas,GNN,0.5153743,56,11,1
Texas,GNN,0.46112996,56,80,1
Texas,GNN,0.52461964,56,124,1
Texas,GNN,0.5126964,56,135,1
Texas,GNN,0.5211768,56,97,1
Texas,GNN,0.4999144,56,98,1
Texas,GNN,0.49265,56,79,1
Texas,GNN,0.55342025,56,23,1
Texas,GNN,0.4955287,56,118,1
Texas,GNN,0.4804853,56,167,1
Texas,GNN,0.49336255,56,131,1
Texas,GNN,0.52187747,56,153,1
Texas,GNN,0.49491107,56,33,1
Texas,GNN,0.4398083,56,149,1
Texas,GNN,0.49346483,56,161,1
Texas,GNN,0.46259633,56,127,1
Texas,GNN,0.48574775,56,34,1
Texas,GNN,0.47086105,56,136,1
Texas,GNN,0.5261025,56,169,1
Texas,GNN,0.49951804,56,150,1
Texas,GNN,0.48488435,56,62,1
Texas,GNN,0.5077553,56,26,1
Texas,GNN,0.4961947,56,82,1
Texas,GNN,0.51933235,56,12,1
Texas,GNN,0.53275716,56,47,1
Texas,GNN,0.49295086,56,166,1
Texas,GNN,0.47065118,56,171,1
Texas,GNN,0.51263136,56,6,1
Texas,GNN,0.48845956,56,17,1
Texas,GNN,0.49634302,56,53,1
Texas,GNN,0.49407244,56,117,1
Texas,GNN,0.48732194,56,87,1
Texas,GNN,0.5135727,56,146,1
Texas,GNN,0.5005479,56,49,1
Texas,GNN,0.500386,56,159,1
Texas,GNN,0.49529,56,119,1
Texas,GNN,0.5547463,56,170,1
Texas,GNN,0.5081661,56,38,1
Texas,GNN,0.48014987,56,55,1
Texas,GNN,0.51580197,56,30,1
Texas,GNN,0.49828038,56,165,1
Texas,GNN,0.5264272,56,103,1
Texas,GNN,0.46213815,56,155,1
Texas,GNN,0.50977075,56,110,1
Texas,GNN,0.4697292,56,16,1
Texas,GNN,0.45632988,56,44,1
Texas,GNN,0.46566948,56,75,1
Texas,GNN,0.5059072,56,41,1
Texas,GNN,0.50511146,56,29,1
Texas,GNN,0.4979016,56,35,1
Texas,GNN,0.5006157,56,65,1
Texas,GNN,0.5312587,56,19,1
Texas,GNN,0.49373,56,142,1
Texas,GNN,0.4931135,56,129,1
Texas,GNN,0.4839149,56,37,1
Texas,GNN,0.51927304,56,24,1
Texas,GNN,0.53068286,56,43,1
Texas,GNN,0.46998316,56,5,1
Texas,GNN,0.49092945,56,81,1
Texas,GNN,0.45948258,56,147,1
Texas,GNN,0.5385013,84,31,1
Texas,GNN,0.45912758,84,23,1
Texas,GNN,0.4893743,84,153,1
Texas,GNN,0.5147151,84,127,1
Texas,GNN,0.49137583,84,34,1
Texas,GNN,0.4901042,84,62,1
Texas,GNN,0.52579975,84,47,1
Texas,GNN,0.5021479,84,147,1
Texas,GNN,0.5050721,39,140,1
Texas,GNN,0.5158572,106,9,1
Texas,GNN,0.49192914,89,151,1
Texas,GNN,0.4659373,61,84,1
Texas,GNN,0.51465523,114,49,1
Texas,GNN,0.5045754,83,39,1
Texas,GNN,0.53497046,83,140,1
Texas,GNN,0.5484721,83,37,1
Texas,GNN,0.4523986,125,54,1
Texas,GNN,0.47675505,64,82,1
Texas,GNN,0.46975192,10,108,1
Texas,GNN,0.5098785,182,29,1
Texas,GNN,0.4903213,140,39,1
Texas,GNN,0.54840183,140,83,1
Texas,GNN,0.52877086,140,90,1
Texas,GNN,0.54762614,45,45,1
Texas,GNN,0.49952623,45,108,1
Texas,GNN,0.4866725,108,45,1
Texas,GNN,0.49209294,108,11,1
Texas,GNN,0.47668657,108,72,1
Texas,GNN,0.5225638,73,73,1
Texas,GNN,0.48989698,73,158,1
Texas,GNN,0.50165015,73,66,1
Texas,GNN,0.4908411,158,73,1
Texas,GNN,0.4956283,107,108,1
Texas,GNN,0.54912156,126,18,1
Texas,GNN,0.5301703,126,16,1
Texas,GNN,0.515063,126,29,1
Texas,GNN,0.486522,57,22,1
Texas,GNN,0.48836163,57,67,1
Texas,GNN,0.50822186,57,170,1
Texas,GNN,0.49177837,57,165,1
Texas,GNN,0.50827307,57,110,1
Texas,GNN,0.48503453,57,15,1
Texas,GNN,0.45821404,57,65,1
Texas,GNN,0.4943025,59,159,1
Texas,GNN,0.5138258,59,16,1
Texas,GNN,0.4606244,120,140,1
Texas,GNN,0.46668038,120,156,1
Texas,GNN,0.4641822,156,156,1
Texas,GNN,0.498645,99,94,1
Texas,GNN,0.49491873,99,132,1
Texas,GNN,0.45750287,99,79,1
Texas,GNN,0.47847182,90,140,1
Texas,GNN,0.48917428,90,90,1
Texas,GNN,0.53387886,63,58,1
Texas,GNN,0.52225167,175,175,1
Texas,GNN,0.48876458,85,16,1
Texas,GNN,0.5119117,111,85,1
Texas,GNN,0.49902612,0,58,1
Texas,GNN,0.47423917,0,121,1
Texas,GNN,0.51604354,141,116,1
Texas,GNN,0.49576104,141,48,1
Texas,GNN,0.48558652,116,76,1
Texas,GNN,0.51873505,54,125,1
