,Dataset,Explainer,Seed,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
0,Wisconsin,Beta,14000,0.015936255,0.011952191,0.015936255,0.015936255,0.99971523,0.510679612
1,Wisconsin,Beta,22637,0.019920319,0.011952191,0.019920319,0.015936255,0.999525401,0.549514563
2,Wisconsin,Beta,48417,0.023904382,0.011952191,0.023904382,0.011952191,0.999679436,0.530097087
3,Wisconsin,Beta,59358,0.023904382,0.007968127,0.023904382,0.011952191,0.99990078,0.384466019
4,Wisconsin,Beta,55366,0.023904382,0.007968127,0.023904382,0.011952191,0.998549347,0.483495146
5,Wisconsin,Beta,41030,0.019920319,0.007968127,0.019920319,0.007968127,0.999625505,0.460194175
6,Wisconsin,Beta,97558,0.015936255,0.011952191,0.015936255,0.011952191,0.999166742,0.477669903
7,Wisconsin,Beta,55391,0.019920319,0.011952191,0.023904382,0.011952191,0.999716778,0.475728155
8,Wisconsin,Beta,34887,0.011952191,0.011952191,0.011952191,0.015936255,0.999446048,0.54368932
9,Wisconsin,Beta,8559,0.019920319,0.007968127,0.019920319,0.011952191,0.999378811,0.475728155
