Dataset,Explainer,Run,Phen Pos Fidelity,Phen Neg Fidelity,Model Pos Fidelity,Model Neg Fidelity,Unfaithfulness,Exp Size Percent
Wisconsin,Beta,22,0.027888446,0.003984064,0.03187251,0.003984064,0.9999523,0.419417476
Wisconsin,Beta,24,0.023904382,0,0.027888446,0,0.999743354,0.495145631
Wisconsin,Beta,49,0.023904382,0.003984064,0.027888446,0.003984064,0.999320569,0.557281553
Wisconsin,Beta,44,0.023904382,0.007968127,0.023904382,0.007968127,0.999949234,0.405825243
Wisconsin,Beta,14,0.023904382,0.011952191,0.027888446,0.011952191,0.999377871,0.547572816
Wisconsin,Beta,27,0.019920319,0.003984064,0.019920319,0.003984064,0.999470728,0.434951456
Wisconsin,Beta,28,0.019920319,0.007968127,0.023904382,0.007968127,0.999257568,0.417475728
Wisconsin,Beta,33,0.019920319,0.007968127,0.023904382,0.007968127,0.999487954,0.53592233
Wisconsin,Beta,8,0.019920319,0.007968127,0.023904382,0.007968127,0.999530976,0.481553398
Wisconsin,Beta,3,0.019920319,0.007968127,0.019920319,0.007968127,0.997292249,0.568932039
Wisconsin,Beta,4,0.019920319,0.007968127,0.019920319,0.011952191,0.998113016,0.495145631
Wisconsin,Beta,26,0.019920319,0.011952191,0.023904382,0.011952191,0.999230379,0.514563107
Wisconsin,Beta,12,0.019920319,0.011952191,0.019920319,0.011952191,0.999268324,0.500970874
Wisconsin,Beta,10,0.019920319,0.011952191,0.019920319,0.011952191,0.999578569,0.477669903
Wisconsin,Beta,35,0.019920319,0.011952191,0.019920319,0.015936255,0.999805709,0.485436893
Wisconsin,Beta,17,0.019920319,0.015936255,0.019920319,0.019920319,0.998957642,0.489320388
Wisconsin,Beta,45,0.019920319,0.015936255,0.019920319,0.019920319,0.999962431,0.450485437
Wisconsin,Beta,21,0.015936255,0.007968127,0.019920319,0.007968127,0.998402399,0.594174757
Wisconsin,Beta,20,0.015936255,0.007968127,0.019920319,0.007968127,0.999764567,0.475728155
Wisconsin,Beta,50,0.015936255,0.007968127,0.015936255,0.011952191,0.99967129,0.477669903
Wisconsin,Beta,30,0.015936255,0.007968127,0.015936255,0.011952191,0.999867638,0.415533981
Wisconsin,Beta,23,0.015936255,0.011952191,0.019920319,0.011952191,0.999595869,0.533980583
Wisconsin,Beta,1,0.015936255,0.011952191,0.019920319,0.011952191,0.999671218,0.458252427
Wisconsin,Beta,11,0.015936255,0.011952191,0.015936255,0.015936255,0.999830936,0.491262136
Wisconsin,Beta,40,0.015936255,0.015936255,0.019920319,0.015936255,0.999762977,0.52038835
Wisconsin,Beta,6,0.015936255,0.015936255,0.015936255,0.015936255,0.999493869,0.497087379
Wisconsin,Beta,31,0.015936255,0.015936255,0.015936255,0.015936255,0.999794811,0.506796117
Wisconsin,Beta,32,0.015936255,0.015936255,0.015936255,0.019920319,0.999548063,0.499029126
Wisconsin,Beta,25,0.015936255,0.015936255,0.015936255,0.019920319,0.999908214,0.473786408
Wisconsin,Beta,46,0.015936255,0.019920319,0.015936255,0.023904382,0.999902667,0.469902913
Wisconsin,Beta,34,0.015936255,0.023904382,0.015936255,0.023904382,0.999969571,0.431067961
Wisconsin,Beta,16,0.015936255,0.023904382,0.015936255,0.027888446,0.99984291,0.438834951
Wisconsin,Beta,2,0.011952191,0.007968127,0.011952191,0.007968127,0.999692341,0.510679612
Wisconsin,Beta,5,0.011952191,0.011952191,0.015936255,0.011952191,0.99910189,0.54368932
Wisconsin,Beta,13,0.011952191,0.011952191,0.011952191,0.011952191,0.999285487,0.563106796
Wisconsin,Beta,18,0.011952191,0.011952191,0.011952191,0.015936255,0.999961016,0.403883495
Wisconsin,Beta,41,0.011952191,0.015936255,0.011952191,0.015936255,0.999773339,0.485436893
Wisconsin,Beta,19,0.011952191,0.015936255,0.011952191,0.019920319,0.999721765,0.514563107
Wisconsin,Beta,36,0.011952191,0.015936255,0.011952191,0.019920319,0.999892438,0.46407767
Wisconsin,Beta,47,0.011952191,0.019920319,0.011952191,0.019920319,0.999710258,0.499029126
Wisconsin,Beta,7,0.011952191,0.019920319,0.011952191,0.023904382,0.999362171,0.555339806
Wisconsin,Beta,15,0.011952191,0.019920319,0.011952191,0.023904382,0.999915673,0.489320388
Wisconsin,Beta,48,0.011952191,0.019920319,0.011952191,0.023904382,0.9999845,0.427184466
Wisconsin,Beta,42,0.011952191,0.027888446,0.011952191,0.03187251,0.999960606,0.438834951
Wisconsin,Beta,43,0.007968127,0.007968127,0.007968127,0.011952191,0.999939416,0.450485437
Wisconsin,Beta,29,0.007968127,0.015936255,0.011952191,0.015936255,0.999898578,0.444660194
Wisconsin,Beta,39,0.007968127,0.019920319,0.011952191,0.019920319,0.999477794,0.516504854
Wisconsin,Beta,9,0.007968127,0.019920319,0.007968127,0.023904382,0.999885032,0.495145631
Wisconsin,Beta,37,0.003984064,0.019920319,0.007968127,0.019920319,0.999964434,0.483495146
Wisconsin,Beta,38,0.003984064,0.019920319,0.003984064,0.019920319,0.999924832,0.446601942
