Source,Explainer,Probability,P1,P2,Run
Wisconsin,GNN,0.51700866,63,78,1
Wisconsin,GNN,0.51593804,63,92,1
Wisconsin,GNN,0.472939,27,63,1
Wisconsin,GNN,0.52429056,27,111,1
Wisconsin,GNN,0.4723986,110,12,1
Wisconsin,GNN,0.4977834,98,63,1
Wisconsin,GNN,0.47567153,98,27,1
Wisconsin,GNN,0.5281224,98,244,1
Wisconsin,GNN,0.5402464,98,147,1
Wisconsin,GNN,0.5102268,98,86,1
Wisconsin,GNN,0.48476392,98,163,1
Wisconsin,GNN,0.5133936,98,132,1
Wisconsin,GNN,0.46749344,98,175,1
Wisconsin,GNN,0.47245625,98,19,1
Wisconsin,GNN,0.4567667,98,17,1
Wisconsin,GNN,0.51265794,98,190,1
Wisconsin,GNN,0.47092274,98,102,1
Wisconsin,GNN,0.51912266,98,114,1
Wisconsin,GNN,0.50872463,98,170,1
Wisconsin,GNN,0.4823063,98,243,1
Wisconsin,GNN,0.53168255,98,6,1
Wisconsin,GNN,0.4657151,98,57,1
Wisconsin,GNN,0.5404323,98,67,1
Wisconsin,GNN,0.42348346,98,211,1
Wisconsin,GNN,0.49867144,98,29,1
Wisconsin,GNN,0.5108839,98,33,1
Wisconsin,GNN,0.47143918,98,144,1
Wisconsin,GNN,0.47969288,98,109,1
Wisconsin,GNN,0.5345028,98,96,1
Wisconsin,GNN,0.5142705,98,204,1
Wisconsin,GNN,0.5166343,98,52,1
Wisconsin,GNN,0.45016187,98,59,1
Wisconsin,GNN,0.49243265,98,60,1
Wisconsin,GNN,0.49086788,98,4,1
Wisconsin,GNN,0.51684755,98,131,1
Wisconsin,GNN,0.5449504,98,174,1
Wisconsin,GNN,0.47364238,98,113,1
Wisconsin,GNN,0.49570668,98,82,1
Wisconsin,GNN,0.4545805,98,25,1
Wisconsin,GNN,0.49568886,98,54,1
Wisconsin,GNN,0.5405692,98,138,1
Wisconsin,GNN,0.49328828,98,213,1
Wisconsin,GNN,0.46570736,98,41,1
Wisconsin,GNN,0.46440387,98,177,1
Wisconsin,GNN,0.5574952,98,171,1
Wisconsin,GNN,0.4543073,98,172,1
Wisconsin,GNN,0.5103476,98,125,1
Wisconsin,GNN,0.49890295,98,8,1
Wisconsin,GNN,0.47708276,98,123,1
Wisconsin,GNN,0.5235338,98,145,1
Wisconsin,GNN,0.4530289,98,111,1
Wisconsin,GNN,0.5069223,98,139,1
Wisconsin,GNN,0.50526875,98,137,1
Wisconsin,GNN,0.4912647,98,76,1
Wisconsin,GNN,0.502909,98,45,1
Wisconsin,GNN,0.47939882,98,238,1
Wisconsin,GNN,0.50828236,98,15,1
Wisconsin,GNN,0.47328344,98,153,1
Wisconsin,GNN,0.5002492,98,32,1
Wisconsin,GNN,0.4759159,98,235,1
Wisconsin,GNN,0.50018847,98,230,1
Wisconsin,GNN,0.51192975,98,237,1
Wisconsin,GNN,0.4899565,98,192,1
Wisconsin,GNN,0.5384802,98,168,1
Wisconsin,GNN,0.5146853,98,173,1
Wisconsin,GNN,0.48336232,98,28,1
Wisconsin,GNN,0.4813604,98,104,1
Wisconsin,GNN,0.5204403,98,124,1
Wisconsin,GNN,0.5009298,98,135,1
Wisconsin,GNN,0.4969429,98,2,1
Wisconsin,GNN,0.48200628,98,68,1
Wisconsin,GNN,0.50214314,98,205,1
Wisconsin,GNN,0.5074502,98,169,1
Wisconsin,GNN,0.46669415,98,229,1
Wisconsin,GNN,0.4833015,98,88,1
Wisconsin,GNN,0.5229472,98,16,1
Wisconsin,GNN,0.4752972,98,157,1
Wisconsin,GNN,0.50018215,98,1,1
Wisconsin,GNN,0.5171249,98,227,1
Wisconsin,GNN,0.50028026,98,154,1
Wisconsin,GNN,0.5153701,98,10,1
Wisconsin,GNN,0.47528005,98,184,1
