,Dataset,Seed,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall
0,50,18621,Beta,0,120,0,137,0.8108108043670654,0.0,0.0,1.0,0.4669260700389105,,0.0
1,50,50126,Beta,0,120,0,137,0.8108108043670654,0.0,0.0,1.0,0.4669260700389105,,0.0
2,50,69402,Beta,10,105,15,127,0.7770270109176636,0.3571428656578064,0.4000000059604645,1.0,0.4474708171206226,0.4,0.072992700729927
3,50,67749,Beta,14,101,19,123,0.7770270109176636,0.5,0.42424243688583374,1.0,0.4474708171206226,0.42424242424242425,0.10218978102189781
4,50,63561,Beta,16,96,24,121,0.7567567825317383,0.5714285969734192,0.4000000059604645,1.0,0.4357976653696498,0.4,0.11678832116788321
5,50,48257,Beta,20,98,22,117,0.7972972989082336,0.7142857313156128,0.4761904776096344,1.0,0.4591439688715953,0.47619047619047616,0.145985401459854
6,50,63440,Beta,24,95,25,113,0.8040540814399719,0.8571428656578064,0.4897959232330322,1.0,0.46303501945525294,0.4897959183673469,0.17518248175182483
7,50,92085,Beta,24,94,26,113,0.7972972989082336,0.8571428656578064,0.47999998927116394,1.0,0.4591439688715953,0.48,0.17518248175182483
8,50,34151,Beta,28,97,23,109,0.8445945978164673,1.0,0.5490196347236633,1.0,0.48638132295719844,0.5490196078431373,0.20437956204379562
9,50,59561,Beta,27,97,23,110,0.837837815284729,0.9642857313156128,0.5400000214576721,1.0,0.48249027237354086,0.54,0.19708029197080293
