Dataset,Run,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall,Torch F1,F1
25,1,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,2,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,3,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,6,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,7,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,8,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,10,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,12,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,13,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,14,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,15,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,16,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,19,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,20,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,22,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,24,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,25,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,26,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,27,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,28,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,29,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,30,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,31,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,35,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,36,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,37,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,38,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,39,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,40,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,41,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,42,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,43,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,44,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,45,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,46,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,49,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,50,gnn,2,118,0,135,0.800000012,0.0625,1,1,0.470588235,1,0.01459854,0.117647059,0.028776978
25,4,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,5,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,9,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,11,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,17,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,18,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,21,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,23,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,32,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,33,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,34,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,47,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
25,48,gnn,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492753
