Dataset,Run,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall,Torch F1,F1
50,11,beta,28,97,23,109,0.844594598,1,0.549019635,1,0.486381323,0.549019608,0.204379562,0.708860782,0.29787234
50,17,beta,28,97,23,109,0.844594598,1,0.549019635,1,0.486381323,0.549019608,0.204379562,0.708860782,0.29787234
50,10,beta,27,98,22,110,0.844594598,0.964285731,0.551020384,1,0.486381323,0.551020408,0.197080292,0.701298686,0.290322581
50,13,beta,28,96,24,109,0.837837815,1,0.538461566,1,0.482490272,0.538461538,0.204379562,0.700000023,0.296296296
50,15,beta,28,96,24,109,0.837837815,1,0.538461566,1,0.482490272,0.538461538,0.204379562,0.700000023,0.296296296
50,16,beta,28,96,24,109,0.837837815,1,0.538461566,1,0.482490272,0.538461538,0.204379562,0.700000023,0.296296296
50,18,beta,28,96,24,109,0.837837815,1,0.538461566,0.999999583,0.482490272,0.538461538,0.204379562,0.700000023,0.296296296
50,19,beta,28,96,24,109,0.837837815,1,0.538461566,0.999999583,0.482490272,0.538461538,0.204379562,0.700000023,0.296296296
50,27,beta,28,96,24,109,0.837837815,1,0.538461566,0.999987337,0.482490272,0.538461538,0.204379562,0.700000023,0.296296296
50,9,beta,27,97,23,110,0.837837815,0.964285731,0.540000021,1,0.482490272,0.54,0.197080292,0.692307714,0.288770053
50,20,beta,27,97,23,110,0.837837815,0.964285731,0.540000021,1,0.482490272,0.54,0.197080292,0.692307714,0.288770053
50,21,beta,27,97,23,110,0.837837815,0.964285731,0.540000021,0.9999999,0.482490272,0.54,0.197080292,0.692307714,0.288770053
50,22,beta,27,97,23,110,0.837837815,0.964285731,0.540000021,0.9999999,0.482490272,0.54,0.197080292,0.692307714,0.288770053
50,23,beta,27,97,23,110,0.837837815,0.964285731,0.540000021,0.999999633,0.482490272,0.54,0.197080292,0.692307714,0.288770053
50,26,beta,27,97,23,110,0.837837815,0.964285731,0.540000021,1,0.482490272,0.54,0.197080292,0.692307714,0.288770053
50,12,beta,28,95,25,109,0.831081092,1,0.528301895,1,0.478599222,0.528301887,0.204379562,0.691358031,0.294736842
50,14,beta,28,95,25,109,0.831081092,1,0.528301895,1,0.478599222,0.528301887,0.204379562,0.691358031,0.294736842
50,8,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,1,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,24,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,25,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,28,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,29,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,31,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,39,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,40,beta,27,96,24,110,0.831081092,0.964285731,0.529411793,0.999988075,0.478599222,0.529411765,0.197080292,0.683544331,0.287234043
50,30,beta,26,97,23,111,0.831081092,0.928571403,0.53061223,0.999975529,0.478599222,0.530612245,0.189781022,0.675324657,0.279569892
50,38,beta,26,97,23,111,0.831081092,0.928571403,0.53061223,0.999975529,0.478599222,0.530612245,0.189781022,0.675324657,0.279569892
50,34,beta,28,94,26,109,0.82432431,1,0.518518507,0.998996675,0.474708171,0.518518519,0.204379562,0.68292682,0.293193717
50,32,beta,27,95,25,110,0.82432431,0.964285731,0.519230783,0.99990141,0.474708171,0.519230769,0.197080292,0.675000016,0.285714286
50,35,beta,27,95,25,110,0.82432431,0.964285731,0.519230783,0.99990141,0.474708171,0.519230769,0.197080292,0.675000016,0.285714286
50,36,beta,27,95,25,110,0.82432431,0.964285731,0.519230783,0.99990141,0.474708171,0.519230769,0.197080292,0.675000016,0.285714286
50,37,beta,27,95,25,110,0.82432431,0.964285731,0.519230783,0.99990141,0.474708171,0.519230769,0.197080292,0.675000016,0.285714286
50,41,beta,27,95,25,110,0.82432431,0.964285731,0.519230783,0.999989946,0.474708171,0.519230769,0.197080292,0.675000016,0.285714286
50,42,beta,26,96,24,111,0.82432431,0.928571403,0.519999981,0.999796546,0.474708171,0.52,0.189781022,0.666666644,0.278074866
50,44,beta,25,97,23,112,0.82432431,0.892857134,0.520833313,0.999977919,0.474708171,0.520833333,0.182481752,0.657894719,0.27027027
50,45,beta,25,97,23,112,0.82432431,0.892857134,0.520833313,0.999977919,0.474708171,0.520833333,0.182481752,0.657894719,0.27027027
50,46,beta,25,97,23,112,0.82432431,0.892857134,0.520833313,0.999977058,0.474708171,0.520833333,0.182481752,0.657894719,0.27027027
50,47,beta,25,97,23,112,0.82432431,0.892857134,0.520833313,0.999977058,0.474708171,0.520833333,0.182481752,0.657894719,0.27027027
50,48,beta,25,97,23,112,0.82432431,0.892857134,0.520833313,0.999977058,0.474708171,0.520833333,0.182481752,0.657894719,0.27027027
50,49,beta,25,97,23,112,0.82432431,0.892857134,0.520833313,0.999977058,0.474708171,0.520833333,0.182481752,0.657894719,0.27027027
50,3,beta,12,110,10,125,0.82432431,0.428571433,0.545454562,1,0.474708171,0.545454545,0.087591241,0.480000009,0.150943396
50,33,beta,27,94,26,110,0.817567587,0.964285731,0.509433985,0.999055199,0.470817121,0.509433962,0.197080292,0.66666669,0.284210526
50,43,beta,24,97,23,113,0.817567587,0.857142866,0.510638297,0.999985719,0.470817121,0.510638298,0.175182482,0.640000001,0.260869565
50,1,beta,0,120,0,137,0.810810804,0,0,1,0.46692607,,0,#DIV/0!,#DIV/0!
50,50,beta,23,97,23,114,0.810810804,0.821428597,0.5,0.999986611,0.46692607,0.5,0.167883212,0.621621629,0.25136612
50,2,beta,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927,0.066666669,0.014388489
50,7,beta,25,94,26,112,0.804054081,0.892857134,0.490196079,1,0.463035019,0.490196078,0.182481752,0.632911391,0.265957447
50,5,beta,19,99,21,118,0.797297299,0.678571403,0.474999994,1,0.459143969,0.475,0.138686131,0.558823517,0.214689266
50,6,beta,19,93,27,118,0.756756783,0.678571403,0.413043469,1,0.435797665,0.413043478,0.138686131,0.513513499,0.207650273
50,4,beta,12,100,20,125,0.756756783,0.428571433,0.375,1,0.435797665,0.375,0.087591241,0.400000002,0.142011834
