Dataset,Run,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall
50,40,gnn,2,120,0,135,0.82432431,0.071428575,1,1,0.474708171,1,0.01459854
50,1,gnn,2,119,1,135,0.817567587,0.071428575,0.666666687,1,0.470817121,0.666666667,0.01459854
50,15,gnn,2,119,1,135,0.817567587,0.071428575,0.666666687,1,0.470817121,0.666666667,0.01459854
50,27,gnn,2,119,1,135,0.817567587,0.071428575,0.666666687,1,0.470817121,0.666666667,0.01459854
50,34,gnn,2,119,1,135,0.817567587,0.071428575,0.666666687,1,0.470817121,0.666666667,0.01459854
50,42,gnn,2,119,1,135,0.817567587,0.071428575,0.666666687,1,0.470817121,0.666666667,0.01459854
50,46,gnn,2,119,1,135,0.817567587,0.071428575,0.666666687,1,0.470817121,0.666666667,0.01459854
50,2,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,3,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,4,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,5,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,6,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,7,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,8,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,14,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,23,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,25,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,29,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,30,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,31,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,33,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,39,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,45,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,49,gnn,1,120,0,136,0.817567587,0.035714287,1,1,0.470817121,1,0.00729927
50,12,gnn,2,118,2,135,0.810810804,0.071428575,0.5,1,0.46692607,0.5,0.01459854
50,9,gnn,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927
50,16,gnn,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927
50,17,gnn,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927
50,26,gnn,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927
50,28,gnn,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927
50,36,gnn,1,119,1,136,0.810810804,0.035714287,0.5,1,0.46692607,0.5,0.00729927
50,11,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,21,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,41,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,44,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,47,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,48,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,50,gnn,0,120,0,137,0.810810804,0,0,1,0.46692607,,0
50,20,gnn,1,118,2,136,0.804054081,0.035714287,0.333333343,1,0.463035019,0.333333333,0.00729927
50,22,gnn,1,118,2,136,0.804054081,0.035714287,0.333333343,1,0.463035019,0.333333333,0.00729927
50,24,gnn,1,118,2,136,0.804054081,0.035714287,0.333333343,1,0.463035019,0.333333333,0.00729927
50,37,gnn,1,118,2,136,0.804054081,0.035714287,0.333333343,1,0.463035019,0.333333333,0.00729927
50,10,gnn,0,119,1,137,0.804054081,0,0,1,0.463035019,0,0
50,18,gnn,0,119,1,137,0.804054081,0,0,1,0.463035019,0,0
50,35,gnn,0,119,1,137,0.804054081,0,0,1,0.463035019,0,0
50,38,gnn,0,119,1,137,0.804054081,0,0,1,0.463035019,0,0
50,13,gnn,0,118,2,137,0.797297299,0,0,1,0.459143969,0,0
50,19,gnn,0,118,2,137,0.797297299,0,0,1,0.459143969,0,0
50,32,gnn,0,117,3,137,0.790540516,0,0,1,0.455252918,0,0
50,43,gnn,0,117,3,137,0.790540516,0,0,1,0.455252918,0,0
