Dataset,Run,Explainer,Probability,P1,P2
25,1,Beta,0.45848984,7,18
25,1,Beta,0.45905825,9,12
25,1,Beta,0.46250454,9,14
25,1,Beta,0.45308644,9,17
25,1,Beta,0.45423946,9,18
25,1,Beta,0.46150455,9,23
25,1,Beta,0.45520103,9,32
25,1,Beta,0.46570367,9,40
25,1,Beta,0.4590093,9,51
25,1,Beta,0.46288955,9,54
25,1,Beta,0.4537729,9,61
25,1,Beta,0.4554604,9,62
25,1,Beta,0.45535415,9,69
25,1,Beta,0.4677147,9,71
25,1,Beta,0.46225595,9,97
25,1,Beta,0.4628459,12,9
25,1,Beta,0.46177095,14,9
25,1,Beta,0.4587356,17,9
25,1,Beta,0.45726046,17,54
25,1,Beta,0.46132484,18,7
25,1,Beta,0.46072242,18,9
25,1,Beta,0.46261346,18,19
25,1,Beta,0.46364135,18,20
25,1,Beta,0.45803896,18,22
25,1,Beta,0.4652326,18,24
25,1,Beta,0.4675748,18,25
25,1,Beta,0.4615878,18,26
25,1,Beta,0.46219966,18,30
25,1,Beta,0.46273798,18,31
25,1,Beta,0.4584795,18,32
25,1,Beta,0.45941046,18,33
25,1,Beta,0.45819566,18,39
25,1,Beta,0.4574189,18,42
25,1,Beta,0.45943427,18,46
25,1,Beta,0.4659354,18,50
25,1,Beta,0.4594214,18,53
25,1,Beta,0.4619504,18,60
25,1,Beta,0.46421835,18,74
25,1,Beta,0.4716252,18,76
25,1,Beta,0.45469266,18,98
25,1,Beta,0.45046172,19,18
25,1,Beta,0.46287596,20,18
25,1,Beta,0.4620701,22,18
25,1,Beta,0.4546288,22,32
25,1,Beta,0.46100226,22,33
25,1,Beta,0.4596501,23,9
25,1,Beta,0.45823726,24,18
25,1,Beta,0.4582979,24,25
25,1,Beta,0.46045306,24,26
25,1,Beta,0.46290648,24,30
25,1,Beta,0.45615458,24,31
25,1,Beta,0.46049297,24,32
25,1,Beta,0.45684823,24,33
25,1,Beta,0.45709214,24,74
25,1,Beta,0.4562085,24,98
25,1,Beta,0.45479703,25,18
25,1,Beta,0.46096987,25,24
25,1,Beta,0.4574998,25,26
25,1,Beta,0.4660116,25,32
25,1,Beta,0.45415977,25,42
25,1,Beta,0.45981178,25,60
25,1,Beta,0.4626559,26,18
25,1,Beta,0.46278095,26,24
25,1,Beta,0.4631099,26,25
25,1,Beta,0.4633671,26,31
25,1,Beta,0.45665205,26,32
25,1,Beta,0.4533774,26,33
25,1,Beta,0.45493594,26,39
25,1,Beta,0.45418885,26,42
25,1,Beta,0.46169302,26,74
25,1,Beta,0.46216854,26,76
25,1,Beta,0.45505738,26,98
25,1,Beta,0.4563126,30,18
25,1,Beta,0.45926738,30,24
25,1,Beta,0.45561895,30,33
25,1,Beta,0.45774302,31,18
25,1,Beta,0.45531678,31,24
25,1,Beta,0.45705742,31,26
25,1,Beta,0.4523889,31,32
25,1,Beta,0.45395064,31,33
25,1,Beta,0.45274386,31,42
25,1,Beta,0.45882902,31,50
25,1,Beta,0.4580793,31,74
25,1,Beta,0.45344824,31,98
25,1,Beta,0.45969865,32,9
