Dataset,GT,Probability,P1,P2,Run
50,0,0.34205213,7,18,1
50,1,0.32402006,9,12,1
50,1,0.34680197,9,17,1
50,0,0.3322691,9,18,1
50,1,0.32869422,9,23,1
50,1,0.33435583,9,40,1
50,1,0.35768208,9,54,1
50,1,0.3250634,9,62,1
50,1,0.35589132,9,69,1
50,1,0.36107683,9,71,1
50,1,0.3355588,9,91,1
50,1,0.34764698,9,97,1
50,0,0.31390557,12,9,1
50,0,0.33292505,12,17,1
50,0,0.32447538,17,9,1
50,0,0.31737807,17,12,1
50,0,0.31643763,17,18,1
50,0,0.3469434,17,54,1
50,1,0.42596206,18,7,1
50,0,0.3806782,18,9,1
50,0,0.38861582,18,17,1
50,1,0.41309643,18,20,1
50,1,0.41570458,18,22,1
50,1,0.4258633,18,24,1
50,1,0.3834771,18,25,1
50,1,0.3958602,18,26,1
50,1,0.42147535,18,30,1
50,1,0.41140342,18,31,1
50,1,0.39802852,18,32,1
50,1,0.40622061,18,33,1
50,1,0.43155685,18,39,1
50,1,0.41020885,18,42,1
50,1,0.41604322,18,46,1
50,1,0.42448622,18,50,1
50,1,0.402095,18,60,1
50,1,0.42415187,18,74,1
50,1,0.41884673,18,76,1
50,1,0.41485167,18,98,1
50,0,0.35988423,20,18,1
50,0,0.32063192,22,18,1
50,0,0.31531006,23,9,1
50,0,0.36525562,24,18,1
50,0,0.3688253,24,25,1
50,0,0.38566816,24,26,1
50,0,0.4069205,24,30,1
50,0,0.40348887,24,31,1
50,0,0.3943844,24,33,1
50,0,0.40256363,24,42,1
50,0,0.4152426,24,76,1
50,0,0.40479863,24,98,1
50,0,0.35203677,25,18,1
50,0,0.4025596,25,24,1
50,0,0.37243927,25,26,1
50,0,0.40146732,25,30,1
50,0,0.38318998,25,33,1
50,0,0.3920286,25,42,1
50,0,0.36134213,26,18,1
50,0,0.40806222,26,24,1
50,0,0.3720244,26,25,1
50,0,0.41185018,26,30,1
50,0,0.40514368,26,31,1
50,0,0.38698766,26,32,1
50,0,0.3952805,26,33,1
50,0,0.403002,26,42,1
50,0,0.41151494,26,74,1
50,0,0.40953314,26,98,1
50,0,0.36199483,30,18,1
50,0,0.40984067,30,24,1
50,0,0.3785369,30,25,1
50,0,0.38739884,30,26,1
50,0,0.40585014,30,31,1
50,0,0.39690536,30,33,1
50,0,0.4083034,30,46,1
50,0,0.4167693,30,76,1
50,0,0.41387963,30,98,1
50,0,0.36783922,31,18,1
50,0,0.41859326,31,24,1
50,0,0.3884988,31,26,1
50,0,0.41690475,31,30,1
50,0,0.40290058,31,33,1
50,0,0.42244273,31,39,1
50,0,0.40602964,31,42,1
50,0,0.41461435,31,50,1
50,0,0.41248614,31,74,1
50,0,0.36143494,32,18,1
50,0,0.38139567,32,26,1
50,0,0.38249993,32,33,1
50,0,0.39180458,32,42,1
50,0,0.39890903,32,46,1
50,0,0.39838332,32,98,1
50,0,0.36147532,33,18,1
50,0,0.41552633,33,24,1
50,0,0.38397053,33,25,1
50,0,0.39336133,33,26,1
50,0,0.4185059,33,30,1
50,0,0.41056776,33,31,1
50,0,0.39503154,33,32,1
50,0,0.42063653,33,39,1
50,0,0.40628585,33,42,1
50,0,0.4107163,33,98,1
50,0,0.37144327,39,18,1
50,0,0.40718085,39,31,1
50,0,0.3964661,39,33,1
50,0,0.41072294,39,42,1
50,0,0.4094952,39,46,1
50,0,0.43121615,39,63,1
50,0,0.3513668,40,9,1
50,0,0.3717027,40,69,1
50,0,0.36321542,42,18,1
50,0,0.41689888,42,24,1
50,0,0.372393,42,25,1
50,0,0.3868725,42,26,1
50,0,0.39891332,42,31,1
50,0,0.3948552,42,32,1
50,0,0.38978434,42,33,1
50,0,0.4208916,42,39,1
50,0,0.4036253,42,64,1
50,0,0.3587008,46,18,1
50,0,0.39466903,46,30,1
50,0,0.38679177,46,32,1
50,0,0.41757828,46,39,1
50,0,0.33024806,50,18,1
50,0,0.37214667,50,31,1
50,0,0.34593108,54,9,1
50,0,0.35573214,54,17,1
50,0,0.32859674,60,18,1
50,0,0.3322475,62,9,1
50,0,0.41971177,63,39,1
50,0,0.3854956,64,42,1
50,0,0.32062694,69,9,1
50,0,0.32986766,69,40,1
50,0,0.3077208,71,9,1
50,0,0.32775778,74,18,1
50,0,0.35093975,74,26,1
50,0,0.3694479,74,31,1
50,0,0.35605478,76,18,1
50,0,0.40154806,76,24,1
50,0,0.4072186,76,30,1
50,0,0.3725553,76,97,1
50,0,0.34889862,91,9,1
50,0,0.33654028,97,9,1
50,0,0.38865763,97,76,1
50,0,0.35708717,98,18,1
50,0,0.40460157,98,24,1
50,0,0.3763574,98,26,1
50,0,0.40356237,98,30,1
50,0,0.38450292,98,32,1
50,0,0.38329133,98,33,1
50,0,0.3108925,7,18,2
50,1,0.3602116,9,12,2
50,1,0.38792703,9,17,2
50,0,0.36726567,9,18,2
50,1,0.36999145,9,23,2
50,1,0.36231562,9,40,2
50,1,0.4065755,9,54,2
50,1,0.36840624,9,62,2
50,1,0.3842735,9,69,2
50,1,0.40559626,9,71,2
50,1,0.38818622,9,91,2
50,1,0.39346552,9,97,2
50,0,0.34641805,12,9,2
50,0,0.36010104,12,17,2
50,0,0.33496168,17,9,2
50,0,0.30801308,17,12,2
50,0,0.3167936,17,18,2
50,0,0.35662165,17,54,2
50,1,0.4726788,18,7,2
50,0,0.43593505,18,9,2
50,0,0.4475451,18,17,2
50,1,0.48116738,18,20,2
50,1,0.48371407,18,22,2
50,1,0.42520395,18,24,2
50,1,0.43536207,18,25,2
50,1,0.40410283,18,26,2
50,1,0.48851788,18,30,2
50,1,0.46627128,18,31,2
50,1,0.4210629,18,32,2
50,1,0.423018,18,33,2
50,1,0.48734844,18,39,2
50,1,0.45668384,18,42,2
50,1,0.4792092,18,46,2
50,1,0.48124003,18,50,2
50,1,0.46840888,18,60,2
50,1,0.49135643,18,74,2
50,1,0.50365424,18,76,2
50,1,0.47643897,18,98,2
50,0,0.33982822,20,18,2
50,0,0.3207124,22,18,2
50,0,0.35961512,23,9,2
