,seed,prob,p1,p2,class 1,class 2
0,0,8.173096e-05,0,58,3,2
1,0,0.9999504,0,121,3,0
2,0,8.43546e-05,1,80,0,4
3,0,6.811682e-05,2,8,2,3
4,0,9.632619e-05,4,66,4,0
5,0,9.956753e-05,4,146,4,3
6,0,0.9999447,4,164,4,0
7,0,6.0865026e-05,7,14,0,3
8,0,9.5949676e-05,7,34,0,4
9,0,8.494847e-05,10,108,3,2
10,0,0.00010087057,11,94,3,3
11,0,9.7907825e-05,11,108,3,2
12,0,0.0,13,13,3,3
13,0,9.835184e-05,13,58,3,2
14,0,0.0,15,15,4,4
15,0,0.0001018288,15,16,4,3
16,0,9.883405e-05,15,22,4,3
17,0,0.00010042294,15,65,4,3
18,0,9.9988174e-05,15,165,4,3
19,0,9.919302e-05,17,29,3,2
20,0,9.4797215e-05,18,126,0,4
21,0,8.826941e-05,20,5,0,3
22,0,4.3754062e-05,20,15,0,4
23,0,8.7407345e-05,20,16,0,3
24,0,0.9999372,20,115,0,3
25,0,0.00010005151,23,127,3,2
26,0,0.000101020734,23,147,3,2
27,0,9.43805e-05,25,84,1,2
28,0,8.904805e-05,25,167,1,2
29,0,9.8772616e-05,28,80,0,4
30,0,0.0001024838,28,146,0,3
31,0,0.000102477556,29,17,2,3
32,0,0.00010123636,29,97,2,3
33,0,8.746554e-05,29,162,2,4
34,0,9.9493314e-05,30,146,3,3
35,0,9.682902e-05,30,159,3,2
36,0,0.0,34,34,4,4
37,0,0.000104623155,34,66,4,0
38,0,0.00010543399,34,84,4,2
39,0,9.388608e-05,36,21,2,3
40,0,0.9999474,36,60,2,4
41,0,9.7771146e-05,39,140,3,2
42,0,8.450403e-05,40,24,0,3
43,0,9.481683e-05,41,66,4,0
44,0,9.8702185e-05,41,84,4,2
45,0,9.457555e-05,41,104,4,3
46,0,9.476007e-05,41,118,4,3
47,0,9.229335e-05,42,34,0,4
48,0,9.147053e-05,42,93,0,3
49,0,0.00010147596,44,159,3,2
50,0,0.0,45,45,3,3
51,0,9.8326425e-05,45,108,3,2
52,0,0.99995744,46,95,2,4
53,0,0.00010639569,47,84,2,2
54,0,8.644547e-05,47,180,2,4
55,0,9.8306926e-05,50,34,0,4
56,0,9.660224e-05,50,68,0,3
57,0,9.745931e-05,50,150,0,3
58,0,0.00010232747,51,116,3,3
59,0,0.9999529,53,71,3,3
60,0,9.933813e-05,54,125,3,2
61,0,0.00010422039,55,116,3,3
62,0,0.99993825,56,3,0,3
63,0,5.1986066e-05,56,5,0,3
64,0,0.99994576,56,6,0,0
65,0,5.107687e-05,56,9,0,0
66,0,0.99993443,56,11,0,3
67,0,0.9999386,56,12,0,3
68,0,8.597392e-05,56,16,0,3
69,0,0.99994576,56,17,0,3
70,0,0.9999429,56,19,0,3
71,0,0.99994934,56,21,0,3
72,0,4.439629e-05,56,22,0,3
73,0,0.99994147,56,23,0,3
74,0,5.3515923e-05,56,24,0,3
75,0,0.99993837,56,26,0,3
76,0,0.9999428,56,27,0,3
77,0,0.9999503,56,29,0,2
78,0,0.99992836,56,30,0,3
79,0,0.9999498,56,31,0,3
80,0,0.99994254,56,32,0,4
81,0,0.9999399,56,33,0,3
82,0,4.7892092e-05,56,34,0,4
83,0,0.99993885,56,35,0,4
84,0,0.9999466,56,37,0,3
85,0,0.99993885,56,38,0,3
86,0,0.99994254,56,39,0,3
87,0,0.9999112,56,41,0,4
88,0,0.9999442,56,43,0,3
89,0,0.99994075,56,44,0,3
90,0,0.99993455,56,46,0,2
91,0,0.9999354,56,47,0,2
92,0,0.99994755,56,49,0,3
93,0,0.999941,56,52,0,3
94,0,0.99992275,56,53,0,3
95,0,0.99994564,56,54,0,3
96,0,0.9999484,56,55,0,3
97,0,0.9998679,56,57,0,2
98,0,0.99994004,56,59,0,4
99,0,0.9999373,56,61,0,4
100,0,0.99994934,56,62,0,3
101,0,0.99993706,56,63,0,3
102,0,0.99994934,56,64,0,3
103,0,0.9999522,56,65,0,3
104,0,0.99994636,56,68,0,3
105,0,0.9999399,56,69,0,3
106,0,0.99991167,56,74,0,4
107,0,0.99992836,56,75,0,3
108,0,0.9999391,56,77,0,3
109,0,0.9999528,56,79,0,3
110,0,5.4932523e-05,56,80,0,4
111,0,0.9999331,56,81,0,3
112,0,0.99994695,56,82,0,2
113,0,7.791077e-05,56,84,0,2
114,0,0.99994755,56,85,0,4
115,0,0.99993503,56,87,0,3
116,0,0.9999391,56,89,0,3
117,0,0.9999405,56,90,0,3
118,0,0.9999404,56,91,0,3
119,0,0.9999467,56,93,0,3
120,0,4.623741e-05,56,94,0,3
121,0,0.99994445,56,97,0,3
122,0,0.99994373,56,98,0,3
123,0,0.99994063,56,103,0,3
124,0,0.9999529,56,104,0,3
125,0,0.99994123,56,109,0,3
126,0,0.99994934,56,110,0,3
127,0,0.9999424,56,112,0,3
128,0,8.433369e-05,56,116,0,3
129,0,0.9999348,56,117,0,4
130,0,0.99995315,56,118,0,3
131,0,0.99994004,56,119,0,3
132,0,0.9999428,56,124,0,3
133,0,0.9999442,56,125,0,2
134,0,0.9999181,56,127,0,2
135,0,0.99994004,56,128,0,3
136,0,0.9999541,56,129,0,3
137,0,0.9999329,56,131,0,4
138,0,0.9999479,56,132,0,3
139,0,0.99994123,56,134,0,3
140,0,0.9999422,56,135,0,4
141,0,0.9999391,56,136,0,3
142,0,0.9999355,56,137,0,3
143,0,0.9999238,56,139,0,3
144,0,0.9999411,56,142,0,3
145,0,0.9999337,56,143,0,3
146,0,0.99995184,56,144,0,3
147,0,8.683759e-05,56,146,0,3
148,0,0.99994814,56,147,0,2
149,0,0.99994016,56,149,0,4
150,0,0.99995244,56,150,0,3
151,0,0.9999492,56,153,0,3
152,0,0.99994004,56,154,0,3
153,0,0.9999397,56,155,0,3
154,0,0.999951,56,159,0,2
155,0,0.9999347,56,161,0,3
156,0,0.9999503,56,165,0,3
157,0,0.9999379,56,166,0,3
158,0,5.6896733e-05,56,167,0,2
159,0,0.9999404,56,169,0,3
160,0,0.9999479,56,170,0,3
161,0,0.9999176,56,171,0,4
162,0,0.9999236,56,172,0,3
163,0,0.9999515,56,178,0,3
164,0,0.9999422,56,179,0,3
165,0,0.99994135,56,181,0,3
166,0,9.719851e-05,57,15,2,4
167,0,9.472872e-05,57,22,2,3
168,0,8.791391e-05,57,65,2,3
169,0,0.9999523,57,67,2,3
170,0,8.8211105e-05,57,110,2,3
171,0,8.714709e-05,57,165,2,3
172,0,8.642626e-05,57,170,2,3
173,0,9.192207e-05,58,13,2,3
174,0,9.166691e-05,58,88,2,0
175,0,9.5073694e-05,58,102,2,4
176,0,0.00010269883,58,119,2,3
177,0,9.112021e-05,58,163,2,3
178,0,0.00010517853,59,16,4,3
179,0,0.00010085662,59,159,4,2
180,0,0.000106231055,60,16,4,3
181,0,0.000101825106,60,21,4,3
182,0,0.000102980375,61,84,4,2
183,0,9.2490336e-05,63,58,3,2
184,0,0.00010063212,64,82,3,2
185,0,9.720602e-05,66,86,0,3
186,0,0.0,67,67,3,3
