,Probability,GT,P1,P2,Run
0,0.46877745,0.0,1903,12166,0
1,0.44680268,0.0,4678,12167,0
2,0.50840193,1.0,12165,12166,0
3,0.51949626,1.0,12165,12167,0
4,0.47476402,0.0,12166,1903,0
5,0.5212107,1.0,12166,12165,0
6,0.5033999,1.0,12166,12169,0
7,0.4779781,0.0,12166,12170,0
8,0.47455767,0.0,12167,4678,0
9,0.5072226,1.0,12167,12165,0
10,0.48958862,1.0,12167,12169,0
11,0.5113563,1.0,12167,12171,0
12,0.5332112,0.0,12167,12172,0
13,0.47745308,0.0,12167,12173,0
14,0.5421039,0.0,12167,12174,0
15,0.48104796,0.0,12167,12175,0
16,0.56196296,0.0,12167,12176,0
17,0.4820267,1.0,12169,12166,0
18,0.5047182,1.0,12169,12167,0
19,0.5339286,1.0,12169,12171,0
20,0.5498763,1.0,12169,12177,0
21,0.40327778,0.0,12170,12166,0
22,0.551203,1.0,12171,12167,0
23,0.5713651,1.0,12171,12169,0
24,0.5142584,0.0,12172,12167,0
25,0.46511984,0.0,12173,12167,0
26,0.4974067,0.0,12174,12167,0
27,0.46040756,0.0,12175,12167,0
28,0.5192863,0.0,12176,12167,0
29,0.52935874,1.0,12177,12169,0
30,0.45765543,0.0,5341,9936,1
31,0.5734735,1.0,9935,9936,1
32,0.6096332,1.0,9935,9937,1
33,0.7441579,1.0,9935,9938,1
34,0.46984872,0.0,9936,5341,1
35,0.4769999,1.0,9936,9935,1
36,0.47405633,1.0,9936,9939,1
37,0.539731,1.0,9937,9935,1
38,0.5392233,1.0,9937,9939,1
39,0.5554047,1.0,9937,9940,1
40,0.5168396,0.0,9937,9941,1
41,0.72312224,1.0,9938,9935,1
42,0.51844555,1.0,9939,9936,1
43,0.5620255,1.0,9939,9937,1
44,0.5875123,1.0,9939,9940,1
45,0.4944233,1.0,9940,9937,1
46,0.51717854,1.0,9940,9939,1
47,0.512334,0.0,9941,9937,1
48,0.45922935,0.0,2670,8657,2
49,0.49642384,0.0,5395,8657,2
50,0.50108093,0.0,7435,8660,2
51,0.5214161,0.0,8657,2670,2
52,0.48595136,0.0,8657,5395,2
53,0.5087307,1.0,8657,8658,2
54,0.5288894,1.0,8657,8659,2
55,0.54928863,1.0,8658,8657,2
56,0.56984675,1.0,8658,8660,2
