,Probability,GT,P1,P2,Run
0,0.5316875,0.0,732,12362,0
1,0.55366373,1.0,1697,1698,0
2,0.53975105,1.0,1697,1699,0
3,0.5836186,1.0,1697,12363,0
4,0.5688183,1.0,1698,1697,0
5,0.5544521,1.0,1698,1700,0
6,0.5402196,0.0,1698,8123,0
7,0.53346306,0.0,1698,10795,0
8,0.589568,1.0,1699,1697,0
9,0.5809622,1.0,1699,1700,0
10,0.56498665,1.0,1699,1701,0
11,0.57807076,0.0,1699,9127,0
12,0.61145556,0.0,1699,13022,0
13,0.61540616,1.0,1700,1698,0
14,0.59664387,1.0,1700,1699,0
15,0.5763741,1.0,1700,1701,0
16,0.60314417,1.0,1701,1699,0
17,0.5927553,1.0,1701,1700,0
18,0.626033,0.0,6975,12362,0
19,0.5984436,0.0,8123,1698,0
20,0.61294633,0.0,9127,1699,0
21,0.5255233,0.0,10795,1698,0
22,0.5885702,1.0,12359,12360,0
23,0.60257,1.0,12359,12361,0
24,0.6112611,0.0,12359,12362,0
25,0.64328605,1.0,12359,12363,0
26,0.56627274,1.0,12360,12359,0
27,0.57361996,1.0,12360,12364,0
28,0.53353,1.0,12361,12359,0
29,0.5352039,1.0,12361,12364,0
30,0.5388224,1.0,12361,12365,0
31,0.60039234,0.0,12362,732,0
32,0.56430376,0.0,12362,6975,0
33,0.5838513,0.0,12362,12359,0
34,0.52093047,1.0,12363,1697,0
35,0.5067345,1.0,12363,12359,0
36,0.5400304,1.0,12364,12360,0
37,0.5554561,1.0,12364,12361,0
38,0.5485277,1.0,12364,12365,0
39,0.5601456,1.0,12365,12361,0
40,0.5635924,1.0,12365,12364,0
41,0.5655841,0.0,13022,1699,0
42,0.55211794,0.0,1175,5794,1
43,0.486225,0.0,1244,5800,1
44,0.5564507,1.0,4965,4966,1
45,0.557186,1.0,4965,4967,1
46,0.57668495,0.0,4965,4968,1
47,0.5772175,1.0,4965,5801,1
48,0.58480597,1.0,4966,4965,1
49,0.5125381,1.0,4966,4969,1
50,0.5049402,0.0,4966,7351,1
51,0.63142383,1.0,4967,4965,1
52,0.5572508,1.0,4967,4969,1
53,0.55341905,1.0,4967,4970,1
54,0.58003265,0.0,4967,9682,1
55,0.5715892,0.0,4968,4965,1
56,0.5568995,1.0,4969,4966,1
57,0.55209947,1.0,4969,4967,1
58,0.52965885,1.0,4969,4970,1
59,0.5671353,1.0,4970,4967,1
60,0.55152607,1.0,4970,4969,1
61,0.5691319,1.0,5791,5792,1
62,0.5545094,1.0,5791,5793,1
63,0.67123395,1.0,5792,5791,1
64,0.5920114,1.0,5792,5794,1
65,0.61850095,1.0,5793,5791,1
66,0.54708713,1.0,5793,5794,1
67,0.55558556,1.0,5793,5798,1
68,0.6045553,0.0,5794,1175,1
69,0.5505591,1.0,5794,5792,1
70,0.5344365,1.0,5794,5793,1
71,0.57346845,1.0,5794,5798,1
72,0.62560666,0.0,5794,5799,1
73,0.56337404,0.0,5794,8988,1
74,0.5083801,1.0,5798,5793,1
75,0.5342352,1.0,5798,5794,1
76,0.49920714,0.0,5798,5800,1
77,0.55694807,1.0,5798,5801,1
78,0.5487229,0.0,5799,5794,1
79,0.50772226,0.0,5800,1244,1
80,0.5626641,0.0,5800,5798,1
81,0.5923298,1.0,5801,4965,1
82,0.5592823,1.0,5801,5798,1
