Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
9,0.174087312,0.290837302,0.992183009,0.714285714,0.833333333,0.873995826,3564
22,0.172888723,0.289226214,0.992447069,0.714285714,0.833333333,0.978802167,10390
23,0.173362031,0.289983779,0.991539565,0.705882353,0.827586207,0.702698499,12486
3,0.173607481,0.290278065,0.99191302,0.6875,0.814814815,0.90022634,277
5,0.172384216,0.288526272,0.991054475,0.6875,0.814814815,0.958572101,6601
7,0.170051584,0.285061616,0.991968516,0.666666667,0.8,0.739303023,8660
12,0.173799907,0.290332061,0.991954565,0.666666667,0.8,0.89686285,10390
21,0.172802446,0.289198296,0.991750355,0.647058823,0.785714286,0.346029103,3240
13,0.173883352,0.290800202,0.992224253,0.647058823,0.785714286,0.752781957,4783
19,0.172097885,0.288008491,0.991655742,0.647058823,0.785714286,0.958544068,10390
18,0.174595487,0.291457256,0.99175679,0.625,0.769230769,0.939032063,6511
10,0.171365758,0.287035409,0.992632491,0.625,0.769230769,0.944424178,8497
0,0.173215394,0.289721157,0.992029402,0.625,0.769230769,0.985558565,7067
6,0.173553854,0.290220848,0.992094654,0.6,0.75,0.856184557,3564
11,0.173015682,0.289181728,0.992305213,0.6,0.75,0.984715147,12763
1,0.171350113,0.287044201,0.991965486,0.588235294,0.740740741,0.439056933,4783
24,0.173633206,0.290332975,0.992505547,0.588235294,0.740740741,0.513132036,10935
2,0.175553813,0.29298035,0.991993963,0.588235294,0.740740741,0.932905793,13032
17,0.170016902,0.285133379,0.991440873,0.588235294,0.740740741,0.957747009,10607
8,0.174420766,0.29130126,0.99140442,0.588235294,0.740740741,0.999798895,11593
16,0.172192072,0.288282799,0.991586949,0.578947368,0.733333333,0.863890186,9501
20,0.173267205,0.289856929,0.99202434,0.578947368,0.733333333,0.907476239,8756
14,0.171057943,0.286789976,0.992023388,0.571428571,0.727272727,0.856968135,11214
15,0.174132732,0.291222558,0.992166059,0.5625,0.72,0.684483826,763
4,0.174968995,0.292394829,0.992176654,0.55,0.709677419,0.950574897,4556
