Beta Probability,GT,P1,P2,Run,Idx,Acc,F1
0.51913786,1,702,703,0,715,0.428571429,0.6
0.4707042,1,702,704,0,715,0.428571429,0.6
0.48800108,1,703,702,0,715,0.428571429,0.6
0.54463947,1,703,711,0,715,0.428571429,0.6
0.5104613,1,704,702,0,715,0.428571429,0.6
0.568009,1,704,711,0,715,0.428571429,0.6
0.5481151,1,704,712,0,715,0.428571429,0.6
0.5466044,0,704,713,0,715,0.428571429,0.6
0.51888347,0,704,6979,0,715,0.428571429,0.6
0.4520845,0,704,8933,0,715,0.428571429,0.6
0.5939553,1,711,703,0,715,0.428571429,0.6
0.5503352,1,711,704,0,715,0.428571429,0.6
0.5867179,1,711,712,0,715,0.428571429,0.6
0.5378365,0,711,714,0,715,0.428571429,0.6
0.5532492,0,711,6396,0,715,0.428571429,0.6
0.56046927,1,712,704,0,715,0.428571429,0.6
0.6148303,1,712,711,0,715,0.428571429,0.6
0.6037394,1,712,715,0,715,0.428571429,0.6
0.5748915,0,712,9740,0,715,0.428571429,0.6
0.5330258,0,713,704,0,715,0.428571429,0.6
0.5208231,0,714,711,0,715,0.428571429,0.6
0.5652937,1,715,712,0,715,0.428571429,0.6
0.5775971,0,6396,711,0,715,0.428571429,0.6
0.5484133,0,6979,704,0,715,0.428571429,0.6
0.4418849,0,8933,704,0,715,0.428571429,0.6
0.5457206,0,9739,9740,0,715,0.428571429,0.6
0.575433,0,9740,712,0,715,0.428571429,0.6
0.5518393,0,9740,9739,0,715,0.428571429,0.6
0.5777131,0,9740,9743,0,715,0.428571429,0.6
0.5540041,0,9743,9740,0,715,0.428571429,0.6
0.46480775,1,1020,1021,0,1023,0.3,0.461538462
0.46772158,1,1020,1022,0,1023,0.3,0.461538462
0.476408,1,1020,1023,0,1023,0.3,0.461538462
0.6370889,1,1021,1020,0,1023,0.3,0.461538462
0.5866112,1,1021,1024,0,1023,0.3,0.461538462
0.570364,0,1021,4448,0,1023,0.3,0.461538462
0.579727,1,1022,1020,0,1023,0.3,0.461538462
0.5365094,1,1022,1024,0,1023,0.3,0.461538462
0.5050637,1,1022,1025,0,1023,0.3,0.461538462
0.5410255,0,1022,1026,0,1023,0.3,0.461538462
0.4796123,0,1022,1027,0,1023,0.3,0.461538462
0.5553741,0,1022,9806,0,1023,0.3,0.461538462
0.5375335,1,1023,1020,0,1023,0.3,0.461538462
0.43892264,1,1024,1021,0,1023,0.3,0.461538462
0.45525908,1,1024,1022,0,1023,0.3,0.461538462
0.4487801,1,1024,1025,0,1023,0.3,0.461538462
0.45650458,1,1025,1022,0,1023,0.3,0.461538462
0.48723492,1,1025,1024,0,1023,0.3,0.461538462
0.5367903,0,1026,1022,0,1023,0.3,0.461538462
0.46187958,0,1027,1022,0,1023,0.3,0.461538462
0.51467973,0,4448,1021,0,1023,0.3,0.461538462
0.511662,0,9806,1022,0,1023,0.3,0.461538462
0.5242684,0,171,2356,0,2365,0.324324324,0.489795918
0.5061687,0,952,2357,0,2365,0.324324324,0.489795918
0.5413904,1,2354,2355,0,2365,0.324324324,0.489795918
0.5349742,1,2354,2356,0,2365,0.324324324,0.489795918
0.4980679,1,2355,2354,0,2365,0.324324324,0.489795918
0.47361532,1,2355,2357,0,2365,0.324324324,0.489795918
0.49648672,0,2356,171,0,2365,0.324324324,0.489795918
0.5255219,1,2356,2354,0,2365,0.324324324,0.489795918
0.5013842,1,2356,2357,0,2365,0.324324324,0.489795918
0.57841223,1,2356,2359,0,2365,0.324324324,0.489795918
0.5178249,0,2356,2360,0,2365,0.324324324,0.489795918
0.51388806,0,2356,2361,0,2365,0.324324324,0.489795918
0.5818472,0,2356,2362,0,2365,0.324324324,0.489795918
0.586955,0,2357,952,0,2365,0.324324324,0.489795918
0.55395,1,2357,2355,0,2365,0.324324324,0.489795918
0.5494081,1,2357,2356,0,2365,0.324324324,0.489795918
0.6190501,1,2357,2359,0,2365,0.324324324,0.489795918
0.5121526,0,2357,2363,0,2365,0.324324324,0.489795918
0.59759873,0,2357,2364,0,2365,0.324324324,0.489795918
0.5900021,1,2359,2356,0,2365,0.324324324,0.489795918
0.57290846,1,2359,2357,0,2365,0.324324324,0.489795918
0.5466901,1,2359,2365,0,2365,0.324324324,0.489795918
0.5498731,0,2359,11605,0,2365,0.324324324,0.489795918
0.51857305,0,2360,2356,0,2365,0.324324324,0.489795918
0.5324618,0,2361,2356,0,2365,0.324324324,0.489795918
0.45411846,0,2362,2356,0,2365,0.324324324,0.489795918
0.5380096,0,2363,2357,0,2365,0.324324324,0.489795918
0.48452997,0,2364,2357,0,2365,0.324324324,0.489795918
0.6107701,1,2365,2359,0,2365,0.324324324,0.489795918
0.47149956,0,3016,11605,0,2365,0.324324324,0.489795918
0.54137886,0,11602,11605,0,2365,0.324324324,0.489795918
0.49962062,0,11603,11605,0,2365,0.324324324,0.489795918
0.5354606,0,11603,11606,0,2365,0.324324324,0.489795918
0.6377408,0,11605,2359,0,2365,0.324324324,0.489795918
0.62017506,0,11605,3016,0,2365,0.324324324,0.489795918
0.5464119,0,11605,11602,0,2365,0.324324324,0.489795918
0.56199,0,11605,11603,0,2365,0.324324324,0.489795918
0.5586865,0,11605,11606,0,2365,0.324324324,0.489795918
0.5240906,0,11605,11607,0,2365,0.324324324,0.489795918
0.5365676,0,11606,11603,0,2365,0.324324324,0.489795918
0.50890774,0,11606,11605,0,2365,0.324324324,0.489795918
0.558072,0,11607,11605,0,2365,0.324324324,0.489795918
0.59375083,0,175,2466,0,2468,0.611111111,0.75862069
0.59503615,1,2465,2466,0,2468,0.611111111,0.75862069
0.5461953,1,2465,2467,0,2468,0.611111111,0.75862069
0.5052562,1,2465,2468,0,2468,0.611111111,0.75862069
