Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
6,0.224657556,0.358920531,0.803256434,0.933333333,0.965517241,0.25529927,13213
10,0.223372411,0.357173722,0.807590702,0.875,0.933333333,0.004787683,13220
19,0.224224705,0.358360412,0.807518941,0.875,0.933333333,0.009844482,9035
13,0.224551872,0.358708396,0.810604262,0.875,0.933333333,0.041632891,13213
15,0.223659131,0.357699047,0.801078169,0.875,0.933333333,0.10909301,10764
24,0.22363477,0.357431342,0.808320591,0.866666667,0.928571429,0.563572705,2757
11,0.224969397,0.359198857,0.802589797,0.857142857,0.923076923,0.282763779,12278
1,0.225388601,0.359724376,0.801715724,0.823529412,0.903225806,0.018521309,10764
14,0.225049432,0.35924057,0.796296693,0.823529412,0.903225806,0.022368193,11672
17,0.224920363,0.359356093,0.801463087,0.823529412,0.903225806,0.022368193,11672
2,0.225178589,0.359528327,0.809020148,0.823529412,0.903225806,0.047937572,5376
12,0.226151028,0.360781184,0.798428052,0.823529412,0.903225806,0.057589352,6135
9,0.224125079,0.358086472,0.809806801,0.823529412,0.903225806,0.083995223,9035
23,0.225093505,0.359334098,0.809907637,0.823529412,0.903225806,0.307963312,2468
16,0.22353722,0.357519169,0.805841078,0.823529412,0.903225806,0.388243139,5376
8,0.22499983,0.359215544,0.802426536,0.8125,0.896551724,0.019536734,13220
4,0.225203561,0.359585601,0.816301683,0.8125,0.896551724,0.356825471,5376
21,0.224407316,0.358575804,0.812018981,0.8125,0.896551724,0.424700439,11895
0,0.225122762,0.359347932,0.806251054,0.777777778,0.875,0,9742
5,0.225505273,0.360023449,0.80053697,0.777777778,0.875,0,9742
20,0.223975361,0.358030808,0.800622209,0.777777778,0.875,0,10764
18,0.224417411,0.358574251,0.806823814,0.777777778,0.875,0.28045392,2757
7,0.225810219,0.360341129,0.80609806,0.777777778,0.875,0.481045663,13124
22,0.224372073,0.358429898,0.806066269,0.777777778,0.875,0.897337101,11106
3,0.224841407,0.359119958,0.809780231,0.75,0.857142857,0.135736108,9035
