Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
14,0.171995234,0.287712005,0.989468964,0.857142857,0.923076923,0.221966565,12651
2,0.173089811,0.289415674,0.990098211,0.733333333,0.846153846,0.556185991,11189
13,0.173042813,0.289363289,0.990794596,0.714285714,0.833333333,0.554888308,12652
15,0.175650322,0.293137981,0.989286284,0.705882353,0.827586207,0.77914153,10369
19,0.175583141,0.292897159,0.990028064,0.666666667,0.8,0.891373619,8798
17,0.174127065,0.290782183,0.989912089,0.666666667,0.8,0.439099729,12652
9,0.178017795,0.296501438,0.989323186,0.666666667,0.8,0.464797676,12652
18,0.173025182,0.289297247,0.989470426,0.666666667,0.8,0.687932432,9529
6,0.173235583,0.289623342,0.990155578,0.666666667,0.8,0.964064181,13014
5,0.175054708,0.292204042,0.990166397,0.647058823,0.785714286,0.489218473,13270
0,0.17534448,0.292572142,0.990151584,0.647058823,0.785714286,0.713687241,13070
20,0.175183438,0.292350362,0.990371053,0.625,0.769230769,0.604578674,8633
8,0.174779515,0.292029499,0.989854496,0.625,0.769230769,0.935466342,10899
24,0.17591546,0.293535671,0.990287276,0.611111111,0.75862069,0.973713174,8954
23,0.17237518,0.288376086,0.990231307,0.6,0.75,0.302085698,12652
1,0.176015972,0.293642486,0.98962908,0.6,0.75,0.647368789,12652
11,0.173141436,0.289394334,0.990122277,0.6,0.75,0.699925691,9180
7,0.172972801,0.289293306,0.989880525,0.6,0.75,0.965435568,8969
16,0.17206007,0.288049134,0.990152922,0.588235294,0.740740741,0.981435463,6933
10,0.175535679,0.292656354,0.989120288,0.578947368,0.733333333,0.975018103,1240
4,0.172106806,0.288139662,0.989887788,0.565217391,0.722222222,0.679112405,1174
12,0.172810888,0.288988319,0.989400707,0.5625,0.72,0.622619241,2566
3,0.173859921,0.290634195,0.99015747,0.5625,0.72,0.62994802,2330
22,0.173549379,0.290219533,0.98987564,0.5625,0.72,0.997742394,3931
21,0.175927991,0.293671775,0.989972892,0.533333333,0.695652174,0.911883883,4349
