Run,Avg Acc,Avg F1,Avg Faith,Best Acc,Best F1,Best Faith,Best Index
13,0.177430555,0.295418587,0.993485738,0.8,0.888888889,0.846694812,37
5,0.175741854,0.293256954,0.993924889,0.733333333,0.846153846,0.999206844,8051
24,0.175781427,0.293147175,0.993767328,0.722222222,0.838709677,0.447855532,11856
4,0.17579251,0.293294196,0.993972048,0.705882353,0.827586207,0.606750667,1229
19,0.173659765,0.290058481,0.993731528,0.705882353,0.827586207,0.797784165,5294
1,0.175923684,0.293604376,0.99345388,0.705882353,0.827586207,0.936759263,8244
17,0.175724757,0.293181573,0.994300843,0.6875,0.814814815,0.846500099,9990
21,0.174788204,0.291735831,0.993873258,0.6875,0.814814815,0.938680708,1069
9,0.173706781,0.29015759,0.994037305,0.684210526,0.8125,0.983758016,5711
23,0.175466276,0.292813561,0.994294513,0.666666667,0.8,0.935936607,6726
22,0.17487779,0.29202812,0.993706116,0.666666667,0.8,0.474865377,11002
15,0.172226479,0.288115428,0.993819306,0.666666667,0.8,0.501836926,11002
7,0.176884538,0.294703882,0.994473203,0.666666667,0.8,0.960209899,12297
20,0.17441621,0.291340956,0.993891309,0.642857143,0.782608696,0.964378834,10551
12,0.175739261,0.293007969,0.993798534,0.625,0.769230769,0.960003007,6327
8,0.176152085,0.293766361,0.993400303,0.611111111,0.75862069,0.808506548,9956
2,0.175431983,0.292695923,0.994200962,0.611111111,0.75862069,0.816506267,11893
0,0.176429312,0.294239095,0.993746299,0.6,0.75,0.909488373,2469
3,0.174135059,0.290708606,0.993345241,0.6,0.75,0.008211136,2750
18,0.176350601,0.293813661,0.994167608,0.6,0.75,0.913409166,5344
11,0.175319436,0.29270465,0.99337459,0.588235294,0.740740741,0.58706367,3223
6,0.175723181,0.293183502,0.993308258,0.588235294,0.740740741,0.869279608,12400
14,0.177728177,0.2957302,0.993635929,0.578947368,0.733333333,0.589326918,3223
16,0.171734635,0.287370165,0.993967518,0.578947368,0.733333333,0.930195972,12967
10,0.174842092,0.291908801,0.993811994,0.571428571,0.727272727,0.73298943,10484
