P1,P2,Probability,GT
2758,7333,0,0
7324,7325,1,1
7324,7326,1,1
7324,7327,1,0
7325,7324,1,1
7325,7328,1,1
7326,7324,1,1
7326,7328,1,1
7326,7329,1,1
7326,7330,0,0
7326,7331,0,0
7326,7332,1,1
7326,7333,0,0
7326,9112,0,0
7326,10810,0,0
7327,7324,1,0
7328,7325,1,1
7328,7326,1,1
7328,7329,1,1
7328,7334,0,0
7328,11132,0,0
7329,7326,1,1
7329,7328,1,1
7329,7335,0,0
7329,8378,0,0
7330,7326,0,0
7330,7375,0,0
7331,7326,0,0
7332,7326,1,1
7333,2758,0,0
7333,7326,0,0
7334,7328,0,0
7335,7329,0,0
7375,7330,0,0
8378,7329,0,0
9104,9112,0,0
9112,7326,0,0
9112,9104,0,0
10810,7326,0,0
10810,10811,0,0
10810,10812,0,0
10810,10813,0,0
10810,10814,0,0
10811,10810,0,0
10812,10810,0,0
10813,10810,0,0
10814,10810,0,0
11132,7328,0,0
