Seed,Accuracy,Precision,Recall,F1 Score,Unfaithfulness
19232,0.571428571,1,0.571428571,0.727272727,0.998189312
94073,0.75,0.857142857,0.857142857,0.857142857,0.978333853
16861,0.857142857,1,0.857142857,0.923076923,0.981744654
24470,0.857142857,1,0.857142857,0.923076923,0.981744654
58247,0.75,0.857142857,0.857142857,0.857142857,0.978333853
79346,0.571428571,1,0.571428571,0.727272727,0.998189312
48220,0.75,0.857142857,0.857142857,0.857142857,0.978256412
6109,0.857142857,1,0.857142857,0.923076923,0.981744654
12051,0.857142857,1,0.857142857,0.923076923,0.981744654
41880,0.857142857,1,0.857142857,0.923076923,0.981744654
