P1,P2,Probability,GT
82,7169,0,0
299,303,0,0
300,303,0,0
300,307,0,0
303,299,0,0
303,300,0,0
303,307,0,0
303,308,0,0
303,3042,0,0
307,300,0,0
307,303,0,0
308,303,0,0
533,3045,0,0
731,7169,0,0
817,4634,0,0
1542,8791,0,0
1624,3043,0,0
1762,3044,0,0
3040,3041,1,1
3040,3042,1,1
3040,8795,0,0
3041,3040,1,1
3041,3043,1,1
3041,3044,0,0
3041,3045,0,0
3041,9322,0,0
3042,303,0,0
3042,3040,1,1
3042,3043,1,1
3042,3046,1,1
3042,3047,0,0
3042,3048,0,0
3042,3049,0,0
3042,3050,0,0
3042,7449,0,0
3043,1624,0,0
3043,3041,1,1
3043,3042,1,1
3043,3046,1,1
3044,1762,0,0
3044,3041,0,0
3045,533,0,0
3045,3041,0,0
3046,3042,1,1
3046,3043,1,1
3046,3051,0,0
3046,7163,1,0
3046,11012,1,0
3047,3042,0,0
3048,3042,0,0
3049,3042,0,0
3050,3042,0,0
3050,4215,0,0
3051,3046,0,0
4215,3050,0,0
4632,4634,0,0
4634,817,0,0
4634,4632,0,0
4634,8795,0,0
6303,7169,0,0
7163,3046,1,0
7167,7169,0,0
7169,82,0,0
7169,731,0,0
7169,6303,0,0
7169,7167,0,0
7169,8795,0,0
7169,9110,0,0
7444,7449,0,0
7449,3042,0,0
7449,7444,0,0
8789,8790,0,0
8789,8791,0,0
8790,8789,0,0
8790,8791,0,0
8791,1542,0,0
8791,8789,0,0
8791,8790,0,0
8791,8794,0,0
8791,8795,0,0
8791,8796,0,0
8791,9036,0,0
8794,8791,0,0
8795,3040,0,0
8795,4634,0,0
8795,7169,0,0
8795,8791,0,0
8796,8791,0,0
9036,8791,0,0
9110,7169,0,0
9322,3041,0,0
9322,9323,0,0
9322,9324,0,0
9323,9322,0,0
9324,9322,0,0
11012,3046,1,0
