,Probability,GT,P1,P2,Run
0,0.49933404,0.0,1170,1509,0
1,0.5012505,1.0,1501,1502,0
2,0.50277144,1.0,1501,1503,0
3,0.5055957,1.0,1502,1501,0
4,0.5023004,1.0,1502,1505,0
5,0.49360722,0.0,1502,7490,0
6,0.5032412,1.0,1503,1501,0
7,0.4946037,1.0,1503,1505,0
8,0.49909148,1.0,1503,1506,0
9,0.49890497,0.0,1503,1507,0
10,0.49526632,0.0,1503,7370,0
11,0.50014466,0.0,1503,8278,0
12,0.5053229,0.0,1503,11416,0
13,0.5051706,1.0,1505,1502,0
14,0.50340456,1.0,1505,1503,0
15,0.50071806,1.0,1505,1506,0
16,0.50457597,1.0,1505,1508,0
17,0.49951386,0.0,1505,1509,0
18,0.502595,0.0,1505,1510,0
19,0.49763328,0.0,1505,1511,0
20,0.5003403,1.0,1506,1503,0
21,0.5036774,1.0,1506,1505,0
22,0.50146234,0.0,1506,1512,0
23,0.49738464,0.0,1506,1513,0
24,0.50071025,0.0,1506,1514,0
25,0.4997546,0.0,1507,1503,0
26,0.500381,1.0,1508,1505,0
27,0.50208884,0.0,1509,1170,0
28,0.4950993,0.0,1509,1505,0
29,0.49600175,0.0,1510,1505,0
30,0.49987796,0.0,1511,1505,0
31,0.49734956,0.0,1511,11771,0
32,0.49646798,0.0,1512,1506,0
33,0.49920133,0.0,1513,1506,0
34,0.4969329,0.0,1514,1506,0
35,0.49561083,0.0,7370,1503,0
36,0.49843824,0.0,7490,1502,0
37,0.50149864,0.0,8278,1503,0
38,0.50483406,0.0,11416,1503,0
39,0.49194184,0.0,11771,1511,0
40,0.49455702,0.0,2149,3570,1
41,0.49608025,1.0,3564,3565,1
42,0.5022385,1.0,3564,3566,1
43,0.50334966,1.0,3565,3564,1
44,0.5005429,1.0,3565,3570,1
45,0.49720642,1.0,3566,3564,1
46,0.5032678,1.0,3566,3570,1
47,0.5034176,1.0,3566,3573,1
48,0.49947786,0.0,3566,3574,1
49,0.4996488,0.0,3566,3575,1
50,0.49952337,0.0,3566,9725,1
51,0.49438062,0.0,3570,2149,1
52,0.50145817,1.0,3570,3565,1
53,0.50108814,1.0,3570,3566,1
54,0.50075793,1.0,3570,3573,1
55,0.49681687,0.0,3570,3576,1
56,0.4979273,1.0,3573,3566,1
57,0.50158435,1.0,3573,3570,1
58,0.5000165,1.0,3573,3577,1
59,0.49912998,0.0,3574,3566,1
60,0.49710453,0.0,3575,3566,1
61,0.49801147,0.0,3576,3570,1
62,0.50084275,1.0,3577,3573,1
63,0.498404,0.0,9725,3566,1
64,0.49990496,0.0,1913,11513,2
65,0.4998154,0.0,8336,11509,2
66,0.49978992,0.0,10261,11512,2
67,0.4979783,0.0,11509,8336,2
68,0.501867,1.0,11509,11510,2
69,0.50458455,1.0,11509,11511,2
70,0.49411708,0.0,11509,11965,2
71,0.5000753,1.0,11510,11509,2
72,0.49847758,1.0,11510,11512,2
73,0.5017842,0.0,11510,11513,2
74,0.50068367,1.0,11510,11514,2
75,0.4960155,1.0,11511,11509,2
76,0.50252765,1.0,11511,11512,2
