Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.174320499,0.23199858,0.431019345,0.785714286,1,0.785714286,0.98542965,0.916145988,,,1,1.00E-05,3577
0.174327294,0.232258526,0.42981909,0.692307692,0.9,0.75,0.985585003,0.698794752,,,5,1.00E-05,7886
0.176359388,0.233109505,0.438913807,0.6875,0.846153846,0.785714286,0.986039913,0.114289403,,,11,1.00E-05,185
0.174053997,0.23177483,0.430740316,0.6875,0.846153846,0.785714286,0.986584047,0.937829636,,,16,1.00E-05,12937
0.175705718,0.232508649,0.435224744,0.666666667,0.75,0.857142857,0.985349181,0.97738906,,,18,1.00E-05,2238
0.177332252,0.234742159,0.439012638,0.647058823,0.785714286,0.785714286,0.985863693,0.953229889,,,17,1.00E-05,5896
0.179643079,0.23624432,0.447680079,0.642857143,1,0.642857143,0.985586362,0.830911785,,,4,1.00E-05,8327
0.175487665,0.232820864,0.434166637,0.625,0.833333333,0.714285714,0.985441483,0.460917473,,,23,1.00E-05,12521
0.173330628,0.230810141,0.429640417,0.625,0.833333333,0.714285714,0.986135972,0.758805141,,,15,1.00E-05,6062
0.175116814,0.232507269,0.432952035,0.625,0.833333333,0.714285714,0.986371599,0.902908169,,,2,1.00E-05,11514
0.177542178,0.235537061,0.436964484,0.611111111,0.733333333,0.785714286,0.98538316,0.853510097,,,21,1.00E-05,506
0.173589559,0.230442597,0.431393671,0.611111111,0.733333333,0.785714286,0.985849597,0.93975487,,,22,1.00E-05,1865
0.174510553,0.230671208,0.436000495,0.6,0.9,0.642857143,0.985579619,0.891179726,,,3,1.00E-05,80
0.174338182,0.23080924,0.43444331,0.6,0.666666667,0.857142857,0.986390209,0.67101711,,,12,1.00E-05,882
0.173777616,0.231301493,0.430319069,0.571428571,1,0.571428571,0.986084782,0.607022911,,,19,1.00E-05,10734
0.174144474,0.231882027,0.4316158,0.571428571,1,0.571428571,0.98589876,0.938335214,,,10,1.00E-05,80
0.174815197,0.232059155,0.432474234,0.571428571,0.631578947,0.857142857,0.98512477,0.717203617,,,9,1.00E-05,2280
0.175574449,0.233555492,0.433733746,0.571428571,0.631578947,0.857142857,0.98622268,0.887942284,,,24,1.00E-05,928
0.174072851,0.231137053,0.432123957,0.5625,0.818181818,0.642857143,0.986433617,0.999985024,,,6,1.00E-05,2439
0.175428866,0.232465583,0.436305792,0.55,0.647058823,0.785714286,0.98493523,0.83773753,,,14,1.00E-05,9939
0.176921461,0.233999359,0.437295077,0.545454545,0.6,0.857142857,0.986127553,0.847334787,,,7,1.00E-05,11174
0.174599661,0.231997534,0.431740552,0.545454545,0.6,0.857142857,0.986313205,0.927111663,,,0,1.00E-05,1508
0.17682835,0.233558167,0.439719291,0.533333333,0.888888889,0.571428571,0.985736464,0.990171308,,,13,1.00E-05,80
0.175544417,0.23324042,0.435258704,0.529411765,0.75,0.642857143,0.986307786,0.887444839,,,8,1.00E-05,4029
0.174678228,0.232275208,0.43315954,0.5,0.8,0.571428571,0.986270826,0.933566898,,,20,1.00E-05,9591
