Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.221497114,0.234675763,0.813936593,0.736842105,0.736842105,1,0.833302328,0.174869776,0.7,0.6,0,0.05,9842
0.221922687,0.234940107,0.816479745,0.875,0.875,1,0.830653394,0.095695019,0.7,0.6,1,0.05,3137
0.220635103,0.233909456,0.81286846,0.528301887,0.528301887,1,0.834684472,0.310663283,0.7,0.6,2,0.05,1862
0.221939534,0.235002716,0.817077073,0.7,0.7,1,0.828709781,0.025769174,0.7,0.6,3,0.05,4610
0.221546283,0.234760585,0.81292517,0.666666667,0.666666667,1,0.832956191,0.071157753,0.7,0.6,4,0.05,5352
0.220514038,0.233820237,0.809147429,0.571428571,0.571428571,1,0.83476994,0.051041603,0.7,0.6,5,0.05,8580
0.22185677,0.234885917,0.816607863,0.571428571,0.571428571,1,0.828884002,0.007578373,0.7,0.6,6,0.05,1482
0.221880695,0.234622857,0.817294416,0.538461538,0.538461538,1,0.82193486,0.028870344,0.7,0.6,7,0.05,3481
0.221821596,0.235058174,0.814297652,0.823529412,0.823529412,1,0.836428348,0.009397566,0.7,0.6,8,0.05,3137
0.22262179,0.235211525,0.821079367,0.482758621,0.482758621,1,0.835348947,0.986063671,0.7,0.6,9,0.05,2013
0.221603041,0.234826247,0.814300287,0.538461538,0.538461538,1,0.83112615,0.563688397,0.7,0.6,10,0.05,6375
0.220682877,0.23382284,0.812529516,0.823529412,0.823529412,1,0.829589824,0.239894331,0.7,0.6,15,0.05,6265
0.222203887,0.23497627,0.817919337,0.583333333,0.583333333,1,0.831388273,0.056969643,0.7,0.6,20,0.05,1482
0.221257939,0.233863362,0.820261022,0.823529412,0.823529412,1,0.817989894,0.449729681,0.7,0.6,25,0.05,10653
0.221298594,0.234517485,0.813663511,0.509090909,0.509090909,1,0.83600438,0.779036686,0.7,0.6,30,0.05,3140
0.220834226,0.234123391,0.808808347,0.49122807,0.49122807,1,0.83915493,0.03777951,0.7,0.6,40,0.05,8627
0.221901939,0.234852594,0.815501044,0.553191489,0.553191489,1,0.827762959,0.92156706,0.7,0.6,50,0.05,9996
0.220699708,0.23362036,0.814491285,0.538461538,0.538461538,1,0.829687939,0.890735947,0.7,0.6,60,0.05,12433
0.221982681,0.23449383,0.821769387,0.608695652,0.608695652,1,0.818122561,0.006624281,0.7,0.6,70,0.05,7668
0.220559227,0.233738689,0.814365386,0.571428571,0.571428571,1,0.832712108,0.448858738,0.7,0.6,80,0.05,11380
0.223118669,0.235912835,0.820050335,0.777777778,0.777777778,1,0.825937622,-5.96E-07,0.7,0.6,90,0.05,3138
0.219838641,0.233562185,0.805904621,0.509090909,0.509090909,1,0.836645893,0.245105565,0.7,0.6,100,0.05,3484
0.222952909,0.23507708,0.826447211,0.875,0.875,1,0.810192178,-5.96E-07,0.7,0.6,200,0.05,9070
0.221909246,0.234537843,0.819994803,0.7,0.7,1,0.826677848,0.065716147,0.7,0.6,300,0.05,10572
0.221996835,0.235014406,0.817510441,0.7,0.7,1,0.834401,0.844597891,0.7,0.6,400,0.05,1007
0.220468803,0.233830361,0.810061308,0.777777778,0.777777778,1,0.83197782,-5.96E-07,0.7,0.6,500,0.05,3138
0.221579024,0.234376179,0.817510719,0.49122807,0.49122807,1,0.83358449,0.066942394,0.7,0.6,600,0.05,858
0.221144704,0.234392656,0.813230975,0.5,0.5,1,0.835897857,0.305700123,0.7,0.6,700,0.05,10850
0.221309039,0.234838881,0.809800635,0.736842105,0.736842105,1,0.838913466,0.849072754,0.7,0.6,800,0.05,9567
0.221857955,0.234953693,0.815913545,0.538461538,0.538461538,1,0.832528634,0.869365484,0.7,0.6,900,0.05,13076
0.220604935,0.233958512,0.811412715,0.595744681,0.595744681,1,0.836050497,0.442271173,0.7,0.6,1000,0.05,8580
