Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Run,LR,IDX
0.175112437,0.231881469,0.436143966,0.785714286,1,0.785714286,0.986922817,0.181787014,,,1,1.00E-05,3138
0.175983976,0.232717241,0.437460986,0.777777778,0.777777778,1,0.987024064,0.736280888,,,0,1.00E-05,6232
0.174712614,0.231682566,0.433620295,0.733333333,0.916666667,0.785714286,0.986882815,0.51763168,,,15,1.00E-05,6265
0.176252941,0.233233126,0.438591999,0.705882353,0.8,0.857142857,0.987147963,0.607179821,,,23,1.00E-05,1634
0.173413698,0.23045326,0.431625457,0.6875,0.846153846,0.785714286,0.987150819,0.430057049,,,5,1.00E-05,4543
0.176038326,0.233316599,0.436468281,0.6875,0.846153846,0.785714286,0.986251914,0.487230539,,,22,1.00E-05,9840
0.175568789,0.232436572,0.435662692,0.6875,0.846153846,0.785714286,0.986442998,0.711512059,,,17,1.00E-05,12561
0.174930868,0.232404349,0.433026502,0.666666667,0.909090909,0.714285714,0.987240783,0.976906905,,,18,1.00E-05,5019
0.175487369,0.231811978,0.439075076,0.666666667,0.75,0.857142857,0.987322608,0.873497412,,,4,1.00E-05,6317
0.17483492,0.23176464,0.43526683,0.647058823,0.785714286,0.785714286,0.98668151,0.991783237,,,7,1.00E-05,191
0.175642755,0.232054552,0.438011448,0.642857143,1,0.642857143,0.986849513,0.247556388,,,9,1.00E-05,3138
0.17598103,0.232495235,0.440001226,0.625,0.833333333,0.714285714,0.985829935,0.516714156,,,19,1.00E-05,3137
0.174254927,0.23112465,0.43418698,0.625,0.833333333,0.714285714,0.986285059,0.970783334,,,16,1.00E-05,11094
0.174664877,0.231736269,0.434625063,0.6,0.9,0.642857143,0.987210315,0.669832706,,,14,1.00E-05,11094
0.17528252,0.231469645,0.437718539,0.588235294,0.769230769,0.714285714,0.986539321,0.655519396,,,13,1.00E-05,9011
0.176390713,0.233580915,0.438343321,0.588235294,0.769230769,0.714285714,0.987335338,0.8482759,,,6,1.00E-05,9842
0.173323314,0.230245573,0.431190702,0.588235294,0.769230769,0.714285714,0.987080157,0.848851427,,,11,1.00E-05,8065
0.175007718,0.232431691,0.433599358,0.578947368,0.6875,0.785714286,0.986463114,0.26074034,,,10,1.00E-05,7668
0.17562356,0.232865441,0.436748643,0.571428571,1,0.571428571,0.986981679,0.193158567,,,24,1.00E-05,3137
0.173862729,0.230522777,0.434086178,0.555555556,0.714285714,0.714285714,0.986537934,0.549775094,,,2,1.00E-05,1634
0.175649217,0.23236928,0.436541422,0.55,0.647058823,0.785714286,0.985287612,0.706632793,,,8,1.00E-05,9582
0.174519183,0.230851351,0.436036299,0.55,0.647058823,0.785714286,0.986543302,0.764643773,,,21,1.00E-05,7397
0.174593175,0.230885708,0.436124692,0.523809524,0.611111111,0.785714286,0.986379166,0.942767639,,,12,1.00E-05,5641
0.174586926,0.231237735,0.435274872,0.444444444,0.48,0.857142857,0.987277812,0.995786929,,,3,1.00E-05,61
0.175434135,0.232481835,0.438022264,0.423076923,0.47826087,0.785714286,0.988011616,0.98217332,,,20,1.00E-05,5131
