Avg Acc,Avg Prec,Avg Rec,Best Acc,Best Prec,Best Rec,Avg Faith,Best Faith,Alpha,Beta,Seed,LR,IDX
0.174745124,0.232308676,0.433072605,0.733333333,0.916666667,0.785714286,0.987275838,0.682234734,,,0,1.00E-05,412
0.175963153,0.232598363,0.438217491,0.545454545,0.6,0.857142857,0.986557547,0.917472415,,,1,1.00E-05,197
0.176737544,0.233928233,0.438620147,0.6875,0.846153846,0.785714286,0.986970491,0.205299079,,,2,1.00E-05,8579
0.173100677,0.229676063,0.432116714,0.578947368,0.6875,0.785714286,0.986632437,0.90535973,,,3,1.00E-05,8861
0.17548051,0.232028303,0.438226018,0.5625,0.818181818,0.642857143,0.986837383,0.714941978,,,4,1.00E-05,6265
0.173573906,0.230528992,0.432207602,0.526315789,0.666666667,0.714285714,0.986603611,0.974621808,,,5,1.00E-05,5360
0.17629444,0.233288589,0.439061487,0.578947368,0.6875,0.785714286,0.987492728,0.871098191,,,6,1.00E-05,9478
0.173246859,0.230242092,0.430051854,0.523809524,0.611111111,0.785714286,0.987591369,0.953205418,,,7,1.00E-05,10299
0.175164346,0.232118973,0.434618823,0.611111111,0.733333333,0.785714286,0.987204388,0.554400682,,,8,1.00E-05,4847
0.175038839,0.231607287,0.43661179,0.6875,0.846153846,0.785714286,0.987179799,0.500541508,,,9,1.00E-05,4543
0.175482032,0.232574003,0.434438086,0.6,0.666666667,0.857142857,0.986576226,0.774741828,,,10,1.00E-05,5015
0.174388615,0.231206841,0.433391167,0.578947368,0.6875,0.785714286,0.986688806,0.970161265,,,15,1.00E-05,23
0.17432461,0.231406215,0.432002115,0.611111111,0.733333333,0.785714286,0.98662293,0.685532361,,,20,1.00E-05,4310
0.175983976,0.232717241,0.437460986,0.777777778,0.777777778,1,0.987024064,0.736280888,,,25,1.00E-05,6232
0.177786539,0.23478559,0.441745513,0.5625,0.818181818,0.642857143,0.985871228,0.887311682,,,30,1.00E-05,5019
0.174534894,0.230993929,0.43568349,0.705882353,0.8,0.857142857,0.986204867,0.946811408,,,40,1.00E-05,3777
0.178248916,0.234875901,0.443137962,0.619047619,0.65,0.928571429,0.986512834,0.511736184,,,50,1.00E-05,823
0.175006812,0.232382701,0.434599065,0.523809524,0.611111111,0.785714286,0.985893775,0.738208532,,,60,1.00E-05,541
0.175129022,0.230885246,0.438378331,0.722222222,0.764705882,0.928571429,0.986491657,0.728983968,,,70,1.00E-05,5909
0.17415692,0.231348483,0.431763974,0.705882353,0.8,0.857142857,0.98638376,0.844912782,,,80,1.00E-05,9582
0.175158229,0.231793679,0.43588253,0.666666667,0.909090909,0.714285714,0.986686028,0.837941721,,,90,1.00E-05,4187
0.176763221,0.23380712,0.438587008,0.588235294,0.769230769,0.714285714,0.986425989,0.839610323,,,100,1.00E-05,12567
0.173697198,0.230931853,0.431349809,0.55,0.647058823,0.785714286,0.986876016,0.844999835,,,200,1.00E-05,3783
0.174697794,0.231182036,0.434807048,0.590909091,0.619047619,0.928571429,0.987025083,0.957825482,,,300,1.00E-05,4420
0.175157601,0.232374815,0.435265929,0.47826087,0.55,0.785714286,0.986884063,0.93040406,,,400,1.00E-05,7579
0.176331035,0.233109728,0.438405577,0.785714286,1,0.785714286,0.986736599,0.368470907,,,500,1.00E-05,9070
0.17568768,0.232258487,0.438576886,0.444444444,0.48,0.857142857,0.986153568,0.799900517,,,600,1.00E-05,1700
0.174803218,0.232126819,0.434591647,0.625,0.833333333,0.714285714,0.987470727,0.801603258,,,700,1.00E-05,7669
0.174649427,0.232058317,0.431871986,0.6875,0.846153846,0.785714286,0.98694832,0.230043352,,,800,1.00E-05,8579
0.175162114,0.231950993,0.435251717,0.666666667,0.909090909,0.714285714,0.986052252,0.496549666,,,900,1.00E-05,10572
0.174343965,0.230700019,0.434382207,0.785714286,1,0.785714286,0.986174771,0.330887675,,,1000,1.00E-05,4897
